nom,adresse,code_postal,latitude,longitude
SG SMC,"324 RTE DE GRASSE, 06600 ANTIBES",6600,43.5925964,7.1029012
SG SMC,"8 9 PL GAL DE GAULLE, 06600 ANTIBES",6600,43.5856778,7.1190595
SG SMC,"1 BD MARECHAL JOFFRE, 06310 BEAULIEU SUR MER",6310,43.7059926,7.3274988
SG SMC,"9 AV DE NICE, 06800 CAGNES SUR MER",6800,43.6558552,7.153059
SG SMC,"64-66 AV DE NICE, 06800 CAGNES SUR MER",6800,43.6553898,7.1522222
SG SMC,"66 AV FRANCIS TONNER, 06150 CANNES",6150,43.5500731,6.9659176
SG SMC,"14 RUE D'ANTIBES, 06400 CANNES",6400,43.5522801,7.0171097
SG SMC,"96 AV GEORGES POMPIDOU, 06130 GRASSE",6130,43.6481294,6.9361335
SG SMC,"140 BD WILSON, 06160 ANTIBES",6160,43.5737585,7.1165158
SG SMC,"64 B RUE G CLEMENCEAU, 06480 LA COLLE SUR LOUP",6480,43.6869253,7.0927426
SG SMC,"12 RUE DES MURIERS, 06110 LE CANNET",6110,43.5734439,7.0172108
SG SMC,"98 BD SADI CARNOT, 06110 CANNET",6110,43.5745809,7.0162811
SG SMC,"69 AV FRANKLIN ROOSEVELT, 06110 LE CANNET",6110,43.572783,7.0001987
SG SMC,"42 CHE DU FLAQUIER NORD, 06530 LE TIGNET",6530,43.6286553,6.8503664
SG SMC,"809 BD DES ECUREUILS, 06210 MANDELIEU LA NAPOULE",6210,43.5454871,6.9401958
SG SMC,"6 AV BOYER, 06500 MENTON",6500,43.7739591,7.4977457
SG SMC,"27 PORTE DE FRANCE, 06500 MENTON",6500,43.7846522,7.5210466
SG SMC,"600 RTE DE LA ROQUETTE, 06370 MOUANS SARTOUX",6370,43.612912,6.968826
SG SMC,"52 AV DE TOURNAMY, 06250 MOUGINS",6250,43.6033576,6.9871421
SG SMC,"45 BD DUBOUCHAGE, 06000 NICE",6000,43.7005788,7.2684985
SG SMC,"39 T BD DE CIMIEZ, 06000 NICE",6000,43.7060268,7.2702279
SG SMC,"82 BD DE CIMIEZ, 06000 NICE",6000,43.716524,7.2726815
SG SMC,"10 PL GARIBALDI, 06000 NICE",6000,43.701269,7.2806016
SG SMC,"30 BD GORBELLA, 06100 NICE",6100,43.7202392,7.2567918
SG SMC,"21 BD FRANCOIS GROSSO, 06000 NICE",6000,43.6958577,7.2516071
SG SMC,"8 AV JEAN MEDECIN, 06000 NICE",6000,43.6989444,7.2692384
SG SMC,"2 PL ILE DE BEAUTE, 06300 NICE",6300,43.698537,7.2853053
SG SMC,"15 B RUE LEPANTE, 06000 NICE",6000,43.7013202,7.2652069
SG SMC,"4 PL GAL DE GAULLE, 06000 NICE",6000,43.7013202,7.2652069
SG SMC,"15 AV DE LA CALIFORNIE, 06200 NICE",6200,43.6907121,7.2437571
SG SMC,"31 AV MALAUSSENA, 06000 NICE",6000,43.7088986,7.2624545
SG SMC,"22 RUE VERDI, 06000 NICE",6000,43.6996682,7.2594872
SG SMC,"17 AV AUGUSTE VEROLA, 06200 NICE",6200,43.7106397,7.1939782
SG SMC,"22 AV SAINT-SYLVESTRE, 06100 NICE",6100,43.7255071,7.2504649
SG SMC,"6 BD SAINT-ROCH, 06300 NICE",6300,43.7092179,7.2929302
SG SMC,"40 AV STE-MARGUERITE, 06200 NICE",6200,43.6782472,7.2204715
SG SMC,"2 RUE LEBON, 06530 PEYMEINADE",6530,43.641991,6.8756858
SG SMC,"CENTRE COMMERCIAL 3000, 06700 ST LAURENT DU VAR",6700,43.6592725,7.1953374
SG SMC,"2 PL ALEXIS MAIFFREDI, 06670 ST MARTIN DU VAR",6670,43.8218819,7.1918039
SG SMC,"109 QU DE LA BANQUIERE, 06730 ST ANDRE DE LA ROCHE",6730,43.7352776,7.2877711
SG SMC,"396 AV DU GAL LECLERC, 06700 ST LAURENT DU VAR",6700,43.6863966,7.1829613
SG SMC,"4 RUE GAMBETTA, 06560 VALBONNE",6560,43.6420552,7.0079956
SG SMC,"PL BERMOND, 06560 VALBONNE",6560,43.6217816,7.0392432
SG SMC,"28 AVENUE DE LA GARE, 06220 VALLAURIS",6220,43.567436,7.0739252
SG SMC,"10 AV DE LA RESISTANCE, 06140 VENCE",6140,43.7229015,7.1103101
SG SMC,"2 AVENUE DE LA MER, 06270 VILLENEUVE LOUBET",6270,43.6417376,7.140526
