nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"22 RUE JACQUES KABLE, 67170 BRUMATH",67170,48.7300761,7.7108334
SG GRAND EST,"5 RUE MERCIERE, 67150 ERSTEIN",67150,48.4227304,7.6618232
SG GRAND EST,"97 GRAND'RUE, 67500 HAGUENAU",67500,48.815224,7.7911559
SG GRAND EST,"150 RTE DE LYON, 67400 ILLKIRCH GRAFFENSTADEN",67400,48.5285658,7.7104319
SG GRAND EST,"38 PL DE L'HOTEL DE VILLE, 67120 MOLSHEIM",67120,48.5418512,7.4923276
SG GRAND EST,"37 RUE DU GENERAL GOURAUD, 67210 OBERNAI",67210,48.4622561,7.4846132
SG GRAND EST,"70 RUE DU GEN LECLERC, 67540 OSTWALD",67540,48.5468972,7.700593
SG GRAND EST,"1 PL DE LA REPUBLIQUE, 67260 SARRE UNION",67260,48.9390827,7.0864033
SG GRAND EST,"2 PL DU GENERAL DE GAULLE, 67700 SAVERNE",67700,48.7216248,7.6357003
SG GRAND EST,"116 RTE DE BISCHWILLER, 67300 SCHILTIGHEIM",67300,48.6059018,7.7486483
SG GRAND EST,"10 AV DE LA LIBERTE, 67600 SELESTAT",67600,48.2585556,7.4484345
SG GRAND EST,"34 BD D'ANVERS, 67000 STRASBOURG",67000,48.5851352,7.7725967
SG GRAND EST,"93 RUE BOECKLIN, 67000 STRASBOURG",67000,48.6020284,7.782555
SG GRAND EST,"1 QU DU GENERAL KOENIG, 67000 STRASBOURG",67000,48.5754246,7.7549865
SG GRAND EST,"4 RUE DU DOME, 67000 STRASBOURG",67000,48.5836302,7.7497528
SG GRAND EST,"28 AV GAL DE GAULLE, 67000 STRASBOURG",67000,48.5832105,7.755822
SG GRAND EST,"AV DE L'EUROPE, 67000 STRASBOURG",67000,48.5925042,7.7700903
SG GRAND EST,"255 RTE DE MITTELHAUSBERGEN, 67200 STRASBOURG",67200,48.5972874,7.7151042
SG GRAND EST,"65 RTE DES ROMAINS, 67200 STRASBOURG",67200,48.5792921,7.714503
SG GRAND EST,"267 AV DE COLMAR, 67100 STRASBOURG",67100,48.5534409,7.744746
SG GRAND EST,"8 PL SEBASTIEN BRANT, 67000 STRASBOURG",67000,48.5859077,7.7630309
SG GRAND EST,"1 RUE NATIONALE, 67160 WISSEMBOURG",67160,49.0367732,7.9448778
