nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"12 BD DELEAN, 14370 ARGENCES",14370,49.1274034,-0.1650709
SG GRAND OUEST,"26 RUE SAINT-MALO, 14400 BAYEUX",14400,49.2779513,-0.7051745
SG GRAND OUEST,"24 AV DE LA MER, 14390 CABOURG",14390,49.2907953,-0.1161316
SG GRAND OUEST,"42 RUE NICOLAS ORESME, 14000 CAEN",14000,49.1822149,-0.4005468
SG GRAND OUEST,"7 BD MARECHAL JUIN, 14000 CAEN",14000,49.209805,-0.3678796
SG GRAND OUEST,"1 PL DU 36e REGIMENT D'INFANTERIE, 14000 CAEN",14000,49.1779673,-0.3557056
SG GRAND OUEST,"130 BD MAL LECLERC, 14000 CAEN",14000,49.180888,-0.362462
SG GRAND OUEST,"34 RTE LA DELIVRANDE, 14000 CAEN",14000,49.2922085,-0.3894095
SG GRAND OUEST,"52 AV HENRI CHERON, 14000 CAEN",14000,49.1847762,-0.3739271
SG GRAND OUEST,"9 PL DE MORNY, 14800 DEAUVILLE",14800,49.353753,0.0767491
SG GRAND OUEST,"5 RUE PAUL CANTA, 14160 DIVES SUR MER",14160,49.2858878,-0.0973112
SG GRAND OUEST,"6 AVENUE DE LA BASILIQUE, 14440 DOUVRES LA DELIVRANDE",14440,49.2972645,-0.3726728
SG GRAND OUEST,"16 PL DU DR P.GERMAN, 14700 FALAISE",14700,48.8854164,-0.1985371
SG GRAND OUEST,"320 QUA DU VAL, 14200 HEROUVILLE ST CLAIR",14200,49.2041118,-0.3294516
SG GRAND OUEST,"4 RUE DES LOGETTES, 14600 HONFLEUR",14600,49.42133,0.2329978
SG GRAND OUEST,"9 PLACE CLAUDE DEBUSSY, 14123 IFS",14123,49.1401026,-0.3536822
SG GRAND OUEST,"23 RUE PONT MORTAIN, 14100 LISIEUX",14100,49.1437127,0.2267381
SG GRAND OUEST,"2 RUE VOLTAIRE, 14270 MEZIDON VALLEE D AUGE",14270,49.0719198,-0.073671
SG GRAND OUEST,"Z.A DE L'ETOILE, 14120 MONDEVILLE",14120,49.170671,-0.3131835
SG GRAND OUEST,"97 RUE GRANDE, 14290 ORBEC",14290,49.0218368,0.4067459
SG GRAND OUEST,"4 RUE AUBER, 14150 OUISTREHAM",14150,49.2859256,-0.2626612
SG GRAND OUEST,"13 PL JEAN BUREAU, 14130 PONT L EVEQUE",14130,49.286511,0.186237
SG GRAND OUEST,"PL DU MARCHE, 14170 ST PIERRE EN AUGE",14170,49.0176848,-0.0312281
SG GRAND OUEST,"6 RUE VICTOR HUGO, 14360 TROUVILLE SUR MER",14360,49.3667633,0.0807487
SG GRAND OUEST,"37 PL JEANNE D ARC, 14640 VILLERS SUR MER",14640,49.3219955,-0.0055821
SG GRAND OUEST,"17 RUE D'AIGNAUX, 14500 VIRE NORMANDIE",14500,48.8399184,-0.8919819
