nom,adresse,code_postal,latitude,longitude
SG SUD OUEST,"26 B AV CDT LISIACK, 17440 AYTRE",17440,46.1311315,-1.1147519
SG SUD OUEST,"109-111 BD DE LA REPUBLIQUE, 17340 CHATELAILLON PLAGE",17340,46.0768552,-1.0919335
SG SUD OUEST,"12 RUE DU PALAIS, 17000 LA ROCHELLE",17000,46.1595202,-1.1537208
SG SUD OUEST,"48 AV JEAN MONNET, 17000 LA ROCHELLE",17000,46.1457781,-1.1525509
SG SUD OUEST,"125 BD ANDRE SAUTEL, 17000 LA ROCHELLE",17000,46.1665781,-1.1368554
SG SUD OUEST,"AV DU FIEF ROSE, 17140 LAGORD",17140,46.1774721,-1.1674052
SG SUD OUEST,"PL GAL DE GAULLE, 17480 LE CHATEAU D OLERON",17480,45.8786511,-1.2183758
SG SUD OUEST,"7 RUE PASTEUR, 17800 PONS",17800,45.5798626,-0.5466844
SG SUD OUEST,"28 B RUE DE PUYRAVAULT, 17300 ROCHEFORT",17300,46.1456839,-0.8029765
SG SUD OUEST,"3 FRONT DE MER, 17200 ROYAN",17200,45.6241303,-1.0277621
SG SUD OUEST,"1 PL CHARLES DE GAULLE, 17200 ROYAN",17200,45.6240008,-1.0316415
SG SUD OUEST,"5 PL ANDRE LEMOYNE, 17400 ST JEAN D ANGELY",17400,45.9456066,-0.523238
SG SUD OUEST,"RTE DE LA FLOTTE, 17410 ST MARTIN DE RE",17410,46.1975903,-1.3677464
SG SUD OUEST,"44 CRS NATIONAL MICHEL BARON, 17100 SAINTES",17100,45.7472478,-0.6342144
SG SUD OUEST,"28 B PL GEN DE GAULLE, 17600 SAUJON",17600,45.6612227,-0.920639
SG SUD OUEST,"16 PL DE L'EUROPE, 17700 SURGERES",17700,46.1067285,-0.751789
