nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"13 RUE LA FERRONNERIE, 22100 DINAN",22100,48.4404169,-2.0749574
SG GRAND OUEST,"8 RUE CLEMENCEAU, 22430 ERQUY",22430,48.6290482,-2.4661136
SG GRAND OUEST,"32 PL DU CENTRE, 22200 GUINGAMP",22200,48.5625573,-3.1518235
SG GRAND OUEST,"30 RUE CHARLES CARTEL, 22400 LAMBALLE ARMOR",22400,48.4683983,-2.5157765
SG GRAND OUEST,"CTRE CIAL CARREFOUR, 22360 LANGUEUX",22360,48.5023434,-2.7135788
SG GRAND OUEST,"4 QU D'AIGUILLON, 22300 LANNION",22300,48.7323941,-3.462054
SG GRAND OUEST,"16 AV DES COMBATTANTS, 22600 LOUDEAC",22600,48.1773886,-2.7539304
SG GRAND OUEST,"6 PL LA REPUBLIQUE, 22500 PAIMPOL",22500,48.7789874,-3.0449326
SG GRAND OUEST,"4 RUE DE LA POSTE, 22700 PERROS GUIREC",22700,48.815545,-3.443949
SG GRAND OUEST,"56 RUE SAINT-GUILLAUME, 22000 ST BRIEUC",22000,48.5122633,-2.7592471
SG GRAND OUEST,"16 QU DE LA REPUBLIQUE, 22410 ST QUAY PORTRIEUX",22410,48.6482618,-2.8260619
