nom,adresse,code_postal,latitude,longitude
SG TARNEAUD,"64 RUE NEUVE D ARGENSON, 24100 BERGERAC",24100,44.8527983,0.4870045
SG TARNEAUD,"8 RTE DE BEAULIEU, 24430 MARSAC SUR L ISLE",24430,45.184331,0.661529
SG TARNEAUD,"9 AV DU GENERAL LECLERC, 24300 NONTRON",24300,45.5249509,0.6597449
SG TARNEAUD,"17 RUE DU PDT WILSON, 24000 PERIGUEUX",24000,45.1937962,0.7146051
SG TARNEAUD,"11 RUE DES ALLIES, 24360 PIEGUT PLUVIERS",24360,45.6247309,0.6868878
SG TARNEAUD,"15 PL NATIONALE, 24600 RIBERAC",24600,45.2470745,0.3400348
SG TARNEAUD,"39 RUE REPUBLIQUE, 24200 SARLAT LA CANEDA",24200,44.888776,1.216141
SG TARNEAUD,"10 RUE DU GOU GENERAL COURNARIE, 24120 TERRASSON LAVILLEDIEU",24120,45.1329868,1.2920588
SG TARNEAUD,"36 RUE LAMY, 24800 THIVIERS",24800,45.4159972,0.9215024
SG TARNEAUD,"235 AV MICHEL GRANDOU, 24750 TRELISSAC",24750,45.18868,0.761119
