nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"8 ALL DE PROVENCE, 26300 BOURG DE PEAGE",26300,45.035498,5.053041
SG AUVERGNE RHÔNE ALPES,"4 AVENUE JEAN MOULIN, 26500 BOURG LES VALENCE",26500,44.9482412,4.8979838
SG AUVERGNE RHÔNE ALPES,"11 RUE DE L HOPITAL, 26120 CHABEUIL",26120,44.8999963,5.018559
SG AUVERGNE RHÔNE ALPES,"7 CRS DE JOUBERNON, 26400 CREST",26400,44.728553,5.0257125
SG AUVERGNE RHÔNE ALPES,"7-9 RUE DES REYMONDS, 26220 DIEULEFIT",26220,44.5175259,5.0804422
SG AUVERGNE RHÔNE ALPES,"19 AV LEON AUBIN, 26250 LIVRON SUR DROME",26250,44.7729401,4.843996
SG AUVERGNE RHÔNE ALPES,"23 RUE RAYMOND DAUJAT, 26200 MONTELIMAR",26200,44.5580217,4.7485778
SG AUVERGNE RHÔNE ALPES,"1 RUE DU MARECHAL LECLERC, 26200 MONTELIMAR",26200,44.5418347,4.7479845
SG AUVERGNE RHÔNE ALPES,"10 PL DE LA LIBERATION, 26110 NYONS",26110,44.3473572,4.7657537
SG AUVERGNE RHÔNE ALPES,"9 PL XAVIER TAILLADE, 26700 PIERRELATTE",26700,44.3768732,4.6959123
SG AUVERGNE RHÔNE ALPES,"1 PL JACQUEMART, 26100 ROMANS SUR ISERE",26100,45.0440958,5.0474696
SG AUVERGNE RHÔNE ALPES,"13 PL DU CHAMPS DE MARS, 26190 ST JEAN EN ROYANS",26190,45.0192446,5.2923835
SG AUVERGNE RHÔNE ALPES,"6 PL DE LA LIBERATION, 26130 ST PAUL TROIS CHATEAUX",26130,44.3472948,4.7655011
SG AUVERGNE RHÔNE ALPES,"38 BD GAL DE GAULLE, 26000 VALENCE",26000,44.9234681,4.9072381
SG AUVERGNE RHÔNE ALPES,"195 AV VICTOR HUGO, 26000 VALENCE",26000,44.9216965,4.8864495
