nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"23 RUE NATIONALE, 91670 ANGERVILLE",91670,48.3121704,1.9991868
SG SOCIETE GENERALE,"5 PL DU MARCHE, 91290 ARPAJON",91290,48.5884997,2.2493971
SG SOCIETE GENERALE,"12 AV JACQUES CHIRAC, 91200 ATHIS MONS",91200,48.7059612,2.3702045
SG SOCIETE GENERALE,"1 B R DE CHEVANNES, 91610 BALLANCOURT SUR ESSONNE",91610,48.5246964,2.3871059
SG SOCIETE GENERALE,"PL FRANCIS COMBE, 91070 BONDOUFLE",91070,48.6132329,2.3765611
SG SOCIETE GENERALE,"14 BD DE LA REPUBLIQUE, 91220 BRETIGNY SUR ORGE",91220,48.6078739,2.3063416
SG SOCIETE GENERALE,"4 RTE DE DOURDAN, 91650 BREUILLET",91650,48.5659595,2.1698728
SG SOCIETE GENERALE,"2 PL SAINT-MEDARD, 91800 BRUNOY",91800,48.6980181,2.5027264
SG SOCIETE GENERALE,"23 AV PIERRE BROSSOLETTE, 91380 CHILLY MAZARIN",91380,48.6992036,2.303929
SG SOCIETE GENERALE,"3 RUE FERAY, 91100 CORBEIL ESSONNES",91100,48.6118534,2.4810129
SG SOCIETE GENERALE,"31 RUE DE CHARTRES, 91410 DOURDAN",91410,48.5313501,2.0099744
SG SOCIETE GENERALE,"107 AV HENRI BARBUSSE, 91210 DRAVEIL",91210,48.6777254,2.4238978
SG SOCIETE GENERALE,"2 RUE DU CHATEAU, 91150 ETAMPES",91150,48.436295,2.1608
SG SOCIETE GENERALE,"36 GRANDE RUE, 91580 ETRECHY",91580,48.493109,2.1914787
SG SOCIETE GENERALE,"25 CRS BLAISE PASCAL, 91000 EVRY COURCOURONNES",91000,48.6261129,2.4302879
SG SOCIETE GENERALE,"1 RUE MONTESPAN, 91000 EVRY COURCOURONNES",91000,48.6354749,2.4387737
SG SOCIETE GENERALE,"1 PL DU MARCHE NEUF, 91190 GIF SUR YVETTE",91190,48.6881593,2.1157435
SG SOCIETE GENERALE,"4 MAIL PIERRE POTIER, 91190 GIF SUR YVETTE",91190,48.7110932,2.1626037
SG SOCIETE GENERALE,"1 PL DE L'EGLISE, 91190 GIF SUR YVETTE",91190,48.7022091,2.1352322
SG SOCIETE GENERALE,"6 PL DE STALINGRAD, 91430 IGNY",91430,48.7328329,2.2209794
SG SOCIETE GENERALE,"25 GRANDE RUE, 91260 JUVISY SUR ORGE",91260,48.689603,2.3756611
SG SOCIETE GENERALE,"6 PL DE LA LIBERATION, 91590 LA FERTE ALAIS",91590,48.4824089,2.3476234
SG SOCIETE GENERALE,"8 RUE DU MAL FOCH, 91510 LARDY",91510,48.5107746,2.2504618
SG SOCIETE GENERALE,"AV DE BERRY, 91940 LES ULIS",91940,48.675376,2.1662042
SG SOCIETE GENERALE,"3 RUE MAURICE BENE, 91470 LIMOURS",91470,48.6442322,2.0784814
SG SOCIETE GENERALE,"2 PL DE BRETTEN, 91160 LONGJUMEAU",91160,48.6972359,2.2927722
SG SOCIETE GENERALE,"10 ALL JOSEPHINE BAKER, 91300 MASSY",91300,48.7330294,2.2888255
SG SOCIETE GENERALE,"32 AVENUE RAYMOND ARON, 91300 MASSY",91300,48.7242402,2.2549718
SG SOCIETE GENERALE,"1 RUE LA CROIX BOISSEE, 91540 MENNECY",91540,48.561406,2.4212741
SG SOCIETE GENERALE,"45 PL DU MARCHE, 91490 MILLY LA FORET",91490,48.4019019,2.470567
SG SOCIETE GENERALE,"95 AV DE LA REPUBLIQUE, 91230 MONTGERON",91230,48.7047065,2.4606971
SG SOCIETE GENERALE,"3 PL DU MARCHE, 91310 MONTLHERY",91310,48.6385941,2.2707925
SG SOCIETE GENERALE,"57 RTE DE CORBEIL, 91390 MORSANG SUR ORGE",91390,48.6575753,2.3394661
SG SOCIETE GENERALE,"4 T RUE DE PARIS, 91400 ORSAY",91400,48.6962535,2.1916598
SG SOCIETE GENERALE,"138 RUE DE PARIS, 91120 PALAISEAU",91120,48.715127,2.2460086
SG SOCIETE GENERALE,"6 RUE DE GRIGNY, 91130 RIS ORANGIS",91130,48.6451959,2.4131769
SG SOCIETE GENERALE,"125 BD ARISTIDE BRIAND, 91600 SAVIGNY SUR ORGE",91600,48.6865596,2.3517742
SG SOCIETE GENERALE,"8 RUE DES FCS BOURGEOIS, 91450 SOISY SUR SEINE",91450,48.6528451,2.4692383
SG SOCIETE GENERALE,"75 AV GABRIEL PERI, 91700 STE GENEVIEVE DES BOIS",91700,48.6493026,2.3199678
SG SOCIETE GENERALE,"RUE DU CLOS GUINAUT, 91280 ST PIERRE DU PERRAY",91280,48.6150135,2.5049598
SG SOCIETE GENERALE,"7 RUE DE PARON, 91370 VERRIERES LE BUISSON",91370,48.7471206,2.2660307
SG SOCIETE GENERALE,"55 B AV H. CHARRON, 91270 VIGNEUX SUR SEINE",91270,48.7022884,2.4206215
SG SOCIETE GENERALE,"RTE DE VILLOISON, 91100 VILLABE",91100,48.5841295,2.4438751
SG SOCIETE GENERALE,"13 RUE ALEXANDRE DUMAS, 91170 VIRY CHATILLON",91170,48.6707247,2.3760385
SG SOCIETE GENERALE,"C.C. JARDINS DE CONCY, 91330 YERRES",91330,48.7128246,2.4955774
