nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"3 RUE DE L'ABBATIALE, 27300 BERNAY",27300,49.089675,0.5985185
SG GRAND OUEST,"239 GRANDE RUE, 27310 BOURG ACHARD",27310,49.354677,0.815659
SG GRAND OUEST,"PL FREMONT DES ESSARTS, 27800 BRIONNE",27800,49.1943723,0.7199961
SG GRAND OUEST,"24 RUE CHARTRAINE, 27000 EVREUX",27000,49.024951,1.1484306
SG GRAND OUEST,"1 AV DU GAL LECLERC, 27600 GAILLON",27600,49.1537201,1.3093275
SG CREDIT DU NORD,"10-12 RUE DU GAL DE GAULLE, 27140 GISORS",27140,49.321138,1.7281728
SG GRAND OUEST,"70 AV ARISTIDE BRIAND, 27930 GRAVIGNY",27930,49.047244,1.1628441
SG GRAND OUEST,"94 RUE HENRI IV, 27540 IVRY LA BATAILLE",27540,48.8832515,1.4656051
SG GRAND OUEST,"19 RUE DUPONT DE L'EURE, 27110 LE NEUBOURG",27110,49.149234,0.9039295
SG GRAND OUEST,"11 PL DU GAL DE GAULLE, 27100 LE VAUDREUIL",27100,49.2574573,1.2049278
SG GRAND OUEST,"29 PL NICOLAS POUSSIN, 27700 LES ANDELYS",27700,49.2465946,1.4182285
SG GRAND OUEST,"37 RUE DU MARECHAL FOCH, 27400 LOUVIERS",27400,49.2123747,1.1699134
SG GRAND OUEST,"10 RUE DE L'HOTEL DIEU, 27320 NONANCOURT",27320,48.7700207,1.1975325
SG GRAND OUEST,"95 RUE ISAMBARD, 27120 PACY SUR EURE",27120,49.0145346,1.3817651
SG GRAND OUEST,"12 RUE ALFRED CANEL, 27500 PONT AUDEMER",27500,49.3535435,0.5146941
SG GRAND OUEST,"4 RUE BLIN, 27340 PONT DE L ARCHE",27340,49.3046123,1.1549277
SG GRAND OUEST,"74 RUE CHANOINE BOULOGNE, 27220 ST ANDRE DE L EURE",27220,48.903447,1.2858057
SG GRAND OUEST,"2 TER RUE DE L'EQUERRE, 27180 ST SEBASTIEN DE MORSENT",27180,49.0073723,1.0862236
SG GRAND OUEST,"51 PL DE LA MADELEINE, 27130 VERNEUIL D AVRE ET D ITON",27130,48.7392481,0.9291053
SG GRAND OUEST,"PL D'EVREUX, 27200 VERNON",27200,49.0920943,1.4822047
