nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"13 PL DU MARCHE, 28700 AUNEAU BLEURY SAINT SYMPHORIEN",28700,48.4620033,1.7735985
SG GRAND OUEST,"38 RUE DES CHANGES, 28160 BROU",28160,48.2101142,1.1663058
SG GRAND OUEST,"15 RUE SAINTE-MEME, 28000 CHARTRES",28000,48.4463419,1.4858431
SG GRAND OUEST,"21 AV DES SABLONS, 28000 CHARTRES",28000,48.4465565,1.5154247
SG GRAND OUEST,"10 PL DU 18 OCTOBRE, 28200 CHATEAUDUN",28200,48.0697449,1.3282074
SG GRAND OUEST,"12 RUE M.VIOLLETTE, 28100 DREUX",28100,48.7479742,1.3597333
SG SOCIETE GENERALE,"18 RUE DU GRAND PONT, 28230 EPERNON",28230,48.6079148,1.6805329
SG GRAND OUEST,"61 BIS RUE DE LA REPUBLIQUE, 28110 LUCE",28110,48.4381896,1.4536183
SG GRAND OUEST,"7 RUE DU GAL DE GAULLE, 28210 NOGENT LE ROI",28210,48.6468409,1.5332874
SG GRAND OUEST,"44 PL DU GAL DE ST-POL, 28400 NOGENT LE ROTROU",28400,48.3177475,0.8679516
