nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"72 RUE DE SIAM, 29200 BREST",29200,48.3887556,-4.4884669
SG GRAND OUEST,"11 PL DES F.F.I, 29200 BREST",29200,48.4163411,-4.4922676
SG GRAND OUEST,"146 R JEAN JAURES, 29200 BREST",29200,48.3966384,-4.4763208
SG GRAND OUEST,"30 QU CARNOT, 29150 CHATEAULIN",29150,48.1960957,-4.094829
SG GRAND OUEST,"10 RUE GENERAL MORVAN, 29900 CONCARNEAU",29900,47.8733655,-3.9191487
SG GRAND OUEST,"2 RUE JEAN BART, 29100 DOUARNENEZ",29100,48.0932515,-4.3290527
SG GRAND OUEST,"19 RUE DE CORNOUAILLE, 29170 FOUESNANT",29170,47.8936013,-4.0114905
SG GRAND OUEST,"9 RUE DE PARIS, 29490 GUIPAVAS",29490,48.4347386,-4.4011159
SG GRAND OUEST,"20 RUE DE BREST, 29800 LANDERNEAU",29800,48.4504825,-4.253282
SG GRAND OUEST,"14 PL DES OTAGES, 29600 MORLAIX",29600,48.578639,-3.828779
SG GRAND OUEST,"15 PL GAMBETTA, 29120 PONT L ABBE",29120,47.8643144,-4.2219054
SG GRAND OUEST,"2 RUE DU PARC, 29000 QUIMPER",29000,47.994989,-4.1028284
SG GRAND OUEST,"97 RTE DE BENODET, 29000 QUIMPER",29000,47.981823,-4.1026512
SG GRAND OUEST,"2 PL CARNOT, 29300 QUIMPERLE",29300,47.8723726,-3.5466336
SG GRAND OUEST,"31 RUE GENERAL LECLERC, 29250 ST POL DE LEON",29250,48.6832036,-3.9867404
