nom,adresse,code_postal,latitude,longitude
SG COURTOIS,"7 B BD GAMBETTA, 30220 AIGUES MORTES",30220,43.5656346,4.1922923
SG COURTOIS,"24 RUE D'AVEJAN, 30100 ALES",30100,44.1229375,4.0795385
SG COURTOIS,"CHE DES DUPINES BASSES PRAIRIES, 30100 ALES",30100,44.1249969,4.0879192
SG SMC,"17 BD LACOMBE, 30200 BAGNOLS SUR CEZE",30200,44.1626977,4.6223593
SG SMC,"ZAC DES MILLIAIRES, 30300 BEAUCAIRE",30300,43.7882494,4.5901712
SG COURTOIS,"7 PL DE LA REPUBLIQUE, 30240 LE GRAU DU ROI",30240,43.5360049,4.1372113
SG COURTOIS,"5 PL D'ASSAS, 30120 LE VIGAN",30120,43.9920935,3.6068425
SG SMC,"49 BD DIDEROT, 30133 LES ANGLES",30133,43.958052,4.75892
SG COURTOIS,"7 BD AMIRAL COURBET, 30000 NIMES",30000,43.8368645,4.3624952
SG COURTOIS,"442 AV JEAN PROUVE, 30900 NIMES",30900,43.8140402,4.3523546
SG COURTOIS,"21 BD VICTOR HUGO, 30000 NIMES",30000,43.8375716,4.3555016
SG COURTOIS,"1590 BD DU PDT SALVADOR ALLENDE, 30000 NIMES",30000,43.8368142,4.361358
SG COURTOIS,"16 RUE REGALE, 30000 NIMES",30000,43.8357065,4.3611949
SG SMC,"AV GASTON DOUMERGUE, 30130 PONT ST ESPRIT",30130,44.2546778,4.6475225
SG COURTOIS,"13 RUE GAMBETTA, 30800 ST GILLES",30800,43.6752955,4.4312686
SG COURTOIS,"3 BD DES ALLIES, 30700 UZES",30700,44.0114115,4.417887
