nom,adresse,code_postal,latitude,longitude
SG SUD OUEST,"10 AV DE BORDEAUX, 33510 ANDERNOS LES BAINS",33510,44.7429398,-1.0969705
SG SUD OUEST,"4 AV GAMBETTA, 33120 ARCACHON",33120,44.6621452,-1.1684328
SG SUD OUEST,"15 AV DE LA PLAGE, 33740 ARES",33740,44.7654262,-1.1405296
SG SUD OUEST,"2 AV SAINT EXUPERY, 33530 BASSENS",33530,44.9019185,-0.5142698
SG SUD OUEST,"3 RUE CALIXTE CAMELLE, 33130 BEGLES",33130,44.8079691,-0.5461577
SG SUD OUEST,"122 AV DE LA COTE D'ARGENT, 33380 BIGANOS",33380,44.638228,-0.967019
SG SUD OUEST,"9 RUE GAMBETTA, 33290 BLANQUEFORT",33290,44.9101308,-0.6356956
SG SUD OUEST,"7 CRS MAL DE LATTRE DE TASSIGNY, 33390 BLAYE",33390,45.1644323,-0.6205711
SG SUD OUEST,"22 PL STALINGRAD, 33100 BORDEAUX",33100,44.8408279,-0.5598905
SG SUD OUEST,"157 AV LOUIS BARTHOU, 33200 BORDEAUX",33200,44.8524074,-0.6151919
SG SUD OUEST,"1 CRS BALGUERIE STUTTENBERG, 33300 BORDEAUX",33300,44.8554675,-0.5710721
SG SUD OUEST,"246 CRS DE LA MARNE, 33800 BORDEAUX",33800,44.8273409,-0.556837
SG SUD OUEST,"28 CRS DE L'INTENDANCE, 33000 BORDEAUX",33000,44.8416634,-0.5770076
SG SUD OUEST,"31 RUE EDMOND MICHELET, 33000 BORDEAUX",33000,44.8401633,-0.5821013
SG SUD OUEST,"113 RUE DU GRAND MAURIAN, 33000 BORDEAUX",33000,44.8322336,-0.6096918
SG SUD OUEST,"116 CRS A.BRIAND, 33000 BORDEAUX",33000,44.8391049,-0.5814266
SG SUD OUEST,"4 ALL DES BORGES, 33520 BRUGES",33520,44.8821059,-0.6130968
SG SUD OUEST,"5 RTE DE BRANNE, 33410 CADILLAC SUR GARONNE",33410,44.6362004,-0.3183968
SG SUD OUEST,"19 AV ROGER SCHWOB, 33150 CENON",33150,44.85559,-0.519075
SG SUD OUEST,"3 PL DU SOUVENIR, 33610 CESTAS",33610,44.7417402,-0.6851368
SG SUD OUEST,"7 PL ERNEST BARRAUD, 33230 COUTRAS",33230,45.0398676,-0.1295375
SG SUD OUEST,"15 AV ENTRE DEUX MERS, 33670 CREON",33670,44.7721021,-0.3404388
SG SUD OUEST,"144 CRS GAL DE GAULLE, 33170 GRADIGNAN",33170,44.7680587,-0.6168636
SG SUD OUEST,"124 CRS REPUBLIQUE, 33470 GUJAN MESTRAS",33470,44.639446,-1.05899
SG SUD OUEST,"2 AV CHARLES DE GAULLE, 33650 LA BREDE",33650,44.6820656,-0.5271776
SG SUD OUEST,"3 PL DE LA LIBERATION, 33190 LA REOLE",33190,44.5820756,-0.0366806
SG SUD OUEST,"3 RUE DU QUATORZE JUILLET, 33260 TESTE-DE-BUCH",33260,44.632395,-1.148541
SG SUD OUEST,"21 AV DE LA COTE D'ARGENT, 33680 LACANAU",33680,44.9812637,-1.08014
SG SUD OUEST,"43 AV DU GENERAL DE GAULLE, 33550 LANGOIRAN",33550,44.7063393,-0.4006949
SG SUD OUEST,"18 ALL JEAN JAURES, 33210 LANGON",33210,44.5532946,-0.2448132
SG SUD OUEST,"42 AV DE LA LIBERATION, 33110 LE BOUSCAT",33110,44.8549341,-0.5952674
SG SUD OUEST,"75 RUE GAMBETTA, 33500 LIBOURNE",33500,44.9154529,-0.2429114
SG SUD OUEST,"9 AV DE LA REPUBLIQUE, 33127 MARTIGNAS SUR JALLE",33127,44.8397055,-0.7749432
SG SUD OUEST,"10 PL CH.DE GAULLE, 33700 MERIGNAC",33700,44.8313054,-0.6794484
SG SUD OUEST,"29 RUE JEAN JAURES, 33250 PAUILLAC",33250,45.2001496,-0.7502836
SG SUD OUEST,"PL DU MONTEIL, 33600 PESSAC",33600,44.8022125,-0.6482089
SG SUD OUEST,"43 AV DU GEN LECLERC, 33600 PESSAC",33600,44.7856935,-0.6827106
SG SUD OUEST,"PL L'HOTEL DE VILLE, 33450 ST LOUBES",33450,44.9165402,-0.4271249
SG SUD OUEST,"PL DE LA REPUBLIQUE, 33160 ST MEDARD EN JALLES",33160,44.8948429,-0.7144999
SG SUD OUEST,"1 RUE DE LA REPUBLIQUE, 33220 STE FOY LA GRANDE",33220,44.8418346,0.2166914
SG SUD OUEST,"17 RUE DE LA HAUTE LANDE, 33770 SALLES",33770,44.5476538,-0.8729263
SG SUD OUEST,"28 ALL DU CHAMP DE FOIRE, 33240 ST ANDRE DE CUBZAC",33240,44.9955203,-0.4439373
SG SUD OUEST,"1bis AV DE L'EUROPE, 33350 ST MAGNE DE CASTILLON",33350,44.8545422,-0.0619377
SG SUD OUEST,"285 CRS DE LA LIBERATION, 33400 TALENCE",33400,44.8120586,-0.5912904
SG SUD OUEST,"RUE THIERS, 33140 VILLENAVE D ORNON",33140,44.7652231,-0.5832177
SG SUD OUEST,"561 RTE DE TOULOUSE, 33140 VILLENAVE D ORNON",33140,44.783682,-0.5663889
