nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"26 RUE CHARLES DE GAULLE, 68130 ALTKIRCH",68130,47.6231126,7.2367392
SG GRAND EST,"3 A RUE POINCARE, 68700 CERNAY",68700,47.8087965,7.1756407
SG GRAND EST,"17 RUE DES TETES, 68000 COLMAR",68000,48.0787034,7.355729
SG GRAND EST,"197 AV D ALSACE, 68000 COLMAR",68000,48.0651137,7.364072
SG GRAND EST,"24 AV DE LA LIBERTE, 68000 COLMAR",68000,48.0772562,7.3375172
SG GRAND EST,"17 RUE DE LA REPUBLIQUE, 68500 GUEBWILLER",68500,47.9073079,7.2135693
SG GRAND EST,"2 RUE DE BRUXELLES, 68260 KINGERSHEIM",68260,47.7911034,7.3409051
SG GRAND EST,"2 BD DE L'EUROPE, 68100 MULHOUSE",68100,47.7519523,7.3449009
SG GRAND EST,"2 AV DE RIEDISHEIM, 68100 MULHOUSE",68100,47.7435904,7.3480477
SG GRAND EST,"3 RUE BARTHOLDI, 68400 RIEDISHEIM",68400,47.743581,7.3654307
SG GRAND EST,"2 RTE DE L'ILE NAPOLEON, 68170 RIXHEIM",68170,47.7447241,7.4135967
SG GRAND EST,"4 RUE DE HUNINGUE, 68300 ST LOUIS",68300,47.5861928,7.5640958
SG GRAND EST,"3 RUE KLEBER, 68800 THANN",68800,47.8103624,7.102777
