nom,adresse,code_postal,latitude,longitude
SG COURTOIS,"51 B ROUTE DE FRONTON, 31140 AUCAMVILLE",31140,43.6642597,1.4305341
SG COURTOIS,"22 RTE DE TOULOUSE, 31190 AUTERIVE",31190,43.3712822,1.4478041
SG COURTOIS,"20 PL GABRIEL ROUY, 31110 BAGNERES DE LUCHON",31110,42.7917332,0.5886523
SG COURTOIS,"1 RTE DE MONS, 31130 BALMA",31130,43.6099405,1.4982612
SG COURTOIS,"12 RUE PROSPER FERRADOU, 31700 BLAGNAC",31700,43.6341433,1.3969065
SG COURTOIS,"1 AV GEORGES BRASSENS, 31700 BLAGNAC",31700,43.6500925,1.3813201
SG COURTOIS,"11 PL JULES FERRY, 31390 CARBONNE",31390,43.2938231,1.2259425
SG COURTOIS,"47 ET 47 BIS AVENUE DE TOULOUSE, 31320 CASTANET TOLOSAN",31320,43.5026108,1.4800639
SG COURTOIS,"47 AV PASTEUR, 31220 CAZERES",31220,43.2094781,1.0855083
SG COURTOIS,"19 RUE D'AUCH, 31770 COLOMIERS",31770,43.6080252,1.3386243
SG COURTOIS,"5 RUE GILET, 31770 COLOMIERS",31770,43.6085433,1.3391737
SG COURTOIS,"3 RUE ANTOINE LAVOISIER, 31770 COLOMIERS",31770,43.611091,1.3097691
SG COURTOIS,"3 AV DE TOULOUSE, 31270 CUGNAUX",31270,43.5447797,1.3503931
SG COURTOIS,"10 AV DU CAGIRE, 31800 ESTANCARBON",31800,43.1172897,0.7610104
SG COURTOIS,"C.CIAL SAINT CAPRAIS, 31240 L UNION",31240,43.6569515,1.4931159
SG COURTOIS,"1 ALL DES NYMPHEAS, 31240 L UNION",31240,43.6555691,1.4765822
SG COURTOIS,"1 RUE SAINT JEAN, 31210 MONTREJEAU",31210,43.0852109,0.5685684
SG COURTOIS,"50 AV JACQUES DOUZANS, 31600 MURET",31600,43.467622,1.3285518
SG COURTOIS,"1 PL LAYRISSON, 31600 MURET",31600,43.4605048,1.3243089
SG COURTOIS,"1 AV DE L'ENCLOS, 31120 PORTET SUR GARONNE",31120,43.53648,1.3970328
SG COURTOIS,"CENTRE COMMERCIAL DU PARC, 31130 QUINT FONSEGRIVES",31130,43.5854254,1.5308893
SG COURTOIS,"4 RUE BAUDELAIRE, 31520 RAMONVILLE ST AGNE",31520,43.5474415,1.4699269
SG COURTOIS,"44 AV DE CASTELNAUDARY, 31250 REVEL",31250,43.4552215,1.9969417
SG COURTOIS,"PL JEAN MOULIN, 31470 ST LYS",31470,43.5132279,1.1751512
SG COURTOIS,"38 AV DE GAMEVILLE, 31650 ST ORENS DE GAMEVILLE",31650,43.5529794,1.5331373
SG COURTOIS,"179 AV DES MINIMES, 31200 TOULOUSE",31200,43.6203852,1.4358046
SG COURTOIS,"3 B BD LASCROSSES, 31000 TOULOUSE",31000,43.6104802,1.4353263
SG COURTOIS,"49 AV E BILLIERES, 31000 TOULOUSE",31000,43.6044303,1.4391951
SG COURTOIS,"166 AV JEAN RIEUX, 31500 TOULOUSE",31500,43.590263,1.4699434
SG COURTOIS,"207 RTE D'ALBI, 31200 TOULOUSE",31200,43.6422151,1.4671169
SG COURTOIS,"2 BD GRIFFOUL DORVAL, 31400 TOULOUSE",31400,43.5881413,1.4611528
SG COURTOIS,"118 AV CAMILLE PUJOL, 31500 TOULOUSE",31500,43.6006228,1.4680393
SG COURTOIS,"272 AV SAINT-EXUPERY, 31400 TOULOUSE",31400,43.5791186,1.4828895
SG COURTOIS,"64 RUE BENJAMIN BAILLAUD, 31500 TOULOUSE",31500,43.6175447,1.4655995
SG COURTOIS,"40 AV LOUIS ARISTE PASSERIEU, 31100 TOULOUSE",31100,43.58154,1.3892816
SG COURTOIS,"36 RUE DE METZ, 31000 TOULOUSE",31000,43.6004691,1.447263
SG COURTOIS,"103 AV JULES JULIEN, 31400 TOULOUSE",31400,43.57753,1.4504032
SG COURTOIS,"18 PL ROGUET, 31300 TOULOUSE",31300,43.5974736,1.4306293
SG COURTOIS,"9 PL ST ETIENNE, 31000 TOULOUSE",31000,43.5998899,1.4487318
SG COURTOIS,"21 GR RUE ST-MICHEL, 31400 TOULOUSE",31400,43.5652405,1.4728899
SG COURTOIS,"22 BD DE STRASBOURG, 31000 TOULOUSE",31000,43.6073706,1.447261
SG COURTOIS,"129 RUE GASTON DOUMERGUE, 31170 TOURNEFEUILLE",31170,43.5848935,1.3482239
SG COURTOIS,"251 RUE GASTON DOUMERGUE, 31170 TOURNEFEUILLE",31170,43.5881408,1.3569152
SG COURTOIS,"113 RUE DE REPUBLIQUE, 31290 VILLEFRANCHE DE LAURAGAIS",31290,43.3988997,1.7168363
