nom,adresse,code_postal,latitude,longitude
SG LAYDERNIER,"120 RTE DE LA ROCHE, 74800 AMANCY",74800,46.0699929,6.3189507
SG LAYDERNIER,"21 RTE DE VIGNIERES, 74000 ANNECY",74000,45.908583,6.139765
SG LAYDERNIER,"10 AV DU RHONE, 74000 ANNECY",74000,45.8993822,6.1175906
SG LAYDERNIER,"32 AV DE LA REPUBLIQUE, 74960 ANNECY",74960,45.9074948,6.1087316
SG LAYDERNIER,"73 AV DE GENEVE, 74000 ANNECY",74000,45.914652,6.123469
SG LAYDERNIER,"9 B RUE ROYALE, 74000 ANNECY",74000,45.8998591,6.1225536
SG LAYDERNIER,"10 PL HOTEL DE VILLE, 74100 ANNEMASSE",74100,46.1927077,6.2338841
SG LAYDERNIER,"101 RUE DU PONT, 74130 BONNEVILLE",74130,46.0764136,6.407496
SG LAYDERNIER,"12 PL J.BALMAT, 74400 CHAMONIX MONT BLANC",74400,45.9281807,6.9341723
SG LAYDERNIER,"3 GRAND-RUE, 74300 CLUSES",74300,46.0414356,6.6112769
SG LAYDERNIER,"1 AV JEAN LEGER, 74500 EVIAN LES BAINS",74500,46.4001813,6.5939295
SG LAYDERNIER,"15 PL JOSEPH SERAND, 74210 FAVERGES SEYTHENEX",74210,45.748302,6.2928272
SG LAYDERNIER,"211 RTE DE VILLAVIT, 74450 LE GRAND BORNAND",74450,45.9389621,6.4212075
SG LAYDERNIER,"34 RTE DE PARIS, 74330 LA BALME DE SILLINGY",74330,45.9610549,6.0401022
SG LAYDERNIER,"5 RTE DE LA PISCINE, 74220 LA CLUSAZ",74220,45.9068077,6.4288033
SG LAYDERNIER,"136 RUE CARNOT, 74800 LA ROCHE SUR FORON",74800,46.0662628,6.3117343
SG LAYDERNIER,"186 PL DE L'EGLISE, 74120 MEGEVE",74120,45.8568204,6.6178388
SG LAYDERNIER,"1 B RUE DE LATHARDAZ, 74960 ANNECY",74960,45.909911,6.1014159
SG LAYDERNIER,"56 AV GANTIN, 74150 RUMILLY",74150,45.85964,5.94851
SG LAYDERNIER,"66 AV DE LA GARE, 74700 SALLANCHES",74700,45.935119,6.633461
SG LAYDERNIER,"7 PL DU FORON, 74950 SCIONZIER",74950,46.0569737,6.5501775
SG LAYDERNIER,"3887 RTE D'ALBERTVILLE, 74320 SEVRIER",74320,45.849158,6.1459386
SG LAYDERNIER,"PL SAINT-JEAN, 74600 ANNECY",74600,45.8878353,6.1006406
SG LAYDERNIER,"13 BD SEMNOZ, 74600 ANNECY",74600,45.8593141,6.0859699
SG LAYDERNIER,"108 RUE DU MONT BLANC, 74170 ST GERVAIS LES BAINS",74170,45.8936668,6.7114616
SG LAYDERNIER,"226 RTE DE L'EGLISE, 74410 ST JORIOZ",74410,45.8322678,6.1617337
SG LAYDERNIER,"1-3 AV DE TERNIER, 74160 ST JULIEN EN GENEVOIS",74160,46.1422294,6.0820482
SG LAYDERNIER,"4 PL DE L'HOTEL DE VILLE, 74230 THONES",74230,45.8820146,6.3245645
SG LAYDERNIER,"3 PL DES ARTS, 74200 THONON LES BAINS",74200,46.3705628,6.4801048
SG LAYDERNIER,"14 RUE DE LA TOURNETTE, 74290 VEYRIER DU LAC",74290,45.8839488,6.1772376
SG LAYDERNIER,"1 RUE DE L'ESPERANCE, 74100 VILLE LA GRAND",74100,46.2015298,6.2472082
