nom,adresse,code_postal,latitude,longitude
SG TARNEAUD,"52 AV PDT WILSON, 87700 AIXE SUR VIENNE",87700,45.7958744,1.1302177
SG TARNEAUD,"13 RUE JEAN JAURES, 87300 BELLAC",87300,46.102561,1.356324
SG TARNEAUD,"7 PL DE LA LIBERTE, 87250 BESSINES SUR GARTEMPE",87250,46.1088641,1.3681482
SG TARNEAUD,"174 AV DE LIMOGES, 87270 COUZEIX",87270,45.8766366,1.2380071
SG TARNEAUD,"3 PL DU COMMERCE, 87100 LIMOGES",87100,45.8411178,1.2332449
SG TARNEAUD,"5 PL SADI CARNOT, 87000 LIMOGES",87000,45.840146,1.2583599
SG TARNEAUD,"2 PL DES BANCS, 87000 LIMOGES",87000,45.828887,1.258912
SG TARNEAUD,"8 R V SCHOELCHER, 87000 LIMOGES",87000,45.8297089,1.2578851
SG TARNEAUD,"2 ET 6 RUE TURGOT, 87000 LIMOGES",87000,45.8297089,1.2578851
SG TARNEAUD,"33 AV DU PRESIDENT SADI CARNOT, 87350 PANAZOL",87350,45.8287085,1.2950588
SG TARNEAUD,"1 PL DE L'EGLISE, 87600 ROCHECHOUART",87600,45.8236174,0.8206359
SG TARNEAUD,"30 BD VICTOR HUGO, 87200 ST JUNIEN",87200,45.8884528,0.9005131
SG TARNEAUD,"AV DU CHAMP DE MARS, 87400 ST LEONARD DE NOBLAT",87400,45.8385327,1.4921502
SG TARNEAUD,"42 BD DE L'HOTEL DE VILLE, 87500 ST YRIEIX LA PERCHE",87500,45.514203,1.2041287
