nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"34 RUE AUGUSTE MOUNIE, 92160 ANTONY",92160,48.7540437,2.3024314
SG SOCIETE GENERALE,"34 GD RUE CH DE GAULLE, 92600 ASNIERES SUR SEINE",92600,48.9137215,2.2880315
SG SOCIETE GENERALE,"4 AV DE LA PAIX, 92600 ASNIERES SUR SEINE",92600,48.9185393,2.312691
SG SOCIETE GENERALE,"356 AV D ARGENTEUIL, 92600 ASNIERES SUR SEINE",92600,48.9051352,2.2877259
SG SOCIETE GENERALE,"2 AV HENRI RAVERA, 92220 BAGNEUX",92220,48.7961992,2.3017303
SG SOCIETE GENERALE,"3 RUE FELIX FAURE, 92270 BOIS COLOMBES",92270,48.9150078,2.2722959
SG SOCIETE GENERALE,"40 BD JEAN JAURES, 92100 BOULOGNE BILLANCOURT",92100,48.842086,2.2385838
SG SOCIETE GENERALE,"102 AV GENERAL LECLERC, 92100 BOULOGNE BILLANCOURT",92100,48.8309498,2.234325
SG SOCIETE GENERALE,"92 AV J-BAPTISTE CLEMENT, 92100 BOULOGNE BILLANCOURT",92100,48.837494,2.2378546
SG SOCIETE GENERALE,"2 RUE MOREAU VAUTHIER, 92100 BOULOGNE BILLANCOURT",92100,48.8449132,2.2450129
SG SOCIETE GENERALE,"3 AV DU GAL LECLERC, 92100 BOULOGNE BILLANCOURT",92100,48.837494,2.2378546
SG SOCIETE GENERALE,"7 RUE RENE ROECKEL, 92340 BOURG LA REINE",92340,48.7796716,2.3140005
SG SOCIETE GENERALE,"71 RUE JEAN LONGUET, 92290 CHATENAY MALABRY",92290,48.7719277,2.2809456
SG SOCIETE GENERALE,"44 AV DE PARIS, 92320 CHATILLON",92320,48.8057306,2.2918301
SG SOCIETE GENERALE,"4 RUE PAVE DE MEUDON, 92370 CHAVILLE",92370,48.8090026,2.1924797
SG SOCIETE GENERALE,"743 AV SALENGRO, 92370 CHAVILLE",92370,48.8145555,2.1933012
SG SOCIETE GENERALE,"16 AV JEAN JAURES, 92140 CLAMART",92140,48.8010008,2.2638564
SG SOCIETE GENERALE,"3 PL MARTYRS OCC.ALLE., 92110 CLICHY",92110,48.90271,2.3092705
SG SOCIETE GENERALE,"2 RUE DE LA LIBERTE, 92700 COLOMBES",92700,48.9221847,2.2540358
SG SOCIETE GENERALE,"53 AV PASTEUR, 92400 COURBEVOIE",92400,48.9047667,2.2689335
SG SOCIETE GENERALE,"CTRE CIAL CHARRAS, 92400 COURBEVOIE",92400,48.9010419,2.266358
SG SOCIETE GENERALE,"41 AV LEONARD DE VINCI, 92400 COURBEVOIE",92400,48.8970264,2.2374567
SG SOCIETE GENERALE,"83 RUE DE BEZONS, 92400 COURBEVOIE",92400,48.8976315,2.2474918
SG SOCIETE GENERALE,"10 AV MARCEAU, 92400 COURBEVOIE",92400,48.8987924,2.246836
SG SOCIETE GENERALE,"3 PL VICTOR HUGO, 92400 COURBEVOIE",92400,48.8923442,2.2537516
SG SOCIETE GENERALE,"64 RUE BOUCICAUT, 92260 FONTENAY AUX ROSES",92260,48.7917669,2.2863251
SG SOCIETE GENERALE,"28 AV DU MAL JOFFRE, 92380 GARCHES",92380,48.8469068,2.1893546
SG SOCIETE GENERALE,"140 AV GABRIEL PERI, 92230 GENNEVILLIERS",92230,48.924793,2.294638
SG SOCIETE GENERALE,"3 ALL SAINTE LUCIE, 92130 ISSY LES MOULINEAUX",92130,48.8209112,2.2519011
SG SOCIETE GENERALE,"1 RUE ANDRE CHENIER, 92130 ISSY LES MOULINEAUX",92130,48.8237109,2.2726889
SG SOCIETE GENERALE,"39 RUE ERNEST RENAN, 92130 ISSY LES MOULINEAUX",92130,48.8269591,2.2794666
SG SOCIETE GENERALE,"27 CRS DE L'ANCIENNE BOULANGERIE, 92130 ISSY LES MOULINEAUX",92130,48.8243742,2.2595944
SG SOCIETE GENERALE,"2 BD FRANCK KUPKA, 92800 PUTEAUX",92800,48.8826783,2.2410408
