nom,adresse,code_postal,latitude,longitude
SG COURTOIS,"1 BD JEAN-MONNET, 34300 AGDE",34300,43.3035576,3.4847292
SG COURTOIS,"2 RUE GRAND CAP, 34300 AGDE",34300,43.2990265,3.4774114
SG COURTOIS,"49 RUE ST ALEXANDRE, 34600 BEDARIEUX",34600,43.6162383,3.1599573
SG COURTOIS,"AV DE LA VOIE DOMITIENNE, 34500 BEZIERS",34500,43.3477581,3.2504252
SG COURTOIS,"1 PL DE LA VICTOIRE, 34500 BEZIERS",34500,43.344986,3.2159081
SG COURTOIS,"230 AV DE L'AUBE ROUGE, 34170 CASTELNAU LE LEZ",34170,43.6369221,3.9271624
SG COURTOIS,"7 ALL R.SALENGRO, 34800 CLERMONT L HERAULT",34800,43.6145878,3.3876412
SG COURTOIS,"9 PL DE LA REPUBLIQUE, 34510 FLORENSAC",34510,43.3827453,3.4659882
SG COURTOIS,"1 AV GENERAL DE GAULLE, 34110 FRONTIGNAN",34110,43.4466658,3.7535596
SG COURTOIS,"98 AV DU MONT AIGOUAL, 34190 GANGES",34190,43.9308809,3.7049677
SG COURTOIS,"4 PARC D ACTIVITE DE CAMALCE, 34150 GIGNAC",34150,43.6498287,3.5474114
SG COURTOIS,"18 RUE LOUIS BREGUET, 34830 JACOU",34830,43.6593926,3.9036265
SG COURTOIS,"RTE DE SAINT-GEORGES D'ORQUES, 34990 JUVIGNAC",34990,43.6107585,3.8043825
SG COURTOIS,"AV DU PORT, 34280 LA GRANDE MOTTE",34280,43.5592369,4.0842432
SG COURTOIS,"RPT DE L'EUROPE, 34970 LATTES",34970,43.5669439,3.8989589
SG COURTOIS,"2 RUE DE LA JONCASSE, 34920 LE CRES",34920,43.65132,3.937751
SG COURTOIS,"429 AV DU VIDOURLE, 34400 LUNEL",34400,43.6822478,4.1491096
SG COURTOIS,"26 PL ANTERRIEU, 34130 MAUGUIO",34130,43.6127335,4.0246239
SG COURTOIS,"1 B PL BAPTISTE MILHAU, 34140 MEZE",34140,43.4270589,3.6043709
SG COURTOIS,"12 AV D'ASSAS, 34000 MONTPELLIER",34000,43.6131213,3.8671657
SG COURTOIS,"121 AV DE LODEVE, 34070 MONTPELLIER",34070,43.610508,3.8494111
SG COURTOIS,"11 BD SARRAIL, 34000 MONTPELLIER",34000,43.6097082,3.8802461
SG COURTOIS,"46 AV PROF.GRASSET, 34090 MONTPELLIER",34090,43.6316416,3.8651679
SG COURTOIS,"85 PL ERNEST GRANIER, 34000 MONTPELLIER",34000,43.6020107,3.9009243
SG COURTOIS,"RTE DE GANGES, 34000 MONTPELLIER",34000,43.6281657,3.8580025
SG COURTOIS,"40 AV THEROIGNE DE MERICOURT, 34000 MONTPELLIER",34000,43.5981547,3.9024665
SG COURTOIS,"54 BD PEDRO DE LUNA, 34070 MONTPELLIER",34070,43.5954988,3.8687837
SG COURTOIS,"24 RUE DE MAGUELONE, 34250 PALAVAS LES FLOTS",34250,43.5323733,3.9240385
SG COURTOIS,"8 PL DU 14 JUILLET, 34120 PEZENAS",34120,43.4607567,3.4251791
SG COURTOIS,"185 RUE DE COULONDRES, 34980 ST GELY DU FESC",34980,43.698005,3.8130627
SG COURTOIS,"RTE DE VALRAS, 34410 SERIGNAN",34410,43.2634465,3.284271
SG COURTOIS,"5 QU DE LA RESISTANCE, 34200 SETE",34200,43.4029604,3.6968228
SG COURTOIS,"315 PL EDOUARD-HERRIOT, 34200 SETE",34200,43.3940575,3.6768821
SG COURTOIS,"6 RTE DE BEZIERS, 34430 ST JEAN DE VEDAS",34430,43.5753376,3.8259228
SG COURTOIS,"123 AV DE MONTPELLIER, 34270 ST MATHIEU DE TREVIERS",34270,43.7660989,3.8662809
SG COURTOIS,"2 BD GAMBETTA, 34350 VALRAS PLAGE",34350,43.2475472,3.2924708
