nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"8 RUE DES ESTUAIRES, 35470 BAIN DE BRETAGNE",35470,47.8556721,-1.6882488
SG GRAND OUEST,"1 RUE GABRIEL FAURE, 35830 BETTON",35830,48.181946,-1.6372216
SG GRAND OUEST,"13 RUE DU DOCTEUR JOLY, 35170 BRUZ",35170,48.0239541,-1.741342
SG GRAND OUEST,"6 MAIL BOURGCHEVREUIL, 35510 CESSON SEVIGNE",35510,48.1185815,-1.6044613
SG GRAND OUEST,"19 RUE MAULION, 35800 DINARD",35800,48.6332139,-2.0559651
SG GRAND OUEST,"14 BD JEAN JAURES, 35300 FOUGERES",35300,48.3530071,-1.2002513
SG GRAND OUEST,"23 RUE DE BEL-AIR, 35150 JANZE",35150,47.9553036,-1.5026219
SG GRAND OUEST,"AV DES PLATANES, 35310 MORDELLES",35310,48.0816489,-1.8361956
SG GRAND OUEST,"3 RUE DU MARECHAL FOCH, 35600 REDON",35600,47.651708,-2.0846353
SG GRAND OUEST,"1 AV CHARLES ET RAYMONDE TILLON, 35000 RENNES",35000,48.1268214,-1.6867313
SG GRAND OUEST,"115 RUE DE L'ALMA, 35000 RENNES",35000,48.0946761,-1.6742385
SG GRAND OUEST,"12 RUE LE BASTARD, 35000 RENNES",35000,48.1130869,-1.6792724
SG GRAND OUEST,"14 RUE D ISLY, 35000 RENNES",35000,48.1062946,-1.6779181
SG GRAND OUEST,"BD DE LA TOUR D'AUVERGNE, 35000 RENNES",35000,48.1074406,-1.6844913
SG GRAND OUEST,"1 PLACE DU MARECHAL FOCH, 35000 RENNES",35000,48.1106153,-1.6854741
SG GRAND OUEST,"159 RUE DE FOUGERES, 35700 RENNES",35700,48.1216024,-1.6633065
SG GRAND OUEST,"337 RUE DE NANTES, 35136 ST JACQUES DE LA LANDE",35136,48.0892455,-1.6932113
SG GRAND OUEST,"86 BD CHATEAUBRIAND, 35400 ST MALO",35400,48.657747,-1.996195
SG GRAND OUEST,"2A AV JEAN JAURES, 35400 ST MALO",35400,48.648342,-2.008082
SG GRAND OUEST,"72 RUE GEORGES CLEMENCEAU, 35400 SAINT-MALO",35400,48.6383169,-2.0171746
SG GRAND OUEST,"RUE DU PAPEGAULT, 35190 TINTENIAC",35190,48.3288102,-1.842294
SG GRAND OUEST,"22 RUE DE LA BORDERIE, 35500 VITRE",35500,48.1233223,-1.2116068
