nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"ZAC LES MICHELLIERES, 38190 BERNIN",38190,45.2647221,5.8753861
SG AUVERGNE RHÔNE ALPES,"16 AV DE LA REPUBLIQUE, 38520 LE BOURG D OISANS",38520,45.0561256,6.029611
SG AUVERGNE RHÔNE ALPES,"17 AV GAMBETTA, 38300 BOURGOIN JALLIEU",38300,45.5864142,5.2729989
SG AUVERGNE RHÔNE ALPES,"2 AV ROBERT HUANT, 38190 VILLARD BONNOT",38190,45.2641332,5.9005053
SG AUVERGNE RHÔNE ALPES,"46 AV DU GRESIVAUDAN, 38700 CORENC",38700,45.2096593,5.760578
SG AUVERGNE RHÔNE ALPES,"431 AV AMBROISE CROIZAT, 38920 CROLLES",38920,45.2742596,5.8861545
SG AUVERGNE RHÔNE ALPES,"50 AV DU 8 MAI 1945, 38130 ECHIROLLES",38130,45.149671,5.7177756
SG AUVERGNE RHÔNE ALPES,"166 AV JEAN JAURES, 38320 EYBENS",38320,45.1483976,5.7507764
SG AUVERGNE RHÔNE ALPES,"43 AV AMBROISE CROIZAT, 38600 FONTAINE",38600,45.1927669,5.6832976
SG AUVERGNE RHÔNE ALPES,"432 AV BIBLIOTHEQUE, 38610 GIERES",38610,45.1827802,5.796851
SG AUVERGNE RHÔNE ALPES,"10 R ABBE GREGOIRE, 38000 GRENOBLE",38000,45.182816,5.710875
SG AUVERGNE RHÔNE ALPES,"18 BD MARECHAL FOCH, 38000 GRENOBLE",38000,45.1814707,5.7249782
SG AUVERGNE RHÔNE ALPES,"6 PL DOCTEUR GIRARD, 38000 GRENOBLE",38000,45.1970415,5.7213071
SG AUVERGNE RHÔNE ALPES,"1 RUE JEAN PREVOST, 38000 GRENOBLE",38000,45.1830163,5.7169943
SG AUVERGNE RHÔNE ALPES,"4 BD JOSEPH VALLIER, 38000 GRENOBLE",38000,45.1806012,5.7157846
SG AUVERGNE RHÔNE ALPES,"15 CHE JOSEPH BRUN, 38100 GRENOBLE",38100,45.1873199,5.7453855
SG AUVERGNE RHÔNE ALPES,"1 B PL VAUCANSON, 38000 GRENOBLE",38000,45.1886571,5.7291511
SG AUVERGNE RHÔNE ALPES,"4 PL VICTOR HUGO, 38000 GRENOBLE",38000,45.1894739,5.7240302
SG AUVERGNE RHÔNE ALPES,"25 PL JEAN MOULIN, 38750 HUEZ",38750,45.0929571,6.0683306
SG AUVERGNE RHÔNE ALPES,"27 RUE DE LA REPUBLIQUE, 38110 LA TOUR DU PIN",38110,45.548612,5.534258
SG AUVERGNE RHÔNE ALPES,"248 AV LESDIGUIERES, 38290 LA VERPILLIERE",38290,45.6331448,5.1471526
SG AUVERGNE RHÔNE ALPES,"776-778, GRANDE RUE, 38660 LE TOUVET",38660,45.3636139,5.9540641
SG AUVERGNE RHÔNE ALPES,"94 AV DE LA MUZELLE, 38860 LES DEUX ALPES",38860,45.0087929,6.1225372
SG AUVERGNE RHÔNE ALPES,"16 AV DE VERDUN, 38240 MEYLAN",38240,45.2012731,5.7591371
SG AUVERGNE RHÔNE ALPES,"PL CHARLES GAUTHIER, 38430 MOIRANS",38430,45.3266641,5.5645159
SG AUVERGNE RHÔNE ALPES,"18 CRS SAINT ANDRE, 38800 LE PONT DE CLAIX",38800,45.1256592,5.6983675
SG AUVERGNE RHÔNE ALPES,"159 RUE DES ECOLES, 38530 PONTCHARRA",38530,45.4314651,6.0231794
SG AUVERGNE RHÔNE ALPES,"89 AV GABRIEL PERI, 38150 ROUSSILLON",38150,45.3630355,4.8008271
SG AUVERGNE RHÔNE ALPES,"10 PL DU GRESIVAUDAN, 38330 ST ISMIER",38330,45.246053,5.8318149
SG AUVERGNE RHÔNE ALPES,"PONT-DE-VENCE, 38120 ST EGREVE",38120,45.2294459,5.6830123
SG AUVERGNE RHÔNE ALPES,"6 B PL DE LA LIBERATION, 38360 SASSENAGE",38360,45.2066633,5.6629403
SG AUVERGNE RHÔNE ALPES,"37 BD DES FRERES DESAIRE, 38170 SEYSSINET PARISET",38170,45.18046,5.6933196
SG AUVERGNE RHÔNE ALPES,"23 AV DE LA GRANDE CHARTREUSE, 38380 ST LAURENT DU PONT",38380,45.3863802,5.7359195
SG AUVERGNE RHÔNE ALPES,"32 GRANDE RUE, 38160 ST MARCELLIN",38160,45.1535782,5.3211316
SG AUVERGNE RHÔNE ALPES,"94 AV GABRIEL PERI, 38400 ST MARTIN D HERES",38400,45.1852598,5.7623596
SG AUVERGNE RHÔNE ALPES,"17 R DU GEN DE GAULLE, 38210 TULLINS",38210,45.264735,5.5019298
SG AUVERGNE RHÔNE ALPES,"1 RUE JEAN JAURES, 38760 VARCES ALLIERES ET RISSET",38760,45.0868355,5.6828607
SG AUVERGNE RHÔNE ALPES,"1 RUE PEYRON, 38200 VIENNE",38200,45.5238204,4.875399
SG AUVERGNE RHÔNE ALPES,"40 AV BERTHELOT, 38200 VIENNE",38200,45.537873,4.872361
SG AUVERGNE RHÔNE ALPES,"3 PL MCHAL DE LATTRE DE TASSI, 38500 VOIRON",38500,45.3682048,5.5806885
SG AUVERGNE RHÔNE ALPES,"25 GRANDE RUE, 38340 VOREPPE",38340,45.297485,5.6370542
