nom,adresse,code_postal,latitude,longitude
SG SUD OUEST,"340 AV DU 14 JUILLET, 40600 BISCARROSSE",40600,44.3969447,-1.1663225
SG SUD OUEST,"37 RUE DU GAL DE GAULLE, 40130 CAPBRETON",40130,43.6313225,-1.4277606
SG SUD OUEST,"13 CRS DE VERDUN, 40100 DAX",40100,43.7109396,-1.054115
SG SUD OUEST,"437 AV DU TOURING CLUB, 40150 SOORTS HOSSEGOR",40150,43.658268,-1.4287445
SG SUD OUEST,"4 PL CHARLES DE GAULLE, 40000 MONT DE MARSAN",40000,43.8920091,-0.5021216
SG SUD OUEST,"60 PL ARISTIDE BRIAND, 40300 PEYREHORADE",40300,43.5451694,-1.10324
SG SUD OUEST,"376 AV LA RESISTANCE, 40990 ST PAUL LES DAX",40990,43.7244696,-1.0559367
SG SUD OUEST,"36 RUE LAFAYETTE, 40500 ST SEVER",40500,43.7601733,-0.5745261
SG SUD OUEST,"27 RUE EMILE NOUGARO, 40140 SOUSTONS",40140,43.7544917,-1.3276696
SG SUD OUEST,"600 AV DE SAINT SEVER, 40280 ST PIERRE DU MONT",40280,43.8775905,-0.5059023
SG SUD OUEST,"6 AV NATIONALE, 40230 ST VINCENT DE TYROSSE",40230,43.6608916,-1.3028597
SG SUD OUEST,"3 RUE LISE ET ARTUR LONDON, 40220 TARNOS",40220,43.536887,-1.4605323
