nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"1 B RPT AUGUSTE COLONNA, 42160 ANDREZIEUX BOUTHEON",42160,45.5301287,4.280536
SG AUVERGNE RHÔNE ALPES,"3 RUE GAMBETTA, 42500 LE CHAMBON FEUGEROLLES",42500,45.3963297,4.3258672
SG AUVERGNE RHÔNE ALPES,"1 BD ETIENNE PERONNET, 42140 CHAZELLES SUR LYON",42140,45.637135,4.3919346
SG AUVERGNE RHÔNE ALPES,"13 B R DE LA REPUBLIQUE, 42110 FEURS",42110,45.7436982,4.2245059
SG AUVERGNE RHÔNE ALPES,"14 RUE DE L INDUSTRIE, 42700 FIRMINY",42700,45.3894783,4.2876145
SG AUVERGNE RHÔNE ALPES,"1 R DU 11 NOVEMBRE, 42580 L ETRAT",42580,45.4856684,4.3794599
SG AUVERGNE RHÔNE ALPES,"02 RUE JEAN BROSSY, 42350 LA TALAUDIERE",42350,45.4771576,4.4289065
SG AUVERGNE RHÔNE ALPES,"5 RUE TUPINERIE, 42600 MONTBRISON",42600,45.6067211,4.0633573
SG AUVERGNE RHÔNE ALPES,"53 RUE DU RIVAL, 42210 MONTROND LES BAINS",42210,45.6436078,4.2339861
SG AUVERGNE RHÔNE ALPES,"2 RUE JULES GUESDE, 42800 RIVE DE GIER",42800,45.5290368,4.6159268
SG AUVERGNE RHÔNE ALPES,"33 PL DES PROMENADES, 42300 ROANNE",42300,46.0353782,4.0657039
SG AUVERGNE RHÔNE ALPES,"9 RUE DE LA REPUBLIQUE, 42230 ROCHE LA MOLIERE",42230,45.4348564,4.322668
SG AUVERGNE RHÔNE ALPES,"10 PL DORIAN, 42400 ST CHAMOND",42400,45.4755393,4.5088149
SG AUVERGNE RHÔNE ALPES,"61 RUE DRS CHARCOT, 42100 ST ETIENNE",42100,45.4094272,4.428537
SG AUVERGNE RHÔNE ALPES,"110 CRS FAURIEL, 42100 ST ETIENNE",42100,45.4263909,4.4041771
SG AUVERGNE RHÔNE ALPES,"6 PL HOTEL-DE-VILLE, 42000 ST ETIENNE",42000,45.438987,4.3865015
SG AUVERGNE RHÔNE ALPES,"CTRE CIAL DE MONTHIEU, 42100 ST ETIENNE",42100,45.4094272,4.428537
SG AUVERGNE RHÔNE ALPES,"PL MASSENET, 42000 ST ETIENNE",42000,45.4667182,4.3786468
SG AUVERGNE RHÔNE ALPES,"5 7 RUE GONYN, 42170 ST JUST ST RAMBERT",42170,45.4995473,4.2421321
SG AUVERGNE RHÔNE ALPES,"19 RUE FRANCOIS PAROT, 42610 ST ROMAIN LE PUY",42610,45.5548397,4.1223824
SG AUVERGNE RHÔNE ALPES,"21 AV JEAN-MONNET, 42330 ST GALMIER",42330,45.5877691,4.3137216
SG AUVERGNE RHÔNE ALPES,"PL ARISTIDE BRIAND, 42340 VEAUCHE",42340,45.568509,4.2951822
