nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"68 PL FOCH, 44150 ANCENIS ST GEREON",44150,47.3654347,-1.1766748
SG GRAND OUEST,"1 R FRANCOIS RENE CHATEAUBRIAND, 44470 CARQUEFOU",44470,47.2973925,-1.4920217
SG GRAND OUEST,"39 RUE ARISTIDE BRIAND, 44110 CHATEAUBRIANT",44110,47.7183353,-1.3761996
SG GRAND OUEST,"15 PLACE SAINT JACQUES, 44190 CLISSON",44190,47.0880117,-1.2829267
SG GRAND OUEST,"1 FBG SAINTE ANNE, 44350 GUERANDE",44350,47.3488105,-2.428284
SG GRAND OUEST,"7 AV G. CLEMENCEAU, 44500 LA BAULE",44500,47.2924596,-2.3461644
SG GRAND OUEST,"265 AV DU MARECHAL DE LATTRE DE TAS, 44500 LA BAULE",44500,47.2924596,-2.3461644
SG GRAND OUEST,"38 RUE O DE SESMAISONS, 44240 LA CHAPELLE SUR ERDRE",44240,47.3223368,-1.5571103
SG GRAND OUEST,"8 PL ROYALE, 44000 NANTES",44000,47.2141947,-1.5588264
SG GRAND OUEST,"CTRE CIAL BEAULIEU, 44000 NANTES",44000,47.2231248,-1.5532762
SG GRAND OUEST,"4 RUE DU GAL LECLERC HAUTECLOCQUE, 44000 NANTES",44000,47.2231248,-1.5532762
SG GRAND OUEST,"1 RUE CAMILLE BERRUYER, 44000 NANTES",44000,47.2153927,-1.5637641
SG GRAND OUEST,"7 PL GABRIEL TRARIEUX, 44300 NANTES",44300,47.2259607,-1.5231002
SG GRAND OUEST,"34 AV DU CHAMP DE TIR, 44300 NANTES",44300,47.2463812,-1.5387773
SG GRAND OUEST,"29 BD DES ANGLAIS, 44100 NANTES",44100,47.2290395,-1.5746681
SG GRAND OUEST,"82 RTE DE VANNES, 44100 NANTES",44100,47.2355621,-1.5832053
SG GRAND OUEST,"28 RUE PORTE NEUVE, 44000 NANTES",44000,47.2200103,-1.5616301
SG GRAND OUEST,"125 BD DE L EGALITE, 44100 NANTES",44100,47.2134111,-1.5861884
SG GRAND OUEST,"1 AV DE LA CORNICHE, 44700 ORVAULT",44700,47.2744862,-1.6250437
SG GRAND OUEST,"1 RUE DU CHAUDRON, 44210 PORNIC",44210,47.1121723,-2.0753378
SG GRAND OUEST,"34 RUE DU GENERAL DE GAULLE, 44380 PORNICHET",44380,47.2598129,-2.3170028
SG GRAND OUEST,"77 RUE JEAN JAURES, 44400 REZE",44400,47.1862948,-1.546477
SG GRAND OUEST,"10 B RUE A CHASSAGNE, 44250 ST BREVIN LES PINS",44250,47.234976,-2.1563007
SG GRAND OUEST,"CTRE CIAL ATLANTIS, 44800 ST HERBLAIN",44800,47.224604,-1.6371644
SG GRAND OUEST,"44 RUE DU GENERAL DE GAULLE, 44600 ST NAZAIRE",44600,47.2893077,-2.0292018
SG GRAND OUEST,"8 RUE MAURICE DANIEL, 44230 ST SEBASTIEN SUR LOIRE",44230,47.2069764,-1.5048626
SG GRAND OUEST,"2 AV DE BRETAGNE, 44980 STE LUCE SUR LOIRE",44980,47.2507369,-1.4831323
SG GRAND OUEST,"18 RUE DE BRETAGNE, 44880 SAUTRON",44880,47.2614028,-1.6655384
SG GRAND OUEST,"5 PLACE DE L'HOTEL DE VILLE, 44260 SAVENAY",44260,47.3588997,-1.9436731
SG GRAND OUEST,"11 RUE DU 8 MAI 1945, 44120 VERTOU",44120,47.1718814,-1.4735125
