nom,adresse,code_postal,latitude,longitude
SG TARNEAUD,"504 RUE ST FIRMIN DES VIGNES, 45200 AMILLY",45200,47.97711,2.7375279
SG TARNEAUD,"9 11 PL DU MARTROI, 45190 BEAUGENCY",45190,47.7772347,1.6301161
SG TARNEAUD,"6 PL DE LA REPUBLIQUE, 45250 BRIARE",45250,47.6384564,2.7380587
SG TARNEAUD,"59 GRANDE RUE, 45110 CHATEAUNEUF SUR LOIRE",45110,47.8633607,2.2226908
SG TARNEAUD,"6 BD DE LA REPUBLIQUE, 45230 CHATILLON COLIGNY",45230,47.82345,2.8450782
SG TARNEAUD,"BELLES RIVES, 45430 CHECY",45430,47.9055909,2.0352319
SG TARNEAUD,"35 PL ARMAND CHESNEAU, 45320 COURTENAY",45320,48.0402912,3.0573249
SG TARNEAUD,"6 RUE ANDRE DESSAUX, 45400 FLEURY LES AUBRAIS",45400,47.9225612,1.901947
SG TARNEAUD,"2 RUE DE TLEMCEN, 45500 GIEN",45500,47.6840304,2.6332536
SG TARNEAUD,"15 PL DU MARTROI, 45260 LORRIS",45260,47.889549,2.5143862
SG TARNEAUD,"2 RUE DE VAUBLANC, 45200 MONTARGIS",45200,47.9991389,2.7332884
SG TARNEAUD,"519 RUE MARCEL BELOT, 45160 OLIVET",45160,47.8630054,1.9006264
SG TARNEAUD,"7 PL DE L'INDIEN, 45100 ORLEANS",45100,47.8394244,1.935051
SG TARNEAUD,"12 RUE REPUBLIQUE, 45000 ORLEANS",45000,47.9035069,1.9042869
SG TARNEAUD,"16 RUE DE LA MADELEINE, 45140 ST JEAN DE LA RUELLE",45140,47.8990453,1.8753954
SG TARNEAUD,"2 QU FORT TOURELLES, 45100 ORLEANS",45100,47.8546561,1.9333468
SG TARNEAUD,"2 AV DE LA REPUBLIQUE, 45300 PITHIVIERS",45300,48.1722655,2.2525351
SG TARNEAUD,"401 RUE DE LA FONTAINE, 45770 SARAN",45770,47.9512553,1.8772099
SG TARNEAUD,"1 RUE DES ECOLES, 45600 SULLY SUR LOIRE",45600,47.7658756,2.3739929
