nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"15 RUE D ALSACE, 49100 ANGERS",49100,47.4701584,-0.5500695
SG GRAND OUEST,"2 PL DOCTEUR BICHON, 49100 ANGERS",49100,47.4772638,-0.5529126
SG GRAND OUEST,"81 BD SAINT MICHEL, 49100 ANGERS",49100,47.4734955,-0.5415666
SG GRAND OUEST,"2 PL DES JUSTICES, 49000 ANGERS",49000,47.4532694,-0.5263543
SG GRAND OUEST,"16 PL LA FAYETTE, 49000 ANGERS",49000,47.5239819,-0.514876
SG GRAND OUEST,"163 AV PIERRE MENDES FRANCE, 49240 AVRILLE",49240,47.507685,-0.590498
SG GRAND OUEST,"182 RUE NATIONALE, 49120 CHEMILLE EN ANJOU",49120,47.2086139,-0.7295772
SG GRAND OUEST,"59 RUE DU COMMERCE, 49300 CHOLET",49300,47.0615428,-0.8817886
SG TARNEAUD,"15 RUE FOULLON, 49700 DOUE EN ANJOU",49700,47.1932982,-0.2762807
SG TARNEAUD,"51 RUE DACIER, 49400 SAUMUR",49400,47.2586825,-0.0759315
SG GRAND OUEST,"2 RUE PASTEUR, 49500 SEGRE EN ANJOU BLEU",49500,47.6849389,-0.8710185
