nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"1 RUE DU GENERAL DE GAULLE, 50300 AVRANCHES",50300,48.6864949,-1.3635344
SG GRAND OUEST,"28 RUE DU CHATEAU, 50500 CARENTAN LES MARAIS",50500,49.304264,-1.2431614
SG GRAND OUEST,"37 T RUE ALBERT MAHIEU, 50100 CHERBOURG EN COTENTIN",50100,49.6389161,-1.6251872
SG GRAND OUEST,"18 RUE RENE FOUQUET, 50460 CHERBOURG EN COTENTIN",50460,49.664441,-1.6857208
SG GRAND OUEST,"10 RUE DANIEL, 50200 COUTANCES",50200,49.0475778,-1.446622
SG GRAND OUEST,"27 RUE PAUL POIRIER, 50400 GRANVILLE",50400,48.8374264,-1.5977673
SG GRAND OUEST,"29 PL DU GL DE GAULLE, 50250 LA HAYE",50250,49.3090243,-1.50789
SG GRAND OUEST,"65 RUE HAVIN, 50000 ST LO",50000,49.1146246,-1.0931232
SG GRAND OUEST,"35 PL DELAPORTE, 50600 ST HILAIRE DU HARCOUET",50600,48.5789805,-1.0917672
SG GRAND OUEST,"20 PL VICQ D'AZIR, 50700 VALOGNES",50700,49.5082271,-1.4690296
SG GRAND OUEST,"RUE DU PONT CHIGNON, 50800 VILLEDIEU POELES ROUFFIGNY",50800,48.8385726,-1.223876
