nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"45 RUE DE LA MARNE, 51000 CHALONS EN CHAMPAGNE",51000,48.9560634,4.359805
SG GRAND EST,"6 PL DU GEN DE GAULLE, 51350 CORMONTREUIL",51350,49.2164575,4.0511532
SG GRAND EST,"4 RUE EUGENE MERCIER, 51200 EPERNAY",51200,49.0430531,3.9562652
SG GRAND EST,"6 PL HUGUES PLOMB, 51200 EPERNAY",51200,49.043957,3.9540103
SG GRAND EST,"12 PL HOTEL-DE-VILLE, 51170 FISMES",51170,49.3074821,3.6796077
SG GRAND EST,"21 RUE DU DR PH.AMELIN, 51210 MONTMIRAIL",51210,48.888728,3.6208331
SG GRAND EST,"2 PL ROYALE, 51100 REIMS",51100,49.2551857,4.033699
SG GRAND EST,"1 PL JEAN MOULIN, 51100 REIMS",51100,49.2549837,4.0613518
SG GRAND EST,"145 RUE GAMBETTA, 51100 REIMS",51100,49.2465394,4.0393391
SG GRAND EST,"45 AV DE PARIS, 51100 REIMS",51100,49.2481973,4.0105023
SG GRAND EST,"13 PL LUTON, 51100 REIMS",51100,49.2698638,4.0254664
SG GRAND EST,"38 PL D'ARMES, 51300 VITRY LE FRANCOIS",51300,48.7260151,4.5861555
