nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"11 RUE CRISTALLERIES, 54120 BACCARAT",54120,48.4485504,6.7417907
SG GRAND EST,"54 AV FOCH, 54270 ESSEY LES NANCY",54270,48.7050011,6.2222326
SG GRAND EST,"22 RUE DE METZ, 54390 FROUARD",54390,48.7594044,6.1336959
SG GRAND EST,"GAL MARCHANDE CARREFOUR, 54180 HOUDEMONT",54180,48.6453591,6.1860196
SG GRAND EST,"9 RUE GAMBETTA, 54800 JARNY",54800,49.1563742,5.883246
SG GRAND EST,"3 RUE MARGAINE, 54400 LONGWY",54400,49.524504,5.7634025
SG GRAND EST,"4 RUE CARNOT, 54300 LUNEVILLE",54300,48.5613739,6.4681755
SG GRAND EST,"44 RUE SAINT-DIZIER, 54000 NANCY",54000,48.6901904,6.182784
SG GRAND EST,"248 AV DE STRASBOURG, 54000 NANCY",54000,48.6771892,6.1988096
SG GRAND EST,"28 CRS LEOPOLD, 54000 NANCY",54000,48.6955713,6.1768044
SG GRAND EST,"1 RUE DE TURIQUE, 54000 NANCY",54000,48.6921006,6.1680559
SG GRAND EST,"28 RUE VICTOR HUGO, 54700 PONT A MOUSSON",54700,48.9022637,6.0527428
SG GRAND EST,"98 AV CARNOT, 54130 ST MAX",54130,48.7017309,6.2122769
SG GRAND EST,"1 RUE CHANZY, 54200 TOUL",54200,48.6736224,5.8875474
SG GRAND EST,"10 RUE LEON WINSBACH, 54150 VAL DE BRIEY",54150,49.246645,5.9348092
SG GRAND EST,"AV LECLERC C.C MONTET, 54500 VANDOEUVRE LES NANCY",54500,48.6600461,6.1737525
SG GRAND EST,"20 BD DE BAUDRICOURT, 54600 VILLERS LES NANCY",54600,48.6765709,6.1606855
SG GRAND EST,"8 PL JEANNE D'ARC, 54190 VILLERUPT",54190,49.4679504,5.9276596
