nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"43 AV DE L'OCEAN, 56400 AURAY",56400,47.6640308,-3.0095608
SG GRAND OUEST,"37 R SAINT CYR, 56380 GUER",56380,47.9376634,-2.1315245
SG GRAND OUEST,"4 B RUE DU PUITS, 56520 GUIDEL",56520,47.7900316,-3.4887217
SG GRAND OUEST,"10 PL MARECHAL FOCH, 56700 HENNEBONT",56700,47.8056677,-3.2771254
SG GRAND OUEST,"160 RUE JEAN JAURES, 56600 LANESTER",56600,47.7691244,-3.3517165
SG GRAND OUEST,"1 RUE DES 4 FRERES LEROY QUERET, 56260 LARMOR PLAGE",56260,47.7160948,-3.3903189
SG GRAND OUEST,"10 RUE ASS.NATIONALE, 56100 LORIENT",56100,47.7504591,-3.3725057
SG GRAND OUEST,"PL FALQUERHO, 56270 PLOEMEUR",56270,47.7372592,-3.4285408
SG GRAND OUEST,"PL DU TRIBUNAL, 56800 PLOERMEL",56800,47.9336328,-2.3982163
SG GRAND OUEST,"29 RUE NATIONALE, 56300 PONTIVY",56300,48.0666129,-2.9653955
SG GRAND OUEST,"21 PL HOCHE, 56170 QUIBERON",56170,47.4807012,-3.1222343
SG GRAND OUEST,"49 R DU PERE COUDRIN, 56370 SARZEAU",56370,47.5217136,-2.7466595
SG GRAND OUEST,"15 RTE DE NANTES, 56860 SENE",56860,47.6500613,-2.7201333
SG GRAND OUEST,"25 RUE THIERS, 56000 VANNES",56000,47.6565435,-2.7598722
SG GRAND OUEST,"110 AV DE LA MARNE, 56000 VANNES",56000,47.6606548,-2.7879526
SG GRAND OUEST,"181 AV DU 04 AOUT, 56000 VANNES",56000,47.6577121,-2.7555088
