nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"4 PL FREDERIC RAU, 57360 AMNEVILLE LES THERMES",57360,,
SG GRAND EST,"44 RUE MARECHAL FOCH, 57230 BITCHE",57230,49.0509865,7.4254968
SG GRAND EST,"3 RUE DE LA REPUBLIQUE, 57320 BOUZONVILLE",57320,49.2914076,6.5342559
SG GRAND EST,"117 GRANDE RUE, 57190 FLORANGE",57190,49.3283699,6.1298551
SG GRAND EST,"107 RUE NATIONALE, 57600 FORBACH",57600,49.186006,6.898518
SG GRAND EST,"45 RUE DE LA GARE, 57300 HAGONDANGE",57300,49.2522685,6.166159
SG GRAND EST,"60 RUE DU MARECHAL FOCH, 57700 HAYANGE",57700,49.3296628,6.0630645
SG GRAND EST,"28 RUE DE LA CROIX SAINT JOSEPH, 57155 MARLY",57155,49.0594745,6.1602921
SG GRAND EST,"26 CHE SOUS LES VIGNES, 57050 METZ",57050,49.1302843,6.1452198
SG GRAND EST,"43 RUE DE LA CHAPELLE, 57000 METZ",57000,49.100561,6.1727651
SG GRAND EST,"44 AV DE NANCY, 57000 METZ",57000,49.1063405,6.1645032
SG GRAND EST,"61- 63 RUE SERPENOISE, 57000 METZ",57000,49.1166965,6.1750176
SG GRAND EST,"17 RUE DE LA MARNE, 57250 MOYEUVRE GRANDE",57250,49.252213,6.045279
SG GRAND EST,"60 RUE HIRSCHAUER, 57500 ST AVOLD",57500,49.1036932,6.7058043
SG GRAND EST,"13 GRANDE RUE, 57400 SARREBOURG",57400,48.800279,7.022175
SG GRAND EST,"CHAUSSEE DE LOUVAIN, 57200 SARREGUEMINES",57200,49.1120995,7.069121
SG GRAND EST,"11 B LA TANNERIE, 57070 ST JULIEN LES METZ",57070,49.126806,6.1960124
SG GRAND EST,"25 B PL DE LA REPUBLIQUE, 57100 THIONVILLE",57100,49.355851,6.1645095
SG GRAND EST,"67 AV DES NATIONS, 57970 YUTZ",57970,49.3590371,6.1911849
