nom,adresse,code_postal,latitude,longitude
SG CREDIT DU NORD,"30 PL DU GAL.DE GAULLE, 59280 ARMENTIERES",59280,50.6484382,2.8722778
SG CREDIT DU NORD,"1 RUE JULES GUESDE, 59950 AUBY",59950,50.413131,3.052416
SG CREDIT DU NORD,"ZAC AULNOY LEZ VALENCIENNES, 59300 AULNOY LEZ VALENCIENNES",59300,50.3246115,3.5146953
SG CREDIT DU NORD,"21 B RUE JEAN JAURES, 59620 AULNOYE AYMERIES",59620,50.1983493,3.8440607
SG CREDIT DU NORD,"34 PL DU GENERAL LECLERC, 59440 AVESNES SUR HELPE",59440,50.1216234,3.9322018
SG CREDIT DU NORD,"8 RUE D'OCCIDENT, 59270 BAILLEUL",59270,50.7385514,2.7324039
SG CREDIT DU NORD,"70 B PL DU GENERAL DE GAULLE, 59780 BAISIEUX",59780,50.6074717,3.254036
SG CREDIT DU NORD,"16 PL DU GENERAL DE GAULLE, 59570 BAVAY",59570,50.298398,3.7942791
SG CREDIT DU NORD,"15 PL DE LA REPUBLIQUE, 59380 BERGUES",59380,50.9682555,2.4333936
SG CREDIT DU NORD,"9 T RUE DU BOSQUIEL, 59910 BONDUES",59910,50.7030196,3.0929785
SG CREDIT DU NORD,"14 RUE D ALSACE LORRAINE, 59400 CAMBRAI",59400,50.1757577,3.2379679
SG CREDIT DU NORD,"18 PL DU GAL VANDAMME, 59670 CASSEL",59670,50.8140691,2.4447344
SG CREDIT DU NORD,"8 R DU MARECHAL LECLERC, 59540 CAUDRY",59540,50.1252592,3.4133306
SG CREDIT DU NORD,"6 8 PL GEN DE GAULLE, 59560 COMINES",59560,50.7608975,3.0096256
SG CREDIT DU NORD,"18 RUE NOTRE DAME, 59163 CONDE SUR L ESCAUT",59163,50.4502867,3.5926235
SG CREDIT DU NORD,"117 BD JEAN JAURES, 59210 COUDEKERQUE BRANCHE",59210,51.0194393,2.3806378
SG CREDIT DU NORD,"92 AV LE NOTRE, 59170 CROIX",59170,50.6711625,3.146623
SG CREDIT DU NORD,"2 PL DE LA REPUBLIQUE, 59170 CROIX",59170,50.6738942,3.1469205
SG CREDIT DU NORD,"76 RUE J B LEBAS, 59830 CYSOING",59830,50.572946,3.2149073
SG CREDIT DU NORD,"116 B RUE DE VILLARS, 59220 DENAIN",59220,50.3269871,3.4002134
SG CREDIT DU NORD,"48 RUE DE BELLAIN, 59500 DOUAI",59500,50.368399,3.082482
SG CREDIT DU NORD,"36 BD ALEXANDRE III, 59140 DUNKERQUE",59140,51.0337167,2.3760967
SG CREDIT DU NORD,"49 AV FAIDHERBE, 59240 DUNKERQUE",59240,51.0471187,2.3928591
SG CREDIT DU NORD,"1 RUE DU PDT KENNEDY, 59940 ESTAIRES",59940,50.6670752,2.6928574
SG CREDIT DU NORD,"3 RUE JEAN JAURES, 59610 FOURMIES",59610,50.0158323,4.0491695
SG CREDIT DU NORD,"11 RUE DE LA PAIX, 59760 GRANDE SYNTHE",59760,51.0138496,2.3035795
SG CREDIT DU NORD,"1 RUE PASTEUR, 59820 GRAVELINES",59820,50.9873556,2.125969
SG CREDIT DU NORD,"10 RUE MARTHE NOLLET, 59250 HALLUIN",59250,50.7819407,3.1227429
SG CREDIT DU NORD,"36 RUE SADI CARNOT, 59320 HAUBOURDIN",59320,50.6116218,2.9968171
SG CREDIT DU NORD,"32 PL CHARLES FREMAUX, 59320 HAUBOURDIN",59320,50.6107329,2.9828518
SG CREDIT DU NORD,"1 RUE NATIONALE, 59190 HAZEBROUCK",59190,50.7234946,2.5391243
SG CREDIT DU NORD,"348E RUE JULES GUESDE, 59510 HEM",59510,50.6616359,3.2001479
SG CREDIT DU NORD,"2 RUE DU GENERAL LECLERC, 59480 LA BASSEE",59480,50.5312807,2.8044113
SG CREDIT DU NORD,"213 AV DU GAL DE GAULLE, 59110 LA MADELEINE",59110,50.6540571,3.0677463
SG CREDIT DU NORD,"111 AV DE SAINT MAUR, 59110 LA MADELEINE",59110,50.6540571,3.0677463
SG CREDIT DU NORD,"2 RUE SCALFORT, 59167 LALLAING",59167,50.3902655,3.1674617
SG CREDIT DU NORD,"169 RUE DU BOURG, 59130 LAMBERSART",59130,50.651542,3.0282239
SG CREDIT DU NORD,"336/340 AV DE DUNKERQUE, 59130 LAMBERSART",59130,50.6354535,3.028831
SG CREDIT DU NORD,"13 PL CARNOT, 59390 LANNOY",59390,50.6673602,3.2112814
SG CREDIT DU NORD,"7 RUE 7 RUE GAMBETTA, 59360 LE CATEAU CAMBRESIS",59360,50.089571,3.5941537
SG CREDIT DU NORD,"1 RUE VICTOR HUGO, 59530 LE QUESNOY",59530,50.2497683,3.6442019
SG CREDIT DU NORD,"38 RUE FAIDHERBE, 59810 LESQUIN",59810,50.588156,3.1109346
SG CREDIT DU NORD,"3 BD MONTEBELLO, 59000 LILLE",59000,50.6258621,3.0410207
SG CREDIT DU NORD,"137 RUE PIERRE LEGRAND, 59800 LILLE",59800,50.6329712,3.0909697
SG CREDIT DU NORD,"22 RUE DU MOLINEL, 59800 LILLE",59800,50.6352586,3.0695399
SG CREDIT DU NORD,"2 RUE DE MARQUILLIES, 59000 LILLE",59000,50.6150595,3.0486877
SG CREDIT DU NORD,"28 PL RIHOUR, 59800 LILLE",59800,50.6359404,3.0625701
SG CREDIT DU NORD,"42 RUE ROYALE, 59800 LILLE",59800,50.6403933,3.0577484
SG CREDIT DU NORD,"323/325 RUE GAMBETTA, 59000 LILLE",59000,50.6552832,3.0737327
SG CREDIT DU NORD,"75 B BD VAUBAN, 59800 LILLE",59800,50.6354638,3.0496643
SG CREDIT DU NORD,"1 PL DE LA REPUBLIQUE, 59126 LINSELLES",59126,50.737889,3.078706
SG CREDIT DU NORD,"829 AV DE DUNKERQUE, 59160 LILLE",59160,50.6452146,2.9842293
SG CREDIT DU NORD,"147 RUE DU MARECHAL FOCH, 59120 LOOS",59120,50.6147556,3.0145997
SG CREDIT DU NORD,"1 AV DE LA MARNE, 59700 MARCQ EN BAROEUL",59700,50.6780793,3.112582
SG CREDIT DU NORD,"1 RUE LAZARE CARNOT, 59600 MAUBEUGE",59600,50.2777717,3.9724339
SG CREDIT DU NORD,"29 RUE REGIS CORSELLE, 59420 MOUVAUX",59420,50.7016194,3.1356642
SG CREDIT DU NORD,"4 PL GAMBETTA, 59310 ORCHIES",59310,50.4748102,3.2429813
SG CREDIT DU NORD,"16 RUE DE LA PREVOTE, 59840 PERENCHIES",59840,50.6767863,2.9649719
SG CREDIT DU NORD,"738 AV JEAN JAURES, 59790 RONCHIN",59790,50.6083711,3.0760263
SG CREDIT DU NORD,"BD D'HALLUIN, 59223 RONCQ",59223,50.7409269,3.132158
SG CREDIT DU NORD,"1-3 GRANDE RUE, 59100 ROUBAIX",59100,50.6952539,3.1954057
SG CREDIT DU NORD,"3 PL DU GAL DE GAULLE, 59184 SAINGHIN EN WEPPES",59184,50.5565385,2.8952422
SG CREDIT DU NORD,"199 RUE DE LA REPUBLIQUE, 59430 DUNKERQUE",59430,51.028516,2.3499725
SG CREDIT DU NORD,"12 PL STALINGRAD, 59113 SECLIN",59113,50.55249,3.030437
SG CREDIT DU NORD,"10 RUE DE SELLE, 59730 SOLESMES",59730,50.1848761,3.4960322
SG CREDIT DU NORD,"PLACE JEAN JAURES, 59490 SOMAIN",59490,50.3588035,3.2810195
SG CREDIT DU NORD,"17 GRAND PLACE, 59230 ST AMAND LES EAUX",59230,50.4490835,3.4278653
SG CREDIT DU NORD,"99 RUE DU GENERAL LECLERC, 59350 ST ANDRE LEZ LILLE",59350,50.6615902,3.0499842
SG CREDIT DU NORD,"1 RUE DE CASSEL, 59114 STEENVOORDE",59114,50.8092189,2.5803723
SG CREDIT DU NORD,"41 RUE DE ROUBAIX, 59242 TEMPLEUVE EN PEVELE",59242,50.5270136,3.1707487
SG CREDIT DU NORD,"15 RUE LEON BLUM, 59239 THUMERIES",59239,50.4776235,3.0555837
SG CREDIT DU NORD,"8 B GRAND PLACE, 59200 TOURCOING",59200,50.7227088,3.1592005
SG CREDIT DU NORD,"17 AV G CLEMENCEAU, 59300 VALENCIENNES",59300,50.3397383,3.4975691
SG CREDIT DU NORD,"51 BD DE VALMY, 59650 VILLENEUVE D ASCQ",59650,50.6159547,3.1322122
SG CREDIT DU NORD,"17 PL DE LA REPUBLIQUE, 59650 VILLENEUVE-D'ASCQ",59650,50.6264057,3.1490346
SG CREDIT DU NORD,"19 AV DU MARECHAL FOCH, 59142 VILLERS OUTREAUX",59142,50.0298875,3.2981891
SG CREDIT DU NORD,"17 PL DU GAL DE GAULLE, 59118 WAMBRECHIES",59118,50.6984676,3.0484132
SG CREDIT DU NORD,"1 RUE DU MAL J DE L DE TASSIGNY, 59290 WASQUEHAL",59290,50.6726853,3.1254397
SG CREDIT DU NORD,"5/7 RUE DES ALLIES, 59143 WATTEN",59143,50.8325413,2.212044
SG CREDIT DU NORD,"159 RUE CLEMENCEAU, 59139 WATTIGNIES",59139,50.593753,3.051366
SG CREDIT DU NORD,"15 PL DELVAINQUIERE, 59150 WATTRELOS",59150,50.7011464,3.2152606
