nom,adresse,code_postal,latitude,longitude
SG CREDIT DU NORD,"15 RUE GAMBETTA, 60000 BEAUVAIS",60000,49.4329661,2.0845512
SG CREDIT DU NORD,"117 B RUE DE CALAIS, 60000 BEAUVAIS",60000,49.4361021,2.0854892
SG CREDIT DU NORD,"23 RUE DE LA MARE DU FOUR, 60510 BRESLES",60510,49.4096822,2.2529606
SG CREDIT DU NORD,"2 RUE AURELIEN CRONNIER, 60230 CHAMBLY",60230,49.166062,2.2457971
SG CREDIT DU NORD,"1 AV MARECHAL JOFFRE, 60500 CHANTILLY",60500,49.1931091,2.4653214
SG CREDIT DU NORD,"15 PL DE L'HOTEL DE VILLE, 60600 CLERMONT",60600,49.3785355,2.4159071
SG CREDIT DU NORD,"2 RUE MAGENTA, 60200 COMPIEGNE",60200,49.4169498,2.8263512
SG CREDIT DU NORD,"16 RUE VICTOR HUGO, 60280 MARGNY LES COMPIEGNE",60280,49.4235992,2.8203437
SG CREDIT DU NORD,"4 AV ANTOINE CHANUT, 60100 CREIL",60100,49.2627962,2.4728861
SG CREDIT DU NORD,"45 RUE CHARLES DE GAULLE, 60800 CREPY EN VALOIS",60800,49.2325156,2.8866124
SG CREDIT DU NORD,"17 RUE DE SOISSONS, 60350 CUISE LA MOTTE",60350,49.4030183,3.0092249
SG CREDIT DU NORD,"12 PL CH DE GAULLE, 60190 ESTREES ST DENIS",60190,,
SG CREDIT DU NORD,"2 RUE CORBIER THIEBAUT, 60270 GOUVIEUX",60270,49.1886079,2.4159326
SG CREDIT DU NORD,"11 RUE FREDERIC PETIT, 60210 GRANDVILLIERS",60210,49.6651554,1.9389072
SG CREDIT DU NORD,"64 RUE CARNOT, 60610 LACROIX ST OUEN",60610,49.3548874,2.7851926
SG CREDIT DU NORD,"178 AV CH. DE GAULLE, 60260 LAMORLAYE",60260,49.1601639,2.4132433
SG CREDIT DU NORD,"RTE DE PARIS, 60330 LE PLESSIS BELLEVILLE",60330,49.0965501,2.7498387
SG CREDIT DU NORD,"3 RUE VICTOR HUGO, 60140 LIANCOURT",60140,49.329318,2.4641354
SG CREDIT DU NORD,"20 PL DE L'HOTEL DE VILLE, 60110 MERU",60110,49.2363605,2.1348738
SG CREDIT DU NORD,"12 PL AUGUSTE GENIE, 60160 MONTATAIRE",60160,49.2560357,2.4338875
SG CREDIT DU NORD,"17 RUE CAYEUX, 60250 MOUY",60250,49.3171125,2.3205173
SG CREDIT DU NORD,"4 RUE DE GRECE, 60400 NOYON",60400,49.5801874,3.0031854
SG CREDIT DU NORD,"34 RUE CHARLES LESCOT, 60700 PONT STE MAXENCE",60700,49.3011494,2.6055914
SG CREDIT DU NORD,"107 RUE DE LA REPUBLIQUE, 60300 SENLIS",60300,49.2062505,2.5891029
SG CREDIT DU NORD,"2 RUE D'AMIENS, 60130 ST JUST EN CHAUSSEE",60130,49.5068727,2.4333901
SG CREDIT DU NORD,"PL DE LA REPUBLIQUE, 60150 THOUROTTE",60150,49.4785562,2.878619
SG CREDIT DU NORD,"19 RUE DE LA REPUBLIQUE, 60410 VERBERIE",60410,49.3088123,2.7285578
