nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"29 BD HAUSSMANN, 75009 PARIS",75009,48.8729499,2.3322343
SG SOCIETE GENERALE,"17 RUE SARRETTE, 75014 PARIS",75014,48.8268536,2.3307499
SG SOCIETE GENERALE,"144 BD DE CHARONNE, 75020 PARIS",75020,48.8562177,2.3950327
SG SOCIETE GENERALE,"8 AV PRESIDENT WILSON, 75116 PARIS",75116,48.8652263,2.2993316
SG SOCIETE GENERALE,"28 RUE D'ASSAS, 75006 PARIS",75006,48.8480927,2.3292667
SG SOCIETE GENERALE,"118 RUE LA FONTAINE, 75016 PARIS",75016,48.9010445,2.3269925
SG SOCIETE GENERALE,"8 RUE DU BAC, 75007 PARIS",75007,48.8587204,2.328609
SG SOCIETE GENERALE,"5 RUE SAINT-ANTOINE, 75004 PARIS",75004,48.8532865,2.3674222
SG SOCIETE GENERALE,"68 RUE LEGENDRE, 75017 PARIS",75017,48.8860901,2.3176639
SG SOCIETE GENERALE,"17 AV SAINT MANDE, 75012 PARIS",75012,48.8442913,2.410395
SG SOCIETE GENERALE,"3 RUE REBEVAL, 75019 PARIS",75019,48.8743117,2.3760048
SG SOCIETE GENERALE,"27 BD DE GRENELLE, 75015 PARIS",75015,48.8529482,2.2906551
SG SOCIETE GENERALE,"9 BD DES ITALIENS, 75002 PARIS",75002,48.8715435,2.3384606
SG SOCIETE GENERALE,"64 RUE BONAPARTE, 75006 PARIS",75006,48.8520907,2.3329538
SG SOCIETE GENERALE,"1 RUE DE MOUZAIA, 75019 PARIS",75019,48.8801648,2.3907475
SG SOCIETE GENERALE,"17 RUE BOULAINVILLIERS, 75016 PARIS",75016,48.8531676,2.2756939
SG SOCIETE GENERALE,"134 RUE REAUMUR, 75002 PARIS",75002,48.8665506,2.3510076
SG SOCIETE GENERALE,"78 AV DE BRETEUIL, 75015 PARIS",75015,48.8467737,2.311085
SG SOCIETE GENERALE,"63 RUE DAUPHINE, 75006 PARIS",75006,48.853747,2.3386002
SG SOCIETE GENERALE,"4 PL COLONEL BOURGOIN, 75012 PARIS",75012,48.8352002,2.4451359
SG SOCIETE GENERALE,"91 AV CHAMPS ELYSEES, 75008 PARIS",75008,48.8711783,2.3021066
SG SOCIETE GENERALE,"5 PL CHARLES MICHELS, 75015 PARIS",75015,48.8471158,2.2857287
SG SOCIETE GENERALE,"166 BD VOLTAIRE, 75011 PARIS",75011,48.8555196,2.3836456
SG SOCIETE GENERALE,"24 RUE CLEMENT MAROT, 75008 PARIS",75008,48.8683063,2.3024484
SG SOCIETE GENERALE,"1 RUE TURGOT, 75009 PARIS",75009,48.8806862,2.3451737
SG SOCIETE GENERALE,"189 RUE CONVENTION, 75015 PARIS",75015,48.8375473,2.2959647
SG SOCIETE GENERALE,"78 RUE DE LA TOUR, 75116 PARIS",75116,48.8613472,2.2791878
SG SOCIETE GENERALE,"91 AV DE WAGRAM, 75017 PARIS",75017,48.8814756,2.3003682
SG SOCIETE GENERALE,"61 RUE CUSTINE, 75018 PARIS",75018,48.8896476,2.3430921
SG SOCIETE GENERALE,"197 AV DAUMESNIL, 75012 PARIS",75012,48.8400215,2.3945444
SG SOCIETE GENERALE,"5 AV DU GAL LECLERC, 75014 PARIS",75014,48.8295667,2.3239625
SG SOCIETE GENERALE,"6 RUE DE LYON, 75012 PARIS",75012,48.8469591,2.3720953
SG SOCIETE GENERALE,"131 RUE DE SEVRES, 75006 PARIS",75006,48.8473821,2.3183651
SG SOCIETE GENERALE,"40 AV MOTTE PICQUET, 75007 PARIS",75007,48.8544253,2.2955587
SG SOCIETE GENERALE,"100 AV DE CLICHY, 75017 PARIS",75017,48.8893604,2.3225596
SG SOCIETE GENERALE,"26 PL ETIENNE PERNET, 75015 PARIS",75015,48.8425736,2.29204
SG SOCIETE GENERALE,"96 RUE DU ROCHER, 75008 PARIS",75008,48.880784,2.3171078
SG SOCIETE GENERALE,"86 AV DE FLANDRE, 75019 PARIS",75019,48.8899503,2.3762864
SG SOCIETE GENERALE,"136 AV DE MALAKOFF, 75116 PARIS",75116,48.8750569,2.2841341
SG SOCIETE GENERALE,"PALAIS DE L'UNESCO, 75007 PARIS",75007,48.854909,2.3128667
SG SOCIETE GENERALE,"1 AV DE FRIEDLAND, 75008 PARIS",75008,48.8746264,2.3047762
SG SOCIETE GENERALE,"73 AV DU MAINE, 75014 PARIS",75014,48.8388422,2.3226295
SG SOCIETE GENERALE,"5 PL GAMBETTA, 75020 PARIS",75020,48.8646599,2.3980168
SG SOCIETE GENERALE,"68 BD DE STRASBOURG, 75010 PARIS",75010,48.8743227,2.3572764
SG SOCIETE GENERALE,"38 RUE GAY LUSSAC, 75005 PARIS",75005,48.8438505,2.3421315
SG SOCIETE GENERALE,"87 RUE DE GERGOVIE, 75014 PARIS",75014,48.8307503,2.3192092
SG SOCIETE GENERALE,"26 AV DES GOBELINS, 75013 PARIS",75013,48.8363432,2.3518722
SG SOCIETE GENERALE,"47 BD GOUVION ST-CYR, 75017 PARIS",75017,48.8822865,2.2865297
SG SOCIETE GENERALE,"39 RUE DU COMMERCE, 75015 PARIS",75015,48.8469148,2.2958915
SG SOCIETE GENERALE,"180 RUE DE GRENELLE, 75007 PARIS",75007,48.8579039,2.3066553
SG SOCIETE GENERALE,"79 AV DE ST-OUEN, 75017 PARIS",75017,48.892631,2.3271451
SG SOCIETE GENERALE,"PL JACQUES ROUCHE, 75009 PARIS",75009,48.872278,2.3326822
SG SOCIETE GENERALE,"172 AV VICTOR HUGO, 75116 PARIS",75116,48.8661748,2.276796
SG SOCIETE GENERALE,"14 RUE DES DEUX PONTS, 75004 PARIS",75004,48.8520048,2.3568332
SG SOCIETE GENERALE,"50 RUE D ANJOU, 75008 PARIS",75008,48.8728571,2.3222968
SG SOCIETE GENERALE,"36 RUE DE BOURGOGNE, 75007 PARIS",75007,48.8574319,2.3174032
SG SOCIETE GENERALE,"19 AV D'ITALIE, 75013 PARIS",75013,48.8291177,2.35684
SG SOCIETE GENERALE,"55 RUE JEANNE D ARC, 75013 PARIS",75013,48.8309903,2.3665591
SG SOCIETE GENERALE,"165-167 RUE DE BELLEVILLE, 75019 PARIS",75019,48.8771317,2.4063545
SG SOCIETE GENERALE,"6 RUE DU POTEAU, 75018 PARIS",75018,48.8929315,2.3436602
SG SOCIETE GENERALE,"43 AV KLEBER, 75116 PARIS",75116,48.8684466,2.2914409
SG SOCIETE GENERALE,"14 RUE DE LA CHAPELLE, 75018 PARIS",75018,48.8910994,2.3600768
SG SOCIETE GENERALE,"198 AV JEAN JAURES, 75019 PARIS",75019,48.8882883,2.3918068
SG SOCIETE GENERALE,"59 RUE LA CONVENTION, 75015 PARIS",75015,48.8414302,2.2961649
SG SOCIETE GENERALE,"12 AV DE LAUMIERE, 75019 PARIS",75019,48.8836687,2.3809305
SG SOCIETE GENERALE,"98 RUE LECOURBE, 75015 PARIS",75015,48.8430906,2.3038599
SG SOCIETE GENERALE,"5 RUE J. DE MAISTRE, 75018 PARIS",75018,48.8921323,2.3481786
SG SOCIETE GENERALE,"23 BD ST. GERMAIN, 75005 PARIS",75005,48.8493646,2.3529016
SG SOCIETE GENERALE,"235 RUE FBG. ST-MARTIN, 75010 PARIS",75010,48.876008,2.360445
SG SOCIETE GENERALE,"106 AV F. FAURE, 75015 PARIS",75015,48.8414302,2.2961649
SG SOCIETE GENERALE,"15 B RUE DU LOUVRE, 75001 PARIS",75001,48.8645963,2.3427179
SG SOCIETE GENERALE,"21 RUE DE VAUGIRARD, 75006 PARIS",75006,48.8485328,2.3322559
SG SOCIETE GENERALE,"11 BD MALESHERBES, 75008 PARIS",75008,48.8712263,2.3221812
SG SOCIETE GENERALE,"166 AV DU MAINE, 75014 PARIS",75014,48.8330119,2.3244863
SG SOCIETE GENERALE,"136 BD MALESHERBES, 75017 PARIS",75017,48.8853847,2.3072781
SG SOCIETE GENERALE,"46 AV S BOLIVAR, 75019 PARIS",75019,48.8870242,2.3830582
