nom,adresse,code_postal,latitude,longitude
SG CREDIT DU NORD,"1 AV VAUBAN, 62120 AIRE SUR LA LYS",62120,50.6403305,2.4021048
SG CREDIT DU NORD,"PLACE D ARMES, 62610 ARDRES",62610,50.8535984,1.9767518
SG CREDIT DU NORD,"64 RUE GAMBETTA, 62000 ARRAS",62000,50.28907,2.7759285
SG CREDIT DU NORD,"21 PL JULES GUESDE, 62260 AUCHEL",62260,50.5034869,2.4686626
SG CREDIT DU NORD,"9 PL SADI CARNOT, 62450 BAPAUME",62450,50.103067,2.8506414
SG CREDIT DU NORD,"16 RUE DE L'IMPERATRICE, 62600 BERCK",62600,50.4046696,1.5640766
SG CREDIT DU NORD,"32 GRAND PLACE, 62400 BETHUNE",62400,50.530623,2.639994
SG CREDIT DU NORD,"37 RUE FAIDHERBE, 62200 BOULOGNE SUR MER",62200,50.7247915,1.6041542
SG CREDIT DU NORD,"111 RUE ALFRED LEROY, 62700 BRUAY LA BUISSIERE",62700,50.4795699,2.544812
SG CREDIT DU NORD,"73/75 BOULEVARD JACQUARD, 62100 CALAIS",62100,50.9538074,1.8509533
SG CREDIT DU NORD,"88 RUE EDOUARD PLACHEZ, 62220 CARVIN",62220,50.490689,2.955454
SG CREDIT DU NORD,"1 BD BILLIET, 62630 ETAPLES",62630,50.5130454,1.6372216
SG CREDIT DU NORD,"1 RUE DU MAL LECLERC, 62310 FRUGES",62310,50.514251,2.134367
SG CREDIT DU NORD,"7 RUE ELIE GRUYELLE, 62110 HENIN BEAUMONT",62110,50.420571,2.9492624
SG CREDIT DU NORD,"12 RUE DANIEL LEROEUIL, 62140 HESDIN",62140,50.3774973,2.0093121
SG CREDIT DU NORD,"78 RUE DE METZ, 62520 LE TOUQUET PARIS PLAGE",62520,50.5230245,1.5845382
SG CREDIT DU NORD,"14 PL JEAN JAURES, 62300 LENS",62300,50.42942,2.832648
SG CREDIT DU NORD,"154 RUE DEFERNEZ, 62800 LIEVIN",62800,50.4192857,2.7725924
SG CREDIT DU NORD,"26 PL ROGER SALENGRO, 62190 LILLERS",62190,50.5634757,2.4806851
SG CREDIT DU NORD,"24 RUE DU DR BRONCQUART, 62380 LUMBRES",62380,50.7019858,2.120122
SG CREDIT DU NORD,"37 PL DU GAL DE GAULLE, 62170 MONTREUIL SUR MER",62170,50.4681399,1.7629821
SG CREDIT DU NORD,"191 RUE NATIONALE, 62290 NOEUX LES MINES",62290,50.4799549,2.6642456
SG CREDIT DU NORD,"85 T BD DE LA LIBERTE, 62230 OUTREAU",62230,50.7146083,1.5916369
SG CREDIT DU NORD,"91 RUE CARNOT, 62500 ST OMER",62500,50.7496851,2.2562312
SG CREDIT DU NORD,"2 RUE DES FERRONNIERS, 62130 ST POL SUR TERNOISE",62130,50.3817614,2.3348295
SG CREDIT DU NORD,"17 B RUE DU FAUBOURG, 62350 ST VENANT",62350,50.620699,2.542422
SG CREDIT DU NORD,"22 RUE GRANDE CHAPELLE, 62490 VITRY EN ARTOIS",62490,50.3249806,2.982472
SG CREDIT DU NORD,"87 PL DU GENERAL LECLERC, 62930 WIMEREUX",62930,50.7734265,1.6117994
