nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"51 BD HENRI IV, 63600 AMBERT",63600,45.5491466,3.7412398
SG AUVERGNE RHÔNE ALPES,"6 PL CHARLES DE GAULLE, 63220 ARLANC",63220,45.4134726,3.7242991
SG AUVERGNE RHÔNE ALPES,"9 AV DU ROUSSILLON, 63170 AUBIERE",63170,45.7552607,3.1301732
SG AUVERGNE RHÔNE ALPES,"RUE L HOTEL DE VILLE, 63110 BEAUMONT",63110,45.7534977,3.0867035
SG AUVERGNE RHÔNE ALPES,"93 AV DE ROYAT, 63400 CHAMALIERES",63400,45.7709493,3.0589275
SG AUVERGNE RHÔNE ALPES,"14 AV BARADUC, 63140 CHATEL GUYON",63140,45.9195861,3.0656838
SG AUVERGNE RHÔNE ALPES,"7 PL MICHEL HOSPITAL, 63000 CLERMONT FERRAND",63000,45.772236,3.1107082
SG AUVERGNE RHÔNE ALPES,"116 AV DE LA REPUBLIQUE, 63100 CLERMONT FERRAND",63100,45.7849837,3.1007451
SG AUVERGNE RHÔNE ALPES,"40 AV DES ETATS UNIS, 63000 CLERMONT FERRAND",63000,45.772236,3.1107082
SG AUVERGNE RHÔNE ALPES,"BD SAINT-JEAN, 63100 CLERMONT FERRAND",63100,45.7803954,3.1176218
SG AUVERGNE RHÔNE ALPES,"11 RUE HENRI POURRAT, 63000 CLERMONT FERRAND",63000,45.7550346,3.1186127
SG AUVERGNE RHÔNE ALPES,"43 B AVENUE DE LA LIBERATION, 63800 COURNON-D'AUVERGNE",63800,45.7372479,3.1944642
SG AUVERGNE RHÔNE ALPES,"18 BD LA SOUS PREFECT., 63500 ISSOIRE",63500,45.5542005,3.2561424
SG AUVERGNE RHÔNE ALPES,"AV DU MARECHAL FOCH, 63150 LA BOURBOULE",63150,45.5891454,2.7413618
SG AUVERGNE RHÔNE ALPES,"17 RUE DE L'HOTEL DE VILLE, 63200 RIOM",63200,45.9795545,3.0898931
SG AUVERGNE RHÔNE ALPES,"39 AV DU GENERAL DE GAULLE, 63300 THIERS",63300,45.8419922,3.5124175
