nom,adresse,code_postal,latitude,longitude
SG SUD OUEST,"12 RUE AMEDEE DUFOURG, 64600 ANGLET",64600,43.4812153,-1.5149889
SG SUD OUEST,"11 BIS PL DU GENERAL LECLERC, 64600 ANGLET",64600,43.4951662,-1.5294275
SG SUD OUEST,"2 AV DU 11 NOVEMBRE, 64100 BAYONNE",64100,43.4926266,-1.4783106
SG SUD OUEST,"37 BD ALSACE LORRAINE, 64100 BAYONNE",64100,43.4932728,-1.4661106
SG SUD OUEST,"14 PL CLEMENCEAU, 64200 BIARRITZ",64200,43.4820168,-1.5602732
SG SUD OUEST,"AV DU PLATEAU, 64210 BIDART",64210,43.4456258,-1.5832846
SG SUD OUEST,"PLACE DE L'EGLISE, 64250 CAMBO LES BAINS",64250,43.3630393,-1.4034508
SG SUD OUEST,"82 RTE DE BEHOBIE, 64700 HENDAYE",64700,43.3578849,-1.7520115
SG SUD OUEST,"6 B AV SANTOS DUMONT, 64230 LESCAR",64230,43.3196342,-0.4239017
SG SUD OUEST,"11 PL P. ET M. CURIE, 64150 MOURENX",64150,43.3712309,-0.6370828
SG SUD OUEST,"2 ALL CHANZY, 64800 NAY",64800,43.1799675,-0.2610017
SG SUD OUEST,"13 PLACE DE JACA, 64400 OLORON STE MARIE",64400,43.1886552,-0.6110862
SG SUD OUEST,"63 RUE ST-GILLES, 64300 ORTHEZ",64300,43.4878317,-0.7718113
SG SUD OUEST,"11 BIS RUE LOUIS BARTHOU, 64000 PAU",64000,43.2943708,-0.3673211
SG SUD OUEST,"25 T RUE CARNOT, 64000 PAU",64000,43.3013322,-0.3693696
SG SUD OUEST,"150 AV ALFRED NOBEL, 64000 PAU",64000,43.3167628,-0.3121
SG SUD OUEST,"11 AV DU GENERAL DE GAULLE, 64000 PAU",64000,43.301789,-0.3554075
SG SUD OUEST,"AV DE L'UNIVERSITE, 64000 PAU",64000,43.3113411,-0.3647049
SG SUD OUEST,"9 BD VICTOR HUGO, 64500 ST JEAN DE LUZ",64500,43.3874564,-1.6618057
SG SUD OUEST,"PL JEANNE D'ALBRET, 64270 SALIES DE BEARN",64270,43.4717605,-0.9241006
SG SUD OUEST,"1 PL GILBERT DESPORT, 64990 ST PIERRE D IRUBE",64990,43.4606459,-1.4282577
SG SUD OUEST,"R DU LAVOIR, 64480 USTARITZ",64480,43.3941763,-1.4550587
