nom,adresse,code_postal,latitude,longitude
SG COURTOIS,"15 AV DU DOCTEUR BOUIX, 66110 AMELIE LES BAINS PALALDA",66110,42.4743685,2.6704282
SG COURTOIS,"23 AV DE HURTH, 66700 ARGELES SUR MER",66700,42.5487597,3.0194997
SG COURTOIS,"1 RUE MADELEINE BRES, 66330 CABESTANY",66330,42.6915216,2.9321905
SG COURTOIS,"BD DES ALIZES, 66140 CANET EN ROUSSILLON",66140,42.7043047,3.0207553
SG COURTOIS,"LD LA MOSQUITA, 66400 CERET",66400,42.4982196,2.7193758
SG COURTOIS,"19 BD JACQUES ALBERT, 66200 ELNE",66200,42.6063782,2.9769273
SG COURTOIS,"140 BD NUNGESSER ET COLI, 66000 PERPIGNAN",66000,42.6816066,2.8928455
SG COURTOIS,"3 PL BARDOU JOB, 66000 PERPIGNAN",66000,42.7011823,2.890969
SG COURTOIS,"9 RUE JULES PAMS, 66660 PORT VENDRES",66660,42.5196452,3.1074245
SG COURTOIS,"PL DE MARBRE, 66750 ST CYPRIEN",66750,42.6227405,3.0356944
SG COURTOIS,"46 AV DE RIVESALTES, 66240 ST ESTEVE",66240,42.7170773,2.8454229
SG COURTOIS,"1 RUE DE L'ALMA, 66250 ST LAURENT DE LA SALANQUE",66250,42.7739993,2.9892663
SG COURTOIS,"13 AV DE LA MEDITERRANEE, 66300 THUIR",66300,42.6314287,2.7602173
