nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"140 RUE DE LA REPUBLIQUE, 69220 BELLEVILLE EN BEAUJOLAIS",69220,46.1106172,4.7402162
SG AUVERGNE RHÔNE ALPES,"15/17 RUE DE JANICU, 69530 BRIGNAIS",69530,45.6755639,4.7582867
SG AUVERGNE RHÔNE ALPES,"70 AV DE LATTRE DE TASSIGNY, 69500 BRON",69500,45.7364409,4.916927
SG AUVERGNE RHÔNE ALPES,"166 AV FRANKLIN ROOSEVELT, 69500 BRON",69500,45.7372832,4.8974769
SG AUVERGNE RHÔNE ALPES,"84 RUE PASTEUR, 69300 CALUIRE ET CUIRE",69300,45.7923657,4.844458
SG AUVERGNE RHÔNE ALPES,"71 AV LANESSAN, 69410 CHAMPAGNE AU MONT D OR",69410,45.795629,4.7917661
SG AUVERGNE RHÔNE ALPES,"5 RUE DE LA REPUBLIQUE, 69680 CHASSIEU",69680,45.7385226,4.9693409
SG AUVERGNE RHÔNE ALPES,"95 AV EDOUARD MILLAUD, 69290 CRAPONNE",69290,45.747267,4.7240691
SG AUVERGNE RHÔNE ALPES,"11 CHE DE GARGANTUA, 69570 DARDILLY",69570,45.8191571,4.7586528
SG AUVERGNE RHÔNE ALPES,"134 AV JEAN JAURES, 69150 DECINES CHARPIEU",69150,45.7694738,4.9488026
SG AUVERGNE RHÔNE ALPES,"PL DE LA LIBERATION, 69130 ECULLY",69130,45.7757209,4.7783074
SG AUVERGNE RHÔNE ALPES,"39 RUE DE LA REPUBLIQUE, 69740 GENAS",69740,45.7318835,5.001028
SG AUVERGNE RHÔNE ALPES,"198 RTE DE TREVOUX, 69730 GENAY",69730,45.8886848,4.8296059
SG AUVERGNE RHÔNE ALPES,"4 RUE GAMBETTA, 69700 GIVORS",69700,45.5820026,4.773637
SG AUVERGNE RHÔNE ALPES,"38 R CHARLES DE GAULLE, 69210 L ARBRESLE",69210,45.8361392,4.6162978
SG AUVERGNE RHÔNE ALPES,"1 BD DES BROTTEAUX, 69006 LYON",69006,45.769422,4.8572178
SG AUVERGNE RHÔNE ALPES,"56 CRS CHARLEMAGNE, 69002 LYON",69002,45.7448921,4.8224621
SG AUVERGNE RHÔNE ALPES,"11 PL CROIX ROUSSE, 69004 LYON",69004,45.7744305,4.8255454
SG AUVERGNE RHÔNE ALPES,"62 BD DES ETATS-UNIS, 69008 LYON",69008,45.7340087,4.8636238
SG AUVERGNE RHÔNE ALPES,"100 RUE DE GERLAND, 69007 LYON",69007,45.7360729,4.8395206
SG AUVERGNE RHÔNE ALPES,"7 PL JEAN MACE, 69007 LYON",69007,45.7458279,4.842947
