nom,adresse,code_postal,latitude,longitude
SG GRAND EST,"23 B AV GAL GAULLE, 71400 AUTUN",71400,46.9627979,4.3096482
SG GRAND EST,"13 RUE DE LA FERTE, 71150 CHAGNY",71150,46.9089343,4.7535119
SG GRAND EST,"18 BD LA REPUBLIQUE, 71100 CHALON SUR SAONE",71100,46.7832427,4.847562
SG AUVERGNE RHÔNE ALPES,"60 Q GDE R.DE LA COUPEE, 71850 CHARNAY LES MACON",71850,46.305392,4.7908339
SG GRAND EST,"36 AV CONDORCET, 71880 CHATENOY LE ROYAL",71880,46.797332,4.8113481
SG AUVERGNE RHÔNE ALPES,"17 RUE FILATERIE, 71250 CLUNY",71250,46.4325898,4.6601199
SG AUVERGNE RHÔNE ALPES,"3 PL DE L'EGLISE, 71160 DIGOIN",71160,46.4805251,3.9776207
SG AUVERGNE RHÔNE ALPES,"4 RUE DE LA REPUBLIQUE, 71130 GUEUGNON",71130,46.6003325,4.0655914
SG GRAND EST,"ESP FRANCOIS MITTERRAND, 71200 LE CREUSOT",71200,46.8243075,4.4251364
SG GRAND EST,"63 GRANDE RUE, 71500 LOUHANS",71500,46.6293873,5.2233966
SG AUVERGNE RHÔNE ALPES,"238 QU LAMARTINE, 71000 MACON",71000,46.3036394,4.8336101
SG GRAND EST,"14 RUE CARNOT, 71300 MONTCEAU LES MINES",71300,46.6744405,4.3635161
SG AUVERGNE RHÔNE ALPES,"44 AV CH DE GAULLE, 71600 PARAY LE MONIAL",71600,46.431437,4.0991103
SG GRAND EST,"RUE AUGUSTE MARTIN C.COM, 71100 ST REMY",71100,46.7740503,4.8418683
SG AUVERGNE RHÔNE ALPES,"13 RUE DE LA REPUBLIQUE, 71700 TOURNUS",71700,46.5630888,4.9117342
