nom,adresse,code_postal,latitude,longitude
SG LAYDERNIER,"12 PL CARNOT, 73100 AIX LES BAINS",73100,45.6893881,5.9141103
SG LAYDERNIER,"84 RUE LA REPUBLIQUE, 73200 ALBERTVILLE",73200,45.6672655,6.3648505
SG LAYDERNIER,"35 AV DU CENTENAIRE, 73700 BOURG ST MAURICE",73700,45.6178349,6.7697384
SG LAYDERNIER,"1265 AV DE CHAMBERY, 73190 CHALLES LES EAUX",73190,45.5416026,5.9889874
SG LAYDERNIER,"10 BD DE LA COLONNE, 73000 CHAMBERY",73000,45.5667807,5.9230653
SG LAYDERNIER,"267 AV DU COMTE VERT, 73000 CHAMBERY",73000,45.5712168,5.9126517
SG LAYDERNIER,"244 AV COSTA DE BEAUREGARD, 73290 LA MOTTE SERVOLEX",73290,45.5949356,5.878524
SG LAYDERNIER,"10 RUE DU BOIS DE LEYSSE, 73490 LA RAVOIRE",73490,45.564093,5.969729
SG LAYDERNIER,"132 AV DE LA GARE, 73600 MOUTIERS TARENTAISE",73600,,
SG LAYDERNIER,"123 RUE LA LIBERATION, 73300 ST JEAN DE MAURIENNE",73300,45.24257,6.3122311
