nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"58 AV F.ROOSEVELT, 77210 AVON",77210,48.4142411,2.7478681
SG SOCIETE GENERALE,"3 AV GALLIENI, 77590 BOIS LE ROI",77590,48.4743565,2.6923905
SG SOCIETE GENERALE,"6 B RUE GAMBETTA, 77170 BRIE COMTE ROBERT",77170,48.691658,2.6114516
SG SOCIETE GENERALE,"2 RUE PAUL DELOUVRIER, 77600 BUSSY ST GEORGES",77600,48.8355696,2.7106177
SG SOCIETE GENERALE,"CTRE CIAL BOISSENART, 77240 CESSON",77240,48.571722,2.592957
SG SOCIETE GENERALE,"29 AV AMPERE, 77420 CHAMPS SUR MARNE",77420,48.8434528,2.5834119
SG SOCIETE GENERALE,"14 AV LA RESISTANCE, 77500 CHELLES",77500,48.8783747,2.5870204
SG SOCIETE GENERALE,"50 RUE JEAN JAURES, 77410 CLAYE SOUILLY",77410,48.9450991,2.685238
SG SOCIETE GENERALE,"118 RUE SOMMEVILLE, 77380 COMBS LA VILLE",77380,48.6659239,2.5605056
SG SOCIETE GENERALE,"1 RUE PALAIS DE JUSTICE, 77120 COULOMMIERS",77120,48.8132763,3.0862598
SG SOCIETE GENERALE,"3 PL DU MARCHE, 77580 CRECY LA CHAPELLE",77580,48.8570363,2.9098428
SG SOCIETE GENERALE,"242 AV FOCH, 77190 DAMMARIE LES LYS",77190,48.5195596,2.6406623
SG SOCIETE GENERALE,"119 RUE GAL DE GAULLE, 77230 DAMMARTIN EN GOELE",77230,49.0529693,2.6746081
SG SOCIETE GENERALE,"35 RUE DU GAL LECLERC, 77450 ESBLY",77450,48.9223547,2.8154527
SG SOCIETE GENERALE,"102 RUE GRANDE, 77300 FONTAINEBLEAU",77300,48.4064245,2.7028578
SG SOCIETE GENERALE,"42 RUE DE PARIS, 77320 LA FERTE GAUCHER",77320,48.7804501,3.305092
SG SOCIETE GENERALE,"15 RUE DU MOUTON, 77260 LA FERTE SOUS JOUARRE",77260,48.950202,3.1299049
SG SOCIETE GENERALE,"4 PL DE L HOTEL DE VILLE, 77400 LAGNY SUR MARNE",77400,48.8772205,2.7053358
SG SOCIETE GENERALE,"CTRE CIAL DU PARC, 77150 LESIGNY",77150,48.7418044,2.6284733
SG SOCIETE GENERALE,"06 ALL DE LA MIXITE, 77127 LIEUSAINT",77127,48.6157825,2.5433994
SG SOCIETE GENERALE,"11 RUE RAOUL DE PRESLE, 77440 LIZY SUR OURCQ",77440,49.017455,3.050229
SG SOCIETE GENERALE,"6 8 PL DES LIBERTES PUBLIQUES, 77185 LOGNES",77185,48.837504,2.6307044
SG SOCIETE GENERALE,"13 RUE DES LABOURS, 77700 MAGNY LE HONGRE",77700,48.8782234,2.8129544
SG SOCIETE GENERALE,"16 QU VICTOR HUGO, 77100 MEAUX",77100,48.9581125,2.8783454
SG SOCIETE GENERALE,"C.C.HTS-DE-ST-LIESNE, 77000 MELUN",77000,48.523948,2.6888745
SG SOCIETE GENERALE,"4 QU PASTEUR, 77000 MELUN",77000,48.5378696,2.6580243
SG SOCIETE GENERALE,"10 AV FRANKLIN ROOSEVELT, 77290 MITRY MORY",77290,48.9550643,2.5938439
SG SOCIETE GENERALE,"34 RUE PHILIPPE BUR, 77550 MOISSY CRAMAYEL",77550,48.6185526,2.6430061
SG SOCIETE GENERALE,"80 RUE JEAN-JAURES, 77130 MONTEREAU FAULT YONNE",77130,48.3836841,2.9554334
SG SOCIETE GENERALE,"30 RUE GRANDE, 77250 MORET LOING ET ORVANNE",77250,48.3730413,2.8168508
SG SOCIETE GENERALE,"48 RUE CHARLES DE GAULLE, 77720 MORMANT",77720,48.605223,2.8934214
SG SOCIETE GENERALE,"32 RUE GENERAL LECLERC, 77370 NANGIS",77370,48.5563579,3.0117023
SG SOCIETE GENERALE,"52 RUE DE PARIS, 77140 NEMOURS",77140,48.267273,2.694685
SG SOCIETE GENERALE,"34 AV DU GAL LECLERC, 77330 OZOIR LA FERRIERE",77330,48.7631645,2.678917
SG SOCIETE GENERALE,"81 AV DU GAL DE GAULLE, 77340 PONTAULT COMBAULT",77340,48.7885,2.609667
SG SOCIETE GENERALE,"21 PL SAINT-AYOUL, 77160 PROVINS",77160,48.585034,3.248409
SG SOCIETE GENERALE,"5 RUE PASTEUR, 77680 ROISSY EN BRIE",77680,48.7909424,2.6552906
SG SOCIETE GENERALE,"1 RUE DU 5 SEPT 1914, 77165 ST SOUPPLETS",77165,49.0271409,2.8056341
SG SOCIETE GENERALE,"3 CRS DU DANUBE, 77700 SERRIS",77700,48.8565375,2.7777305
SG SOCIETE GENERALE,"120 RUE JACQUES MADELIN, 77310 ST FARGEAU PONTHIERRY",77310,48.5311723,2.5468458
SG SOCIETE GENERALE,"70 RUE DE PARIS, 77200 TORCY",77200,48.850615,2.649256
SG SOCIETE GENERALE,"41 RUE DE PARIS, 77220 TOURNAN EN BRIE",77220,48.7393965,2.763452
SG SOCIETE GENERALE,"3 B PL GAL DE GAULLE, 77360 VAIRES SUR MARNE",77360,48.8702275,2.6381628
SG SOCIETE GENERALE,"93 RUE PASTEUR, 77240 VERT ST DENIS",77240,48.5655399,2.615276
SG SOCIETE GENERALE,"162 AV CHARLES DE GAULLE, 77270 VILLEPARISIS",77270,48.9409617,2.6156473
