nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"1 RUE JACQUES GALLEMAND, 76390 AUMALE",76390,49.7683557,1.754896
SG GRAND OUEST,"26 RUE L. LESEIGNEUR, 76360 BARENTIN",76360,49.5472075,0.921627
SG CREDIT DU NORD,"38 GRANDE RUE F. MITTERRAND, 76340 BLANGY SUR BRESLE",76340,49.9326076,1.629493
SG GRAND OUEST,"142 RUE DE LA REPUBLIQUE, 76230 BOIS-GUILLAUME",76230,49.4706511,1.1158262
SG GRAND OUEST,"4 PL CHARLES DE GAULLE, 76210 BOLBEC",76210,49.5727742,0.4725926
SG GRAND OUEST,"53 RUE SADI CARNOT, 76160 DARNETAL",76160,49.4407013,1.1467607
SG GRAND OUEST,"2 RUE SAINT JEAN, 76200 DIEPPE",76200,49.926265,1.0792882
SG GRAND OUEST,"29 B RUE HENRY, 76500 ELBEUF",76500,49.2907949,1.0078455
SG CREDIT DU NORD,"2 PL GUILLAUME LE CONQUERANT, 76260 EU",76260,50.0482182,1.4199846
SG GRAND OUEST,"23 PL CH.DE GAULLE, 76400 FECAMP",76400,49.7344509,0.4033217
SG CREDIT DU NORD,"1 PL DE LA REPUBLIQUE, 76440 FORGES LES EAUX",76440,49.6125569,1.5454612
SG GRAND OUEST,"6 RUE JEAN PREVOST, 76110 GODERVILLE",76110,49.6501023,0.3637346
SG CREDIT DU NORD,"12 PL DE LA LIBERATION, 76220 GOURNAY EN BRAY",76220,49.480654,1.7249692
SG GRAND OUEST,"2 PL VICTOR HUGO, 76700 HARFLEUR",76700,49.5062258,0.1987999
SG GRAND OUEST,"14 AV JF. KENNEDY, 76120 LE GRAND QUEVILLY",76120,49.4114708,1.0376934
SG GRAND OUEST,"2 PL LEON MEYER, 76600 LE HAVRE",76600,49.4922428,0.113291
SG GRAND OUEST,"16 RUE DU GENERAL MANGIN, 76620 LE HAVRE",76620,49.5181598,0.096629
SG GRAND OUEST,"231 AV DU 8 MAI 1945, 76610 LE HAVRE",76610,49.5115833,0.1752066
SG GRAND OUEST,"77 BD DE STRASBOURG, 76600 LE HAVRE",76600,49.4934577,0.1100859
SG GRAND OUEST,"202 RUE DE VERDUN, 76600 LE HAVRE",76600,49.5022681,0.162994
SG GRAND OUEST,"27 PL JENNER, 76620 LE HAVRE",76620,49.509219,0.1375637
SG GRAND OUEST,"52 RUE BERNARDIN DE ST PIERRE, 76600 LE HAVRE",76600,49.4909914,0.1053456
SG GRAND OUEST,"PL THIERS, 76600 LE HAVRE",76600,49.4974541,0.1113083
SG GRAND OUEST,"17 RUE ROMAIN ROLLAND, 76620 LE HAVRE",76620,49.5057416,0.1024405
SG GRAND OUEST,"98 RTE DE PARIS, 76240 LE MESNIL ESNARD",76240,49.4118361,1.1397836
SG GRAND OUEST,"1 BD DELATTRE TASSIGNY, 76170 LILLEBONNE",76170,49.5330323,0.5263218
SG GRAND OUEST,"33 PL RENE COTY, 76810 LUNERAY",76810,49.828879,0.9126433
SG GRAND OUEST,"PL JEAN JAURES, 76150 MAROMME",76150,49.4816943,1.0399728
SG GRAND OUEST,"43 RUE JACQUES BOUTROLLE, 76130 MONT ST AIGNAN",76130,49.4621583,1.0689207
SG GRAND OUEST,"33 RUE GAMBETTA, 76290 MONTIVILLIERS",76290,49.5439832,0.1922878
SG GRAND OUEST,"24 PL DE LA REPUBLIQUE, 76710 MONTVILLE",76710,49.548431,1.074256
SG GRAND OUEST,"2 GR ST JACQUES, 76270 NEUFCHATEL EN BRAY",76270,49.7329721,1.443311
SG GRAND OUEST,"RUE DU MARECHAL FOCH, 76350 OISSEL",76350,49.3426719,1.1005939
SG GRAND OUEST,"31 RUE JEAN MAILLARD, 76570 PAVILLY",76570,49.5678871,0.9547263
SG GRAND OUEST,"21 AV JEAN JAURES, 76140 LE PETIT QUEVILLY",76140,49.4277873,1.068155
SG GRAND OUEST,"RUE DE LA REPUBLIQUE, 76330 PORT JEROME SUR SEINE",76330,49.4904098,0.5632871
SG GRAND OUEST,"2493 RTE DE NEUFCHATEL, 76230 QUINCAMPOIX",76230,49.5227865,1.1872745
SG GRAND OUEST,"6 RUE DE LA POISSONNERIE, 76490 RIVES EN SEINE",76490,49.5247706,0.7250239
SG GRAND OUEST,"34 RUE JEANNE D'ARC, 76000 ROUEN",76000,49.4492566,1.094586
SG GRAND OUEST,"106 RUE JEANNE D'ARC, 76000 ROUEN",76000,49.4468399,1.0936042
SG GRAND OUEST,"2 RUE DU GRAND PONT, 76000 ROUEN",76000,49.4454004,1.0938965
SG GRAND OUEST,"122 RUE SAINT-SEVER, 76100 ROUEN",76100,49.4318761,1.0868865
SG GRAND OUEST,"10 PL SAINT-MARC, 76000 ROUEN",76000,49.4379253,1.101472
SG GRAND OUEST,"79 PL DE LA LIBERATION, 76510 ST NICOLAS D ALIERMONT",76510,49.8784563,1.2205188
SG GRAND OUEST,"16 PL THEODULE BENOIST, 76430 ST ROMAIN DE COLBOSC",76430,49.5297136,0.3584571
SG GRAND OUEST,"17 PL DE LA CHAPELLE, 76460 ST VALERY EN CAUX",76460,49.8693973,0.7138735
SG GRAND OUEST,"100 RUE GENERAL DEGAULLE, 76310 STE ADRESSE",76310,49.5097607,0.0769943
SG GRAND OUEST,"1 PL DE L'HOTEL DE VILLE, 76300 SOTTEVILLE LES ROUEN",76300,49.4156559,1.0911837
SG GRAND OUEST,"12 RUE CAMILLE ST SAENS, 76190 YVETOT",76190,49.6179834,0.7545896
