nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"16 AV DE LA REPUBLIQUE, 93300 AUBERVILLIERS",93300,48.912632,2.383106
SG SOCIETE GENERALE,"19 BD DE STRASBOURG, 93600 AULNAY SOUS BOIS",93600,48.928925,2.49214
SG SOCIETE GENERALE,"19 RUE JACQUES-DUCLOS, 93600 AULNAY SOUS BOIS",93600,48.942848,2.4964354
SG SOCIETE GENERALE,"1 PROMENADE JEAN ROSTAND, 93000 BOBIGNY",93000,48.9093305,2.4542383
SG SOCIETE GENERALE,"29 B RUE AUGUSTE POLLISSARD, 93140 BONDY",93140,48.9054623,2.4832246
SG SOCIETE GENERALE,"10 AV H.BARBUSSE, 93700 DRANCY",93700,48.9220882,2.442972
SG SOCIETE GENERALE,"55 RUE DE PARIS, 93800 EPINAY SUR SEINE",93800,48.9558139,2.3059658
SG SOCIETE GENERALE,"8 RUE HENRI BARBUSSE, 93220 GAGNY",93220,48.8802556,2.5466325
SG SOCIETE GENERALE,"8 AV PAUL DOUMER, 93460 GOURNAY SUR MARNE",93460,48.863002,2.576849
SG SOCIETE GENERALE,"59 AV P.V. COUTURIER, 93120 LA COURNEUVE",93120,48.9286328,2.3955041
SG SOCIETE GENERALE,"20 AV P ET M CURIE, 93150 LE BLANC MESNIL",93150,48.9363579,2.46317
SG SOCIETE GENERALE,"81 AV DE LA DIVISION LECLERC, 93350 LE BOURGET",93350,48.9362787,2.4269649
SG SOCIETE GENERALE,"32 AV LA RESISTANCE, 93340 LE RAINCY",93340,48.89295,2.513023
SG SOCIETE GENERALE,"48 RUE DE PARIS, 93260 LES LILAS",93260,48.8803482,2.4180249
SG SOCIETE GENERALE,"15 AV DU CONSUL DU GAL NORDLIN, 93190 LIVRY GARGAN",93190,48.9192247,2.5341266
SG SOCIETE GENERALE,"56 RUE HENRI BARBUSSE, 93370 MONTFERMEIL",93370,48.9009077,2.568812
SG SOCIETE GENERALE,"119 BD DE LA BOISSIERE, 93100 MONTREUIL",93100,48.877992,2.458287
SG SOCIETE GENERALE,"32 BD P.V. COUTURIER, 93100 MONTREUIL",93100,48.8625632,2.464284
SG SOCIETE GENERALE,"2 AV PAUL LANGEVIN, 93100 MONTREUIL",93100,48.8576463,2.4352898
SG SOCIETE GENERALE,"CENTRE CIAL FAUVETTES, 93330 NEUILLY SUR MARNE",93330,48.8609052,2.5287404
SG SOCIETE GENERALE,"14 RUE GAL DE GAULLE, 93360 NEUILLY PLAISANCE",93360,48.8642995,2.5084759
SG SOCIETE GENERALE,"71 AV MEDERIC, 93160 NOISY LE GRAND",93160,48.8297203,2.5776783
SG SOCIETE GENERALE,"14 RUE JEAN JAURES, 93130 NOISY LE SEC",93130,48.891129,2.454408
SG SOCIETE GENERALE,"19 AV EMILE COSSONNEAU, 93160 NOISY LE GRAND",93160,48.848982,2.55843
SG SOCIETE GENERALE,"42 AV ARISTIDE BRIAND, 93160 NOISY LE GRAND",93160,48.846968,2.552883
SG SOCIETE GENERALE,"65 AV JEAN LOLIVE, 93500 PANTIN",93500,48.8916833,2.404586
SG SOCIETE GENERALE,"153 AV J. LOLIVE, 93500 PANTIN",93500,48.8978877,2.4032454
SG SOCIETE GENERALE,"56 AV VICTOR HUGO, 93320 LES PAVILLONS SOUS BOIS",93320,48.909033,2.515811
SG SOCIETE GENERALE,"4 PL DE LA LIBERATION, 93380 PIERREFITTE SUR SEINE",93380,48.9637565,2.3599716
SG SOCIETE GENERALE,"95 RUE DE LA REPUBLIQUE, 93230 ROMAINVILLE",93230,48.880389,2.436667
SG SOCIETE GENERALE,"7 RUE GENERAL GALLIENI, 93110 ROSNY SOUS BOIS",93110,48.873638,2.483796
SG SOCIETE GENERALE,"11 PL JEAN JAURES, 93200 ST DENIS",93200,48.9118044,2.3349941
SG SOCIETE GENERALE,"26 BD JULES GUESDE, 93200 ST DENIS",93200,48.9354474,2.3502402
SG SOCIETE GENERALE,"53 BD VICTOR HUGO, 93400 ST OUEN SUR SEINE",93400,48.909182,2.331207
SG SOCIETE GENERALE,"6 PL GASTON BUSSIERE, 93270 SEVRAN",93270,48.9376861,2.5302047
SG SOCIETE GENERALE,"168 BD ANATOLE FRANCE, 93200 ST DENIS",93200,48.9200441,2.3435236
SG SOCIETE GENERALE,"17 AV FRANCOIS MITTERRAND, 93200 ST DENIS",93200,48.9180685,2.3524756
SG SOCIETE GENERALE,"6 RUE CARNOT, 93240 STAINS",93240,48.9561156,2.3825221
SG SOCIETE GENERALE,"16 AV PASTEUR, 93290 TREMBLAY EN FRANCE",93290,48.9421864,2.5721689
SG SOCIETE GENERALE,"22 AV DES NATIONS, 93420 VILLEPINTE",93420,48.9729024,2.5100716
