nom,adresse,code_postal,latitude,longitude
SG CREDIT DU NORD,"21 PL MAX LEJEUNE, 80100 ABBEVILLE",80100,50.1062431,1.8336734
SG CREDIT DU NORD,"6 RUE GAMBETTA, 80300 ALBERT",80300,50.003864,2.647322
SG CREDIT DU NORD,"47 RUE TROIS CAILLOUX, 80000 AMIENS",80000,49.8987005,2.272457
SG CREDIT DU NORD,"481 RTE D ABBEVILLE, 80000 AMIENS",80000,49.9809635,2.063351
SG CREDIT DU NORD,"69 RUE DES JACOBINS, 80000 AMIENS",80000,49.8907674,2.301432
SG CREDIT DU NORD,"32 RUE DOULLENS, 80000 AMIENS",80000,49.9046785,2.3068511
SG CREDIT DU NORD,"9 BD AMBROISE PARE, 80000 AMIENS",80000,49.8752266,2.2715918
SG CREDIT DU NORD,"22 RUE MARCELLIN TRUQUIN, 80800 CORBIE",80800,49.9078692,2.5116875
SG CREDIT DU NORD,"54 RUE DU COMMANDEMENT UNIQUE, 80600 DOULLENS",80600,50.1569967,2.3407751
SG CREDIT DU NORD,"11 RUE ROGER GODARD, 80420 FLIXECOURT",80420,50.0151335,2.0807205
SG CREDIT DU NORD,"46 PL JEAN JAURES, 80130 FRIVILLE ESCARBOTIN",80130,50.09062,1.550983
SG CREDIT DU NORD,"8 PL DE L'HOTEL DE VILLE, 80400 HAM",80400,49.7482043,3.0720359
SG CREDIT DU NORD,"7 PL PARMENTIER, 80500 MONTDIDIER",80500,49.6485178,2.5670434
SG CREDIT DU NORD,"1 RUE VICTOR GAILLARD, 80110 MOREUIL",80110,49.7741418,2.4806394
SG CREDIT DU NORD,"PL DU MARECHAL LECLERC, 80190 NESLE",80190,,
SG CREDIT DU NORD,"23 PL LOUIS DAUDRE, 80200 PERONNE",80200,49.9292552,2.9348649
SG CREDIT DU NORD,"10 RUE JEAN JAURES, 80170 ROSIERES EN SANTERRE",80170,49.8147609,2.7041171
SG CREDIT DU NORD,"9 BD DU GENERAL LECLERC, 80700 ROYE",80700,49.6986152,2.7918908
SG CREDIT DU NORD,"1 AV GASTON CAUDRON, 80120 RUE",80120,50.2895571,1.6669333
