nom,adresse,code_postal,latitude,longitude
SG COURTOIS,"RUE FRANCISCO GOYA, 81000 ALBI",81000,43.9350093,2.1680719
SG COURTOIS,"45 PL DU VIGAN, 81000 ALBI",81000,43.9272314,2.1478296
SG COURTOIS,"16 PL JEAN JAURES, 81400 CARMAUX",81400,44.0502471,2.1565207
SG COURTOIS,"8 BD CARNOT, 81100 CASTRES",81100,43.6066433,2.2450529
SG COURTOIS,"6 RTE DE TOULOUSE, 81100 CASTRES",81100,43.5529753,2.1142533
SG COURTOIS,"3 BD GAMBETTA, 81600 GAILLAC",81600,43.899469,1.898913
SG COURTOIS,"2 B AV GAMBETTA, 81300 GRAULHET",81300,43.7606009,1.9890651
SG COURTOIS,"7 CHE DE LA BOURIATTE, 81210 LACROUZETTE",81210,43.6616671,2.3482119
SG COURTOIS,"2 AV PIERRE FABRE, 81500 LAVAUR",81500,43.6962363,1.8160724
SG COURTOIS,"30 BD BARBEY, 81200 MAZAMET",81200,43.4909703,2.3710158
SG COURTOIS,"2 AV PASTEUR, 81370 ST SULPICE LA POINTE",81370,43.7730774,1.6853275
