nom,adresse,code_postal,latitude,longitude
SG SMC,"RES LA RADE D'AGAY, 83530 ST RAPHAEL",83530,43.4401866,6.8738535
SG SMC,"1 AV JEAN JAURES, 83460 LES ARCS",83460,43.4588581,6.4805924
SG SMC,"13 ALL JEAN MOULIN, 83150 BANDOL",83150,43.1358739,5.7549511
SG SMC,"56 RUE DR BARBAROUX, 83170 BRIGNOLES",83170,43.3967861,5.9981594
SG SMC,"RTE DEPARTEMENTALE 562, 83440 CALLIAN",83440,43.6288155,0.2765967
SG SMC,"13 AV JEAN JAURES, 83320 CARQUEIRANNE",83320,43.0938418,6.075481
SG SMC,"149 RUE DU PORT, 83240 CAVALAIRE SUR MER",83240,43.171786,6.5328297
SG SMC,"8 AV G. CLEMENCEAU, 83310 COGOLIN",83310,43.2523671,6.5366585
SG SMC,"12 AV GEORGES CLEMENCEAU, 83310 COGOLIN",83310,43.2511697,6.5355729
SG SMC,"1 RUE PAUL BERT, 83390 CUERS",83390,43.2379603,6.0726925
SG SMC,"2 BD GEORGES CLEMENCEAU, 83300 DRAGUIGNAN",83300,43.493201,6.3627424
SG SMC,"266 AV LATTRE DE TASSIGNY, 83600 FREJUS",83600,43.4330567,6.7463554
SG SMC,"26 AV DES EMERAUDES, 83600 FREJUS",83600,43.4494284,6.7566869
SG SMC,"QUARTIER SAINT-PIERRE, 83136 GAREOULT",83136,43.3277447,6.0474103
SG SMC,"8 AV JOSEPH CLOTIS, 83400 HYERES",83400,43.1199377,6.1291071
SG SMC,"41 AV ALEXIS GODILLOT, 83400 HYERES",83400,43.1110532,6.1242015
SG SMC,"9 RUE DE L'ASP FRANCOIS PHILIPPE, 83260 LA CRAU",83260,43.1706245,6.097883
SG SMC,"RUE LOUIS MARTIN, 83420 LA CROIX VALMER",83420,43.2075627,6.5682597
SG SMC,"88 AV SADI CARNOT, 83130 LA GARDE",83130,43.1234751,6.0047723
SG SMC,"1041 AV DE DRAGUIGNAN, 83130 LA GARDE",83130,43.1442006,6.0386408
SG SMC,"23 AV DU GAL DE GAULLE, 83250 LA LONDE LES MAURES",83250,43.1639028,6.2445299
SG SMC,"RUE RENAUDEL, 83500 LA SEYNE SUR MER",83500,43.1031049,5.8806808
SG SMC,"146 AV TREMOLIERES, 83160 LA VALETTE DU VAR",83160,43.1488261,5.999425
SG SMC,"7 R DU CHANOINE BOEUF, 83330 LE BEAUSSET",83330,43.1968727,5.8007669
SG SMC,"RUE PIERRES PRECIEUSES, 83980 LE LAVANDOU",83980,43.1371501,6.3664807
SG SMC,"13 PL DE LA LIBERTE, 83340 LE LUC",83340,43.3946752,6.3126964
SG SMC,"30 BD DES FERRIERES, 83490 LE MUY",83490,43.47488,6.5519681
SG SMC,"AV GABRIEL PERI, 83220 LE PRADET",83220,43.1065543,6.0242941
SG SMC,"19 AV DE TOULON, 83510 LORGUES",83510,43.4920318,6.3571905
SG SMC,"212 CHE DES DELPHINIUMS, 83190 OLLIOULES",83190,43.1383949,5.8541865
SG SMC,"569 RUE DU GENERAL DE GAULLE, 83480 PUGET SUR ARGENS",83480,43.4532883,6.6900357
SG SMC,"ZAC BENIERE, 83270 ST CYR SUR MER",83270,43.1699938,5.7133973
SG SMC,"ZAC BENIERE LES PRADEAUX, 83270 ST CYR SUR MER",83270,43.1699938,5.7133973
SG SMC,"66 BD FELIX MARTIN, 83700 ST RAPHAEL",83700,43.4233475,6.7672614
SG SMC,"QUAI GABRIEL PERI, 83990 ST TROPEZ",83990,43.2712231,6.6380809
SG SMC,"23 CRS THEODORE BOUGE, 83690 SALERNES",83690,43.5633032,6.233855
SG SMC,"13 BD ESTIENNE D'ORVES, 83110 SANARY SUR MER",83110,43.116626,5.8046862
SG SMC,"AV DU GENERAL DE GAULLE, 83500 LA SEYNE SUR MER",83500,43.083821,5.8738187
SG SMC,"95 RUE DE LA REPUBLIQUE, 83140 SIX FOURS LES PLAGES",83140,43.0934973,5.8381519
SG SMC,"4 RUE DE LA REPUBLIQUE, 83210 SOLLIES PONT",83210,43.1873988,6.0398605
SG SMC,"20 PL MALHERBE, 83470 ST MAXIMIN LA STE BAUME",83470,43.4530286,5.860318
SG SMC,"37 ALL DE VAULONGUE, 83700 ST RAPHAEL",83700,43.4377726,6.7862926
SG SMC,"1137 AV DE LA CORNICHE D'AZUR, 83370 FREJUS",83370,43.41332,6.7259176
SG SMC,"14 PL LOUIS BLANC, 83120 STE MAXIME",83120,43.3087783,6.6389156
SG SMC,"132 BD BAZEILLES, 83000 TOULON",83000,43.1125048,5.9384934
SG SMC,"401 AV DU XVE CORPS, 83200 TOULON",83200,43.1880146,5.9449151
SG SMC,"7 RUE RACINE, 83000 TOULON",83000,43.1241369,5.9321666
SG SMC,"555 BD MARECHAL JOFFRE, 83100 TOULON",83100,43.1248642,5.9563647
