nom,adresse,code_postal,latitude,longitude
SG SMC,"204 B AV DE LANCON, 84400 APT",84400,43.8846257,5.3783211
SG SMC,"20 RUE DE LA REPUBLIQUE, 84000 AVIGNON",84000,43.946558,4.8056328
SG SMC,"53 AV PIERRE SEMARD, 84000 AVIGNON",84000,43.939771,4.820895
SG AUVERGNE RHÔNE ALPES,"PL H R DE LA GARDETTE, 84500 BOLLENE",84500,44.288637,4.7540638
SG SMC,"35 BD ALBIN DURAND, 84200 CARPENTRAS",84200,44.0524479,5.0467681
SG SMC,"2 CRS GAMBETTA, 84300 CAVAILLON",84300,43.8370971,5.0402297
SG SMC,"25 ALL DES MICOCOULIERS, 84660 MAUBEC",84660,43.8680214,5.1436651
SG SMC,"25 QU ROUGET DE LISLE, 84800 L ISLE SUR LA SORGUE",84800,43.9179202,5.0508017
SG SMC,"43 RUE JEAN GASSIER, 84130 LE PONTET",84130,43.9527644,4.858616
SG SMC,"8 RUE DE LA REPUBLIQUE, 84100 ORANGE",84100,44.1372746,4.8086692
SG SMC,"139 AV DU BARIOT, 84210 PERNES LES FONTAINES",84210,43.9895235,5.0874103
SG SMC,"25 CRS DE LA REPUBLIQUE, 84120 PERTUIS",84120,43.6932188,5.5013019
SG SMC,"643 RTE D'AIX, 84120 PERTUIS",84120,43.6817596,5.5006517
SG SMC,"41 AV DU 11 NOVEMBRE, 84700 SORGUES",84700,44.00845,4.8731973
SG SMC,"1 RUE GENERAL DE GAULLE, 84110 VAISON LA ROMAINE",84110,44.247265,5.0611348
SG SMC,"69 GRAND RUE, 84110 VAISON LA ROMAINE",84110,44.23846,5.0706849
SG AUVERGNE RHÔNE ALPES,"RUE DU PORTALON, 84600 VALREAS",84600,44.3826193,4.9904328
SG SMC,"AV PIERRE DE COUBERTIN, 84270 VEDENE",84270,43.9803098,4.9065331
