nom,adresse,code_postal,latitude,longitude
SG GRAND OUEST,"23 RUE DE L'HOTEL DE VILLE, 85190 AIZENAY",85190,46.7394391,-1.6071515
SG GRAND OUEST,"11 RUE DE LA PAIX, 85300 CHALLANS",85300,46.8471198,-1.8789876
SG GRAND OUEST,"39 RUE DE LA REPUBLIQUE, 85200 FONTENAY LE COMTE",85200,46.4651857,-0.8030666
SG GRAND OUEST,"14 RUE GEORGES CLEMENCEAU, 85000 LA ROCHE SUR YON",85000,46.669966,-1.4296495
SG GRAND OUEST,"9 RUE DE L'EGLISE, 85500 LES HERBIERS",85500,46.8711897,-1.0146265
SG GRAND OUEST,"PL DU POILU DE FRANCE, 85100 LES SABLES D OLONNE",85100,46.497112,-1.7837923
SG GRAND OUEST,"3 AV DU COMMANDANT BELMONT, 85180 LES SABLES D OLONNE",85180,46.4890445,-1.7505283
SG GRAND OUEST,"28 QU RENE GUINE, 85100 LES SABLES D OLONNE",85100,46.4960385,-1.7945918
SG GRAND OUEST,"15 RUE GEORGES CLEMENCEAU, 85400 LUCON",85400,46.4556617,-1.1666905
SG GRAND OUEST,"10 RUE DU ROSAIRE, 85330 NOIRMOUTIER EN L ILE",85330,46.9999579,-2.2456459
SG GRAND OUEST,"7 RUE GAUTTE, 85800 ST GILLES CROIX DE VIE",85800,46.6962704,-1.9337641
