nom,adresse,code_postal,latitude,longitude
SG SOCIETE GENERALE,"4 AV DE STALINGRAD, 78260 ACHERES",78260,48.960381,2.068619
SG SOCIETE GENERALE,"54 B AV JEAN JAURES, 78390 BOIS D ARCY",78390,48.7997094,2.0387909
SG SOCIETE GENERALE,"1 RUE DE LA REPUBLIQUE, 78270 BONNIERES SUR SEINE",78270,,
SG SOCIETE GENERALE,"CHE DEPARTEMENTAL 110, 78200 BUCHELAY",78200,48.9567026,1.6307396
SG SOCIETE GENERALE,"313 RUE E . JOLLY, 78955 CARRIERES SOUS POISSY",78955,48.9470739,2.0283635
SG SOCIETE GENERALE,"53 BD CARNOT, 78420 CARRIERES SUR SEINE",78420,48.9099022,2.1798809
SG SOCIETE GENERALE,"17 AV GUIBERT C.COMM, 78170 LA CELLE ST CLOUD",78170,48.8497878,2.1395475
SG SOCIETE GENERALE,"PL DE LA MAIRIE, 78240 CHAMBOURCY",78240,48.8973668,2.0255396
SG SOCIETE GENERALE,"4 PL MAURICE BERTEAUX, 78400 CHATOU",78400,48.8871445,2.1549929
SG SOCIETE GENERALE,"20 RUE AUGUSTE RENOIR, 78400 CHATOU",78400,48.902445,2.15624
SG SOCIETE GENERALE,"15 RUE POTTIER, 78150 LE CHESNAY ROCQUENCOURT",78150,48.8269777,2.1248218
SG SOCIETE GENERALE,"17 PL DE LA LIBERTE, 78700 CONFLANS STE HONORINE",78700,49.0058607,2.1160197
SG SOCIETE GENERALE,"54 RUE M. BERTEAUX, 78700 CONFLANS STE HONORINE",78700,49.0017356,2.0973608
SG SOCIETE GENERALE,"1 AV CARNOT, 78290 CROISSY SUR SEINE",78290,48.8788536,2.1425886
SG SOCIETE GENERALE,"R DU CHEMIN AUX BOEUFS, 78990 ELANCOURT",78990,48.7662545,1.9471493
SG SOCIETE GENERALE,"66 RTE DES 40 SOUS, 78410 FLINS-SUR-SEINE",78410,48.9573567,1.8740024
SG SOCIETE GENERALE,"7 RUE PASTEUR, 78330 FONTENAY LE FLEURY",78330,48.8125352,2.0464234
SG SOCIETE GENERALE,"4 AV MLLE DOSNE, 78440 GARGENVILLE",78440,49.021647,1.7808132
SG SOCIETE GENERALE,"10 B PL DE L'EGLISE, 78280 GUYANCOURT",78280,48.7713114,2.0699488
SG SOCIETE GENERALE,"64 GRANDE RUE, 78550 HOUDAN",78550,48.7896808,1.6010681
SG SOCIETE GENERALE,"9 AV DU MARECHAL FOCH, 78800 HOUILLES",78800,48.9229814,2.1882735
