nom,adresse,code_postal,latitude,longitude
AGENCE CHENOVE - BNP PARIBAS,"73 avenue Roland Carraz, 21300  Chenove",21300,47.295983691045,5.0185570699752
AGENCE DIJON FACULTES - BNP PARIBAS,"12 boulevard De L'Universite, 21000  Dijon",21000,47.3131261,5.0537461
AGENCE DIJON DARCY - BNP PARIBAS,"1 place Darcy, 21000  Dijon",21000,47.3230159,5.0346294
Cash Services - Dijon 3 PLACE FRANCOIS RUDE,"3 PLACE FRANCOIS RUDE, 21000  Dijon",21000,47.322362,5.038798
AGENCE DIJON REPUBLIQUE - BNP PARIBAS,"7-9 place De La Republique, 21000  Dijon",21000,47.327351776239,5.0443682239426
Cash Services - Dijon 50 BOULEVARD JEANNE D ARC,"50 BOULEVARD JEANNE D ARC, 21000  Dijon",21000,47.317294,5.065297
AGENCE QUETIGNY GRAND MARCHE - BNP PARIBAS,"22 boulevard Du Champ Aux Metiers, 21800  Quetigny",21800,47.307935989748,5.1009258325409
AGENCE DIJON TOISON D OR - BNP PARIBAS,"85 avenue De Langres, Le Calypso, 21000  Dijon",21000,47.3467447255,5.0449074459407
Cash Services - St Apollinaire 605 ROUTE DE GRAY,"605 ROUTE DE GRAY, 21850  St Apollinaire",21850,47.336703,5.102324
Cash Services - Beaune 14 RUE GUSTAVE EIFFEL,"14 RUE GUSTAVE EIFFEL, 21200  Beaune",21200,47.040953,4.844771
Cash Services - Auxonne 104 RUE EMILE GRUET,"104 RUE EMILE GRUET, 21130  Auxonne",21130,47.192835,5.389197
AGENCE BEAUNE - BNP PARIBAS,"26 place Carnot, 21200  Beaune",21200,47.0221409,4.8384383
Cash Services - Pouilly En Auxois 11 AVENUE GENERAL DE GAULLE,"11 AVENUE GENERAL DE GAULLE, 21320  Pouilly En Auxois",21320,47.262969,4.55539
AGENCE DOLE - BNP PARIBAS,"41 Grande Rue, 39100  Dole",39100,47.092409091234,5.4931867294304
Cash Services - Gray 7 QUAI MAVIA,"7 QUAI MAVIA, 70100  Gray",70100,47.448403,5.586371
Cash Services - Gray PLACE DU GENERAL DE GAULLE,"PLACE DU GENERAL DE GAULLE, 70100  Gray",70100,47.445537,5.592195
AGENCE GRAY - BNP PARIBAS,"4 place Du 4 Septembre, 70100  Gray",70100,47.448530333615,5.5911738280334
AGENCE CHALON SUR SAONE AVENUE DE PARIS - BNP PARIBAS,"141 avenue De Paris, 71100  Chalon Sur Saone",71100,46.797441108557,4.8473493147499
AGENCE CHALON SUR SAONE REPUBLIQUE - BNP PARIBAS,"6 boulevard De La Republique, 71100  Chalon Sur Saone",71100,46.7842554,4.8515692
Cash Services - St Marcel 30 ROUTE DE DOLE,"30 ROUTE DE DOLE, 71380  St Marcel",71380,46.776502,4.8967
AGENCE CHALON MAISON DES PROFESSIONNELS - BNP PARIBAS,"30 avenue Georges Pompidou, 71100  Chalon-Sur-Saone",71100,46.7812894,4.8444614
Cash Services - Marnay 2 RUE FERNAND PERROT,"2 RUE FERNAND PERROT, 70150  Marnay",70150,47.289556,5.763521
Cash Services - Montbard PLACE LEON GAMBETTA,"PLACE LEON GAMBETTA, 21500  Montbard",21500,47.62313,4.338995
AGENCE AUTUN - BNP PARIBAS,"5 avenue Charles De Gaulle, 71400  Autun",71400,46.950581608337,4.2981988257776
AGENCE LE CREUSOT - BNP PARIBAS,"65 rue Du Marechal Foch, 71200  Le Creusot",71200,46.804944059337,4.43873448158
AGENCE CHATILLON SUR SEINE - BNP PARIBAS,"18 rue Du Mal De Lattre De Tassigny, 21400  Chatillon Sur Seine",21400,47.859527154436,4.5723807449833
