nom,adresse,code_postal,latitude,longitude
AGENCE ARRAS - BNP PARIBAS,"21 rue Ernestale, 62000  Arras",62000,50.289685685442,2.7740060338363
Cash Services - Arras 114 RUE DU TEMPLE,"114 RUE DU TEMPLE, 62000  Arras",62000,50.282246,2.788267
Cash Services - Arras 10 RUE DESIRE DELANSORNE,"10 RUE DESIRE DELANSORNE, 62033  Arras",62033,50.290969,2.776623
Cash Services - Beaumetz Les Loges 19 ROUTE NATIONALE,"19 ROUTE NATIONALE, 62123  Beaumetz Les Loges",62123,50.241395,2.658654
Cash Services - Bapaume 23 PLACE FAIDHERBE,"23 PLACE FAIDHERBE, 62450  Bapaume",62450,50.104222,2.850599
Cash Services - Lievin 1 PLACE GAMBETTA,"1 PLACE GAMBETTA, 62800  Lievin",62800,50.419215,2.777873
AGENCE LIEVIN - BNP PARIBAS,"187 rue J B Defernez, 62800  Lievin",62800,50.42205736804,2.7813778902716
Cash Services - Lens 130 BOULEVARD EMILE BASLY,"130 BOULEVARD EMILE BASLY, 62300  Lens",62300,50.430355,2.823144
AGENCE LENS - BNP PARIBAS,"27 place Jean Jaures, 62300  Lens",62300,50.428925189547,2.8311537294774
AGENCE HENIN BEAUMONT - BNP PARIBAS,"133 rue Montpencher, 62110  Henin Beaumont",62110,50.421636790093,2.9481306987766
Cash Services - Harnes 10 GRAND PLACE,"10 GRAND PLACE, 62440  Harnes",62440,50.445085,2.903325
AGENCE NOEUX LES MINES - BNP PARIBAS,"221 rue Nationale, 62290  Noeux Les Mines",62290,50.47733770138,2.6652678576721
AGENCE DOUAI PONT D'ESQUERCHIN - BNP PARIBAS,"2 rue Pierre Brossolette, 59500  Douai",59500,50.37673278357,3.0649958885973
AGENCE DOUAI - BNP PARIBAS,"75 rue De Bellain, 59500  Douai",59500,50.368680008372,3.0820231736196
Cash Services - Douai 19 RUE SAINT JACQUES,"19 RUE SAINT JACQUES, 59500  Douai",59500,50.370803,3.082985
AGENCE ALBERT - BNP PARIBAS,"1 rue Gambetta, 80300  Albert",80300,50.003536770802,2.6474252632553
AGENCE BRUAY LA BUISSIERE - BNP PARIBAS,"72 rue Henri Cadot, 62700  Bruay La Buissiere",62700,50.480737513377,2.5459123300594
AGENCE DOULLENS - BNP PARIBAS,"69 rue Du Bourg, 80600  Doullens",80600,50.155858251077,2.3423457073341
AGENCE CARVIN - BNP PARIBAS,"49 rue Edouard Plachez, 62220  Carvin",62220,50.491301123774,2.9561347902845
AGENCE LA BASSEE - BNP PARIBAS,"28 rue De Lens, 59480  La Bassee",59480,50.530111377842,2.802094504925
Cash Services - Frevent 8 RUE DU GENERAL DE GAULLE,"8 RUE DU GENERAL DE GAULLE, 62270  Frevent",62270,50.277558,2.293794
AGENCE SAINT POL SUR TERNOISE - BNP PARIBAS,"place Du General Leclerc, 62130  St Pol Sur Ternoise",62130,50.382105,2.337193
AGENCE BETHUNE - BNP PARIBAS,"5 Grand Place, 62400  Bethune",62400,50.531131316528,2.6384107306885
Cash Services - Pernes 34 GRAND PLACE,"34 GRAND PLACE, 62550  Pernes",62550,50.484023,2.411191
Cash Services - Montigny En Ostrevent AVENUE RAYMOND HONORE,"AVENUE RAYMOND HONORE, 59182  Montigny En Ostrevent",59182,50.367254,3.191003
