nom,adresse,code_postal,latitude,longitude
AGENCE PARIS AVENUE DU MAINE 14E - BNP PARIBAS,"103 avenue Du Maine, 75014  Paris",75014,48.836638941838,2.3235504711639
AGENCE PARIS VAVIN - BNP PARIBAS,"117 boulevard Du Montparnasse, 75006  Paris",75006,48.842028989973,2.3302292201213
AGENCE PARIS PORT ROYAL 14E - BNP PARIBAS,"49 avenue De L Observatoire, 75014  Paris",75014,48.839340520806,2.3370802795721
AGENCE PARIS RUE DE RENNES - BNP PARIBAS,"169 Rue De Rennes, 75006  Paris",75006,48.8443411,2.324677
AGENCE PARIS MONTPARNASSE - BNP PARIBAS,"20 boulevard Vaugirard, 75015  Paris",75015,48.8417881,2.3185918
AGENCE PARIS GENERAL LECLERC 14E - BNP PARIBAS,"53 avenue Du General Leclerc, 75014  Paris",75014,48.829508955305,2.3286203076755
AGENCE PARIS ALESIA 14E - BNP PARIBAS,"90 avenue Du General Leclerc, 75014  Paris",75014,48.827361561408,2.3263333214264
AGENCE PARIS DUROC - BNP PARIBAS,"64 Rue De Sevres, 75007  Paris",75007,48.8480268,2.3194519
Cash Services - Paris 75 RUE DE RENNES,"75 RUE DE RENNES, 75006  Paris",75006,48.850628,2.330579
AGENCE PARIS MEDICIS - BNP PARIBAS,"1 rue De Medicis, 75006  Paris",75006,48.849004245298,2.33917034713
AGENCE PARIS QUARTIER LATIN - BNP PARIBAS,"7 Rue Soufflot, 75005  Paris",75005,48.846557,2.3435549
AGENCE PARIS AVENUE DE BRETEUIL 15E - BNP PARIBAS,"80 avenue De Breteuil, 75015  Paris",75015,48.846497319777,2.3110318919942
AGENCE PARIS BLANQUI 13E - BNP PARIBAS,"101 boulevard Auguste Blanqui, 75013  Paris",75013,48.830185562069,2.3456279300198
AGENCE PARIS MONGE 5E - BNP PARIBAS,"2 bis avenue Des Gobelins, 75005  Paris",75005,48.838259495359,2.350542452622
AGENCE PARIS PARC MONTSOURIS 14E - BNP PARIBAS,"1 avenue Reille, 75014  Paris",75014,48.826019038064,2.341512887751
AGENCE PARIS VOLONTAIRES 15E - BNP PARIBAS,"66 rue Lecourbe, 75015  Paris",75015,48.843784665194,2.3062351333484
AGENCE PARIS VOUILLE BRANCION 15E - BNP PARIBAS,"26 rue De Vouille, 75015  Paris",75015,48.834495418675,2.3052266099276
AGENCE PARIS BOULEVARD SAINT GERMAIN - BNP PARIBAS,"133 boulevard Saint Germain, 75006  Paris",75006,48.853172153962,2.3352873709187
AGENCE PARIS SAINT GERMAIN DES PRES - BNP PARIBAS,"147 boulevard Saint Germain, 75006  Paris",75006,48.85360107568,2.3335082522442
AGENCE PARIS RASPAIL - BNP PARIBAS,"12 Boulevard Raspail, 75007  Paris",75007,48.8542838,2.3257297
AGENCE PARIS LUTECE - BNP PARIBAS,"72 rue Monge, 75005  Paris",75005,48.843331652451,2.3520262826537
AGENCE PARIS SAINT ANDRE DES ARTS - BNP PARIBAS,"3 place Saint Andre Des Arts, 75006  Paris",75006,48.85306506693,2.3434134608146
AGENCE PARIS GOBELINS 13E - BNP PARIBAS,"68 B avenue Des Gobelins, 75013  Paris",75013,48.832748075292,2.3543019840614
AGENCE PARIS PLACE MAUBERT - BNP PARIBAS,"19 rue Lagrange, 75005  Paris",75005,48.850576597755,2.3487487262723
AGENCE PARIS SAINT MARCEL 5E - BNP PARIBAS,"50 boulevard Saint Marcel, 75005  Paris",75005,48.838587329537,2.3568398146997
AGENCE PARIS JUSSIEU FAC DES SCIENCES - BNP PARIBAS,"31 rue Jussieu, 75005  Paris",75005,48.846881813317,2.3537701449275
AGENCE PARIS MAIRIE DU XVEME 15E - BNP PARIBAS,"148 rue Lecourbe, 75015  Paris",75015,48.841826024272,2.2996794438798
AGENCE PARIS LOWENDAL 15E - BNP PARIBAS,"35 avenue De Lowendal, 75015  Paris",75015,48.84864193842,2.3030700767868
AGENCE PARIS CITE INTERNATIONALE 14E - BNP PARIBAS,"17 Boulevard Jourdan, 75014  Paris",75014,48.8199761,2.3387146
AGENCE MONTROUGE - BNP PARIBAS,"place Gabrielle De Guerchy, 92120  Montrouge",92120,48.818849700584,2.3234457923736
AGENCE PARIS RUE DU BAC - BNP PARIBAS,"15 Rue Du Bac, 75007  Paris",75007,48.858436558021,2.3286571833977
AGENCE PARIS RUE DE BOURGOGNE - BNP PARIBAS,"39 Rue De Bourgogne, 75007  Paris",75007,48.8573728,2.3175533
AGENCE PARIS ECOLE MILITAIRE - BNP PARIBAS,"22 Avenue De Tourville, 75007  Paris",75007,48.8543286,2.3071994
AGENCE PARIS SAINT LAMBERT 15E - BNP PARIBAS,"377 rue De Vaugirard, 75015  Paris",75015,48.8359514,2.2939701
AGENCE PARIS TOLBIAC 13E - BNP PARIBAS,"59 avenue D Italie, 75013  Paris",75013,48.826286759077,2.3575631417224
AGENCE PARIS COMMERCE 15E - BNP PARIBAS,"40 Rue Du Commerce, 75015  Paris",75015,48.846933141634,2.2956421784
AGENCE PARIS RUE NATIONALE 13E - BNP PARIBAS,"186 Rue Nationale, 75013  Paris",75013,48.8325378,2.362916
AGENCE MALAKOFF - BNP PARIBAS,"10 bis avenue Jean Jaures, 92240  Malakoff",92240,48.821460152394,2.3025441674591
Cash Services - Paris 101 RUE UNIVERSITE,"101 RUE UNIVERSITE, 75007  Paris",75007,48.860799,2.315976
