nom,adresse,code_postal,latitude,longitude
AGENCE LIBOURNE - BNP PARIBAS,"71 rue Waldeck Rousseau, 33500  Libourne",33500,44.915623793394,-0.24394854232787
AGENCE LIBOURNE CHARLES DE GAULLE - BNP PARIBAS,"99 avenue Du General De Gaulle, 33500  Libourne",33500,44.903976315487,-0.22351380615157
AGENCE SAINT ANDRE DE CUBZAC - BNP PARIBAS,"60-62 Rue Emile Dantagnan, 33240  Saint-Andre-De-Cubzac",33240,44.9945245,-0.4434971
Cash Services - Coutras 1 RUE GAMBETTA,"1 RUE GAMBETTA, 33230  Coutras",33230,45.040679,-0.130507
AGENCE COUTRAS - BNP PARIBAS,"2 square Du Docteur Berger, 33230  Coutras",33230,45.040392215862,-0.1297140531982
Cash Services - Ambares Et Lagrave RUE CHANTE ALOUETTE,"RUE CHANTE ALOUETTE, 33440  Ambares Et Lagrave",33440,44.924087,-0.468114
Cash Services - Ste Eulalie 21 RUE PROFESSEUR MOURE,"21 RUE PROFESSEUR MOURE, 33560  Ste Eulalie",33560,44.908115,-0.472294
AGENCE AMBARES ET LAGRAVE - BNP PARIBAS,"22 Rue Edmond Faulat, 33440  Ambares-Et-Lagrave",33440,44.9252279,-0.4877149
Cash Services - Bassens 2 AVENUE SAINT EXUPERY,"2 AVENUE SAINT EXUPERY, 33530  Bassens",33530,44.902066,-0.514204
AGENCE CENON EMERAUDE - BNP PARIBAS,"61-69 rue Camille Pelletan, 33150  Cenon",33150,44.855876927507,-0.51981554847945
AGENCE CREON - BNP PARIBAS,"2 rue Charles Dopter, 33670  Creon",33670,44.774664647322,-0.34889836808816
AGENCE CENON - BNP PARIBAS,"33 avenue Jean Jaures, 33150  Cenon",33150,44.854266555162,-0.53644702133226
Cash Services - Floirac AVENUE PASTEUR,"AVENUE PASTEUR, 33270  Floirac",33270,44.837015,-0.530184
AGENCE BASSINS A FLOT - BNP PARIBAS,"74 rue Lucien Faure, 33000  Bordeaux",33000,44.8631873,-0.5577332
Cash Services - Le Bouscat 138 AVENUE MARCELLIN BERTHELOT,"138 AVENUE MARCELLIN BERTHELOT, 33110  Le Bouscat",33110,44.865058,-0.578774
AGENCE BORDEAUX BASTIDE - BNP PARIBAS,"18 rue Serr, 33000  Bordeaux",33000,44.8432084,-0.5589516
AGENCE BORDEAUX PAUL DOUMER - BNP PARIBAS,"128 Cours De Verdun, 33000  Bordeaux",33000,44.8518755,-0.5734381
Cash Services - Bordeaux 12 RUE DES ALLAMANDIERS,"12 RUE DES ALLAMANDIERS, 33800  Bordeaux",33800,44.834245,-0.564252
AGENCE BORDEAUX GRAND THEATRE - BNP PARIBAS,"10 allée De Tourny, 33000  Bordeaux",33000,44.84302707973,-0.57532980489348
AGENCE NOUVELLE AQUITAINE INTERNATIONAL - BNP PARIBAS,"10 All. De Tourny, 33000  Bordeaux",33000,44.8428576,-0.5753974
AGENCE LATRESNE - BNP PARIBAS,"41 avenue De La Liberation, 33360  Latresne",33360,44.785146129613,-0.49678189203075
Cash Services - Bordeaux 41 RUE DU PAS SAINT GEORGES,"41 RUE DU PAS SAINT GEORGES, 33000  Bordeaux",33000,44.838802,-0.572023
AGENCE LE BOUSCAT - BNP PARIBAS,"1-3 Cours Louis Blanc, 33110  Le Bouscat",33110,44.8648944,-0.5994926
AGENCE BORDEAUX CAPUCINS - BNP PARIBAS,"95 cours De La Marne, 33000  Bordeaux",33000,44.8293888,-0.5671017
AGENCE BRUGES - BNP PARIBAS,"105 avenue Du General De Gaulle, Residence Du Vieux Bourg, 33520  Bruges",33520,44.882873180847,-0.61208994401522
AGENCE BORDEAUX TIVOLI - BNP PARIBAS,"126 rue Croix De Seguey, 33000  Bordeaux",33000,44.8534542,-0.5932047
AGENCE BORDEAUX SAINT SEURIN - BNP PARIBAS,"3 place Du Prado, 33000  Bordeaux",33000,44.8431821,-0.5865849
AGENCE BORDEAUX COURS D'ALBRET - BNP PARIBAS,"33-41 Cours D'albret, 33000  Bordeaux",33000,44.8370119,-0.5815745
Cash Services - Begles 3 RUE CALIXTE CAMELLE,"3 RUE CALIXTE CAMELLE, 33130  Begles",33130,44.80747,-0.548539
AGENCE BLANQUEFORT - BNP PARIBAS,"34 avenue Du General De Gaulle, 33290  Blanquefort",33290,44.912650063073,-0.63633759962295
AGENCE BORDEAUX BARRIERE DE BEGLES - BNP PARIBAS,"139 boulevard Albert 1Er, 33000  Bordeaux",33000,44.8133606,-0.5649958
AGENCE BORDEAUX SAINT GENES - BNP PARIBAS,"7 Place Louis Barthou, 33000  Bordeaux",33000,44.8213195,-0.5825705
AGENCE BORDEAUX CAUDERAN - BNP PARIBAS,"149 avenue Louis Barthou, 33000  Bordeaux",33000,44.852373,-0.6146063
AGENCE BORDEAUX PELLEGRIN - BNP PARIBAS,"18 place Amelie Raba Leon, 33000  Bordeaux",33000,44.8305043,-0.6037382
Cash Services - Arsac AV JEAN LUC VANDERHEYDEN,"AV JEAN LUC VANDERHEYDEN, 33460  Arsac",33460,44.998631,-0.672577
AGENCE TALENCE VILLE - BNP PARIBAS,"14 allée Du 7Eme Art, 33400  Talence",33400,44.812054825748,-0.5922675220902
Cash Services - Talence 471 BIS COURS DE LA LIBERATION,"471 BIS COURS DE LA LIBERATION, 33400  Talence",33400,44.804592,-0.592705
AGENCE VILLENAVE D'ORNON - BNP PARIBAS,"1 place Aristide Briand, 33140  Villenave-D'Ornon",33140,44.781831442108,-0.56720384292222
Cash Services - Merignac 4 PLACE JEAN JAURES,"4 PLACE JEAN JAURES, 33700  Merignac",33700,44.851702,-0.644186
AGENCE MERIGNAC - BNP PARIBAS,"27 place Charles De Gaulle, 33700  Merignac",33700,44.841677146041,-0.64708678895492
AGENCE LE HAILLAN - BNP PARIBAS,"65 Avenue Pasteur, 33185  Le Haillan",33185,44.868119,-0.669996
AGENCE PESSAC - BNP PARIBAS,"38 avenue Pasteur, 33600  Pessac",33600,44.806042762058,-0.63237720678103
Cash Services - Villenave D Ornon RUE THIERS,"RUE THIERS, 33140  Villenave D Ornon",33140,44.765403,-0.582316
AGENCE BLAYE - BNP PARIBAS,"27 cours De La Republique, 33390  Blaye",33390,45.129370320207,-0.6615978679049
