Etablissement;Code_Guichet;Nom_Guichet;Rue;Complement_adresse;Ville;Code_Postal;Libellé_Marque;Horaires;Infos_Complementaires;Raison_Sociale;Url_site;Code_URA;ouverture_lundi;ouverture_mardi;ouverture_mercredi;ouverture_jeudi;ouverture_vendredi;ouverture_samedi;ouverture_dimanche;ouverture_lundi_matin;fermeture_lundi_matin;ouverture_lundi_apresmidi;fermeture_lundi_apresmidi;ouverture_mardi_matin;fermeture_mardi_matin;ouverture_mardi_apresmidi;fermeture_mardi_apresmidi;ouverture_mercredi_matin;fermeture_mercredi_matin;ouverture_mercredi_apresmidi;fermeture_mercredi_apresmidi;ouverture_jeudi_matin;fermeture_jeudi_matin;ouverture_jeudi_apresmidi;fermeture_jeudi_apresmidi;ouverture_vendredi_matin;fermeture_vendredi_matin;ouverture_vendredi_apresmidi;fermeture_vendredi_apresmidi;ouverture_samedi_matin;fermeture_samedi_matin;ouverture_samedi_apresmidi;fermeture_samedi_apresmidi;ouverture_dimanche_matin;fermeture_dimanche_matin;ouverture_dimanche_apresmidi;fermeture_dimanche_apresmidi;coordonnees_gps
16807;00005;ARLYSERE UGINE;75, Pl du Val d'Arly;;UGINE;73400;;Lu0000000000000000Ma0830123013451745Me0000000000000000Je0000000000000000Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00005;Lu0000000000000000;Ma0830123013451745;Me0000000000000000;Je0000000000000000;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.746, 6.42091
16807;00129;BELLEDONNE DOMENE;6, pl Matussière;;DOMENE;38420;;Lu0000000000000000Ma0830123013451745Me0000000000000000Je0000000000000000Ve0830123013451745Sa0000000000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00129;Lu0000000000000000;Ma0830123013451745;Me0000000000000000;Je0000000000000000;Ve0830123013451745;Sa0000000000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;45.20131, 5.84027
16807;00150;MONTELIMAR SUD;140, Avenue Jean Jaurès;;MONTELIMAR;26200;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00150;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;44.5422, 4.74661
16807;00161;MANOSQUE SUD;Axe Sud ZI Saint Joseph;;MANOSQUE;04100;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00161;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;43.82676, 5.78723
16807;00179;SUD BELLEDONNE EYBENS;142, Avenue Jean Jaurès;;EYBENS;38320;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00179;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.14961, 5.75026
16807;00180;MONTFLEURY MEYLAN;1, Allée des Centaurées;;MEYLAN;38240;;Lu0900121513451745Ma0900121513451745Me0900121513451745Je0900120013451745Ve0900121513451745Sa0000000000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous.  Distributeur disponible en face du 20 chemin de la Revirée à Corenc.;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00180;Lu0900121513451745;Ma0900121513451745;Me0900121513451745;Je0900120013451745;Ve0900121513451745;Sa0000000000000000;Di0000000000000000;0900;1215;1345;1745;0900;1215;1345;1745;0900;1215;1345;1745;0900;1200;1345;1745;0900;1215;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;45.20509, 5.77977
16807;00379;AURILLAC SUD ARPAJON;9, Place de l'Eglise;;ARPAJON SUR CERE;15130;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00379;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;44.90036, 2.45939
16807;00447;VIENNE ESTRABLIN;Rue du Centre;;ESTRABLIN;38780;;Lu0000000000000000Ma0830123013451745Me0000000000000000Je0000000000000000Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00447;Lu0000000000000000;Ma0830123013451745;Me0000000000000000;Je0000000000000000;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.51671, 4.96392
16807;00452;LES AQUEDUCS CHAPONOST;53, Avenue Paul Doumer;;CHAPONOST;69630;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00452;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.71202, 4.74652
16807;00471;MONTS D'OR ST CYR;6, pl Charles de Gaulle;;ST CYR AU MONT D'OR;69450;;Lu0000000000000000Ma0830123013451745Me0000000000000000Je0000000000000000Ve0830123013451745Sa0000000000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00471;Lu0000000000000000;Ma0830123013451745;Me0000000000000000;Je0000000000000000;Ve0830123013451745;Sa0000000000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;0830;1230;1345;1745;0000;0000;0000;0000;0000;0000;0000;0000;45.81419, 4.81731
16807;00518;ST ETIENNE SUD BIZILLON;9, rue des Docteurs Charcot;;ST ETIENNE;42100;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous.;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00518;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.42226, 4.39218
16807;00537;FOREZ MONTROND LES BAINS;4, Avenue des Sources;;MONTROND LES BAINS;42210;;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830120013451745Ve0830123013451745Sa0800123000000000Di0000000000000000;L'après-midi uniquement sur rendez-vous;Banque Populaire Auvergne Rhône Alpes;https://www.banquepopulaire.fr/bpaura/;00537;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830120013451745;Ve0830123013451745;Sa0800123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1200;1345;1745;0830;1230;1345;1745;0800;1230;0000;0000;0000;0000;0000;0000;45.64331, 4.23198
