nom,adresse,code_postal
SG CREDIT DU NORD,"1 RUE DU CHATEAU, 02110 BOHAIN EN VERMANDOIS",02110
SG GRAND EST,"3 PL DU GAL DE GAULLE, 02310 CHARLY SUR MARNE",02310
SG GRAND EST,"1 PL DES ETATS UNIS, 02400 CHATEAU THIERRY",02400
SG CREDIT DU NORD,"24 RUE ARTHUR LACROIX, 02300 CHAUNY",02300
SG CREDIT DU NORD,"61 RUE ANDRE GODIN, 02120 GUISE",02120
SG CREDIT DU NORD,"35 RUE DE LA REPUBLIQUE, 02800 LA FERE",02800
SG CREDIT DU NORD,"7 BD DE LYON, 02000 LAON",02000
SG CREDIT DU NORD,"12 RUE CLEMENCEAU, 02340 MONTCORNET",02340
SG CREDIT DU NORD,"89 RUE PASTEUR, 02390 ORIGNY STE BENOITE",02390
SG CREDIT DU NORD,"2 PL DAUPHINE, 02200 SOISSONS",02200
SG CREDIT DU NORD,"16 RUE D'ISLE, 02100 ST QUENTIN",02100
SG CREDIT DU NORD,"1 PL DU CENTENAIRE, 02140 VERVINS",02140
SG CREDIT DU NORD,"2 RUE ALEXANDRE DUMAS, 02600 VILLERS COTTERETS",02600
