nom,adresse,code_postal
SG GRAND EST,"22 RUE JACQUES KABLE, 67170 BRUMATH",67170
SG GRAND EST,"5 RUE MERCIERE, 67150 ERSTEIN",67150
SG GRAND EST,"97 GRAND'RUE, 67500 HAGUENAU",67500
SG GRAND EST,"150 RTE DE LYON, 67400 ILLKIRCH GRAFFENSTADEN",67400
SG GRAND EST,"38 PL DE L'HOTEL DE VILLE, 67120 MOLSHEIM",67120
SG GRAND EST,"37 RUE DU GENERAL GOURAUD, 67210 OBERNAI",67210
SG GRAND EST,"70 RUE DU GEN LECLERC, 67540 OSTWALD",67540
SG GRAND EST,"1 PL DE LA REPUBLIQUE, 67260 SARRE UNION",67260
SG GRAND EST,"2 PL DU GENERAL DE GAULLE, 67700 SAVERNE",67700
SG GRAND EST,"116 RTE DE BISCHWILLER, 67300 SCHILTIGHEIM",67300
SG GRAND EST,"10 AV DE LA LIBERTE, 67600 SELESTAT",67600
SG GRAND EST,"34 BD D'ANVERS, 67000 STRASBOURG",67000
SG GRAND EST,"93 RUE BOECKLIN, 67000 STRASBOURG",67000
SG GRAND EST,"1 QU DU GENERAL KOENIG, 67000 STRASBOURG",67000
SG GRAND EST,"4 RUE DU DOME, 67000 STRASBOURG",67000
SG GRAND EST,"28 AV GAL DE GAULLE, 67000 STRASBOURG",67000
SG GRAND EST,"AV DE L'EUROPE, 67000 STRASBOURG",67000
SG GRAND EST,"255 RTE DE MITTELHAUSBERGEN, 67200 STRASBOURG",67200
SG GRAND EST,"65 RTE DES ROMAINS, 67200 STRASBOURG",67200
SG GRAND EST,"267 AV DE COLMAR, 67100 STRASBOURG",67100
SG GRAND EST,"8 PL SEBASTIEN BRANT, 67000 STRASBOURG",67000
SG GRAND EST,"1 RUE NATIONALE, 67160 WISSEMBOURG",67160
