nom,adresse,code_postal
SG TARNEAUD,"64 RUE NEUVE D ARGENSON, 24100 BERGERAC",24100
SG TARNEAUD,"8 RTE DE BEAULIEU, 24430 MARSAC SUR L ISLE",24430
SG TARNEAUD,"9 AV DU GENERAL LECLERC, 24300 NONTRON",24300
SG TARNEAUD,"17 RUE DU PDT WILSON, 24000 PERIGUEUX",24000
SG TARNEAUD,"11 RUE DES ALLIES, 24360 PIEGUT PLUVIERS",24360
SG TARNEAUD,"15 PL NATIONALE, 24600 RIBERAC",24600
SG TARNEAUD,"39 RUE REPUBLIQUE, 24200 SARLAT LA CANEDA",24200
SG TARNEAUD,"10 RUE DU GOU GENERAL COURNARIE, 24120 TERRASSON LAVILLEDIEU",24120
SG TARNEAUD,"36 RUE LAMY, 24800 THIVIERS",24800
SG TARNEAUD,"235 AV MICHEL GRANDOU, 24750 TRELISSAC",24750
