nom,adresse,code_postal
SG GRAND OUEST,"13 PL DU MARCHE, 28700 AUNEAU BLEURY SAINT SYMPHORIEN",28700
SG GRAND OUEST,"38 RUE DES CHANGES, 28160 BROU",28160
SG GRAND OUEST,"15 RUE SAINTE-MEME, 28000 CHARTRES",28000
SG GRAND OUEST,"21 AV DES SABLONS, 28000 CHARTRES",28000
SG GRAND OUEST,"10 PL DU 18 OCTOBRE, 28200 CHATEAUDUN",28200
SG GRAND OUEST,"12 RUE M.VIOLLETTE, 28100 DREUX",28100
SG SOCIETE GENERALE,"18 RUE DU GRAND PONT, 28230 EPERNON",28230
SG GRAND OUEST,"61 BIS RUE DE LA REPUBLIQUE, 28110 LUCE",28110
SG GRAND OUEST,"7 RUE DU GAL DE GAULLE, 28210 NOGENT LE ROI",28210
SG GRAND OUEST,"44 PL DU GAL DE ST-POL, 28400 NOGENT LE ROTROU",28400
