nom,adresse,code_postal
SG GRAND OUEST,"72 RUE DE SIAM, 29200 BREST",29200
SG GRAND OUEST,"11 PL DES F.F.I, 29200 BREST",29200
SG GRAND OUEST,"146 R JEAN JAURES, 29200 BREST",29200
SG GRAND OUEST,"30 QU CARNOT, 29150 CHATEAULIN",29150
SG GRAND OUEST,"10 RUE GENERAL MORVAN, 29900 CONCARNEAU",29900
SG GRAND OUEST,"2 RUE JEAN BART, 29100 DOUARNENEZ",29100
SG GRAND OUEST,"19 RUE DE CORNOUAILLE, 29170 FOUESNANT",29170
SG GRAND OUEST,"9 RUE DE PARIS, 29490 GUIPAVAS",29490
SG GRAND OUEST,"20 RUE DE BREST, 29800 LANDERNEAU",29800
SG GRAND OUEST,"14 PL DES OTAGES, 29600 MORLAIX",29600
SG GRAND OUEST,"15 PL GAMBETTA, 29120 PONT L ABBE",29120
SG GRAND OUEST,"2 RUE DU PARC, 29000 QUIMPER",29000
SG GRAND OUEST,"97 RTE DE BENODET, 29000 QUIMPER",29000
SG GRAND OUEST,"2 PL CARNOT, 29300 QUIMPERLE",29300
SG GRAND OUEST,"31 RUE GENERAL LECLERC, 29250 ST POL DE LEON",29250
