nom,adresse,code_postal
SG LAYDERNIER,"120 RTE DE LA ROCHE, 74800 AMANCY",74800
SG LAYDERNIER,"21 RTE DE VIGNIERES, 74000 ANNECY",74000
SG LAYDERNIER,"10 AV DU RHONE, 74000 ANNECY",74000
SG LAYDERNIER,"32 AV DE LA REPUBLIQUE, 74960 ANNECY",74960
SG LAYDERNIER,"73 AV DE GENEVE, 74000 ANNECY",74000
SG LAYDERNIER,"9 B RUE ROYALE, 74000 ANNECY",74000
SG LAYDERNIER,"10 PL HOTEL DE VILLE, 74100 ANNEMASSE",74100
SG LAYDERNIER,"101 RUE DU PONT, 74130 BONNEVILLE",74130
SG LAYDERNIER,"12 PL J.BALMAT, 74400 CHAMONIX MONT BLANC",74400
SG LAYDERNIER,"3 GRAND-RUE, 74300 CLUSES",74300
SG LAYDERNIER,"1 AV JEAN LEGER, 74500 EVIAN LES BAINS",74500
SG LAYDERNIER,"15 PL JOSEPH SERAND, 74210 FAVERGES SEYTHENEX",74210
SG LAYDERNIER,"211 RTE DE VILLAVIT, 74450 LE GRAND BORNAND",74450
SG LAYDERNIER,"34 RTE DE PARIS, 74330 LA BALME DE SILLINGY",74330
SG LAYDERNIER,"5 RTE DE LA PISCINE, 74220 LA CLUSAZ",74220
SG LAYDERNIER,"136 RUE CARNOT, 74800 LA ROCHE SUR FORON",74800
SG LAYDERNIER,"186 PL DE L'EGLISE, 74120 MEGEVE",74120
SG LAYDERNIER,"1 B RUE DE LATHARDAZ, 74960 ANNECY",74960
SG LAYDERNIER,"56 AV GANTIN, 74150 RUMILLY",74150
SG LAYDERNIER,"66 AV DE LA GARE, 74700 SALLANCHES",74700
SG LAYDERNIER,"7 PL DU FORON, 74950 SCIONZIER",74950
SG LAYDERNIER,"3887 RTE D'ALBERTVILLE, 74320 SEVRIER",74320
SG LAYDERNIER,"PL SAINT-JEAN, 74600 ANNECY",74600
SG LAYDERNIER,"13 BD SEMNOZ, 74600 ANNECY",74600
SG LAYDERNIER,"108 RUE DU MONT BLANC, 74170 ST GERVAIS LES BAINS",74170
SG LAYDERNIER,"226 RTE DE L'EGLISE, 74410 ST JORIOZ",74410
SG LAYDERNIER,"1-3 AV DE TERNIER, 74160 ST JULIEN EN GENEVOIS",74160
SG LAYDERNIER,"4 PL DE L'HOTEL DE VILLE, 74230 THONES",74230
SG LAYDERNIER,"3 PL DES ARTS, 74200 THONON LES BAINS",74200
SG LAYDERNIER,"14 RUE DE LA TOURNETTE, 74290 VEYRIER DU LAC",74290
SG LAYDERNIER,"1 RUE DE L'ESPERANCE, 74100 VILLE LA GRAND",74100
