nom,adresse,code_postal
SG GRAND OUEST,"8 RUE DES ESTUAIRES, 35470 BAIN DE BRETAGNE",35470
SG GRAND OUEST,"1 RUE GABRIEL FAURE, 35830 BETTON",35830
SG GRAND OUEST,"13 RUE DU DOCTEUR JOLY, 35170 BRUZ",35170
SG GRAND OUEST,"6 MAIL BOURGCHEVREUIL, 35510 CESSON SEVIGNE",35510
SG GRAND OUEST,"19 RUE MAULION, 35800 DINARD",35800
SG GRAND OUEST,"14 BD JEAN JAURES, 35300 FOUGERES",35300
SG GRAND OUEST,"23 RUE DE BEL-AIR, 35150 JANZE",35150
SG GRAND OUEST,"AV DES PLATANES, 35310 MORDELLES",35310
SG GRAND OUEST,"3 RUE DU MARECHAL FOCH, 35600 REDON",35600
SG GRAND OUEST,"1 AV CHARLES ET RAYMONDE TILLON, 35000 RENNES",35000
SG GRAND OUEST,"115 RUE DE L'ALMA, 35000 RENNES",35000
SG GRAND OUEST,"12 RUE LE BASTARD, 35000 RENNES",35000
SG GRAND OUEST,"14 RUE D ISLY, 35000 RENNES",35000
SG GRAND OUEST,"BD DE LA TOUR D'AUVERGNE, 35000 RENNES",35000
SG GRAND OUEST,"1 PLACE DU MARECHAL FOCH, 35000 RENNES",35000
SG GRAND OUEST,"159 RUE DE FOUGERES, 35700 RENNES",35700
SG GRAND OUEST,"337 RUE DE NANTES, 35136 ST JACQUES DE LA LANDE",35136
SG GRAND OUEST,"86 BD CHATEAUBRIAND, 35400 ST MALO",35400
SG GRAND OUEST,"2A AV JEAN JAURES, 35400 ST MALO",35400
SG GRAND OUEST,"72 RUE GEORGES CLEMENCEAU, 35400 SAINT-MALO",35400
SG GRAND OUEST,"RUE DU PAPEGAULT, 35190 TINTENIAC",35190
SG GRAND OUEST,"22 RUE DE LA BORDERIE, 35500 VITRE",35500
