nom,adresse,code_postal
SG GRAND OUEST,"15 RUE D ALSACE, 49100 ANGERS",49100
SG GRAND OUEST,"2 PL DOCTEUR BICHON, 49100 ANGERS",49100
SG GRAND OUEST,"81 BD SAINT MICHEL, 49100 ANGERS",49100
SG GRAND OUEST,"2 PL DES JUSTICES, 49000 ANGERS",49000
SG GRAND OUEST,"16 PL LA FAYETTE, 49000 ANGERS",49000
SG GRAND OUEST,"163 AV PIERRE MENDES FRANCE, 49240 AVRILLE",49240
SG GRAND OUEST,"182 RUE NATIONALE, 49120 CHEMILLE EN ANJOU",49120
SG GRAND OUEST,"59 RUE DU COMMERCE, 49300 CHOLET",49300
SG TARNEAUD,"15 RUE FOULLON, 49700 DOUE EN ANJOU",49700
SG TARNEAUD,"51 RUE DACIER, 49400 SAUMUR",49400
SG GRAND OUEST,"2 RUE PASTEUR, 49500 SEGRE EN ANJOU BLEU",49500
