nom,adresse,code_postal
SG GRAND OUEST,"1 RUE DU GENERAL DE GAULLE, 50300 AVRANCHES",50300
SG GRAND OUEST,"28 RUE DU CHATEAU, 50500 CARENTAN LES MARAIS",50500
SG GRAND OUEST,"37 T RUE ALBERT MAHIEU, 50100 CHERBOURG EN COTENTIN",50100
SG GRAND OUEST,"18 RUE RENE FOUQUET, 50460 CHERBOURG EN COTENTIN",50460
SG GRAND OUEST,"10 RUE DANIEL, 50200 COUTANCES",50200
SG GRAND OUEST,"27 RUE PAUL POIRIER, 50400 GRANVILLE",50400
SG GRAND OUEST,"29 PL DU GL DE GAULLE, 50250 LA HAYE",50250
SG GRAND OUEST,"65 RUE HAVIN, 50000 ST LO",50000
SG GRAND OUEST,"35 PL DELAPORTE, 50600 ST HILAIRE DU HARCOUET",50600
SG GRAND OUEST,"20 PL VICQ D'AZIR, 50700 VALOGNES",50700
SG GRAND OUEST,"RUE DU PONT CHIGNON, 50800 VILLEDIEU POELES ROUFFIGNY",50800
